time,ppg
63011.66221398541,171802.0
63011.67232314951,171802.0
63011.68243231362,171817.0
63011.69254147773,171806.0
63011.70265064183,171788.0
63011.71275980594,171778.0
63011.72286897005,171803.0
63011.732978134154,171785.0
63011.74308729826,171784.0
63011.75319646237,171761.0
63011.763305626475,171804.0
63011.77341479058,171771.0
63011.78352395469,171815.0
63011.793633118796,171808.0
63011.8037422829,171794.0
63011.81385144701,171810.0
63011.82396061112,171818.0
63011.83406977522,171791.0
63011.84417893933,171825.0
63011.85428810344,171833.0
63011.86439726754,171801.0
63011.87450643165,171788.0
63011.88461559576,171840.0
63011.89472475986,171812.0
63011.904833923974,171806.0
63011.91494308808,171791.0
63011.92505225218,171796.0
63011.935161416295,171835.0
63011.9452705804,171815.0
63011.955379744504,171784.0
63011.96548890861,171775.0
63011.97559807272,171835.0
63011.985707236825,171838.0
63011.99581640093,171789.0
63012.00592556504,171805.0
63012.016034729146,171837.0
63012.02614389325,171811.0
63012.03625305736,171793.0
63012.04636222147,171806.0
63012.05647138557,171801.0
63012.06658054968,171830.0
63012.07668971379,171816.0
63012.08679887789,171790.0
63012.096908042,171830.0
63012.10701720611,171794.0
63012.11712637021,171781.0
63012.127235534324,171822.0
63012.13734469843,171818.0
63012.14745386253,171838.0
63012.157563026645,171832.0
63012.16767219075,171789.0
63012.177781354854,171837.0
63012.187890518966,171811.0
63012.19799968307,171819.0
63012.208108847175,171797.0
63012.21821801129,171800.0
63012.22832717539,171847.0
63012.238436339496,171830.0
63012.24854550361,171807.0
63012.25865466771,171816.0
63012.26876383182,171834.0
63012.27887299592,171821.0
63012.28898216003,171828.0
63012.29909132414,171819.0
63012.30920048824,171855.0
63012.319309652354,171832.0
63012.32941881646,171835.0
63012.33952798056,171819.0
63012.349637144674,171804.0
63012.35974630878,171834.0
63012.36985547288,171859.0
63012.379964636995,171811.0
63012.3900738011,171829.0
63012.400182965204,171839.0
63012.410292129316,171814.0
63012.42040129342,171826.0
63012.430510457525,171840.0
63012.44061962164,171847.0
63012.45072878574,171839.0
63012.460837949846,171824.0
63012.47094711396,171806.0
63012.48105627806,171887.0
63012.49116544217,171851.0
63012.50127460628,171835.0
63012.51138377038,171805.0
63012.52149293449,171855.0
63012.5316020986,171827.0
63012.541711262704,171803.0
63012.55182042681,171829.0
63012.56192959092,171776.0
63012.572038755025,171818.0
63012.58214791913,171850.0
63012.59225708323,171809.0
63012.602366247345,171798.0
63012.61247541145,171805.0
63012.622584575554,171827.0
63012.632693739666,171788.0
63012.64280290377,171813.0
63012.652912067875,171826.0
63012.66302123199,171839.0
63012.67313039609,171776.0
63012.683239560196,171812.0
63012.69334872431,171823.0
63012.70345788841,171824.0
63012.71356705252,171799.0
63012.72367621663,171809.0
