segment,t_start,t_end,duration_s,start_marker,end_marker,buffer_s
baseline_warmup,62863.874886791855,63001.65300233768,137.77811554582877,baseline,start,5.0
meditation_2A,63011.65300233768,63478.94268936488,467.2896870271943,start,midpoint,5.0
meditation_2B,63478.94268936488,63946.232376392065,467.28968702718703,midpoint,stop,5.0
