segment,whole_vlf_like_0p01_0p05_coh_mean,cluster467_vlf_like_0p01_0p05_coh_mean,whole_lf_0p05_0p15_coh_mean,cluster467_lf_0p05_0p15_coh_mean,whole_hf_0p15_0p40_coh_mean,cluster467_hf_0p15_0p40_coh_mean
pre_meditation,0.4858962994579393,0.45085852364455903,0.4956547983538602,0.5733390413893277,0.49801780944270063,0.4713029298868416
main_meditation,0.2288928277674231,0.20899253060918876,0.2607862406887839,0.24766993810635352,0.27070278014968313,0.282348582756378
recovery,1.0,1.0,1.0,1.0,1.0,1.0
