segment,n_timepoints,mean_pairwise_corr_raw,median_pairwise_corr_raw,mean_pairwise_corr_winsorized,median_pairwise_corr_winsorized,cluster_467_mean_corr_raw,cluster_467_mean_corr_winsorized
pre_meditation,242,0.004572467044661532,0.01699176506637791,-0.0010107137306557912,0.012223713758346114,-0.022791292163114128,-0.02546978681863331
main_meditation,752,0.04599705553711859,0.03637747069026103,0.04669260792165189,0.0327181961255223,0.19427841176061258,0.21236756975327775
recovery,93,-0.0039856962334979115,0.0007438376034399795,0.011486176212945749,-0.0044879236918752155,-0.15921731076709808,-0.15953891754632
