Segment,Whole-group mean r,Cluster 4-6-7 mean r,Whole-group p,Cluster 4-6-7 p
pre_meditation,-0.0010107137306557,-0.0254697868186333,0.5007496251874063,0.7096451774112944
main_meditation,0.0466926079216518,0.2123675697532777,0.0079960019990005,0.0014992503748125
recovery,0.0114861762129457,-0.15953891754632,0.3653173413293353,0.9780109945027486
