window_start,window_end,window_mid,mean_pairwise_corr,median_pairwise_corr,segment,cluster_467_mean_corr
1.4297016131531564,31.429701613153156,16.429701613153156,-0.015918603827083638,-0.03147108455923875,pre_meditation,0.049956479394710686
6.429701613153156,36.429701613153156,21.429701613153156,0.009739615902244082,-0.011641970061429776,pre_meditation,0.0022920503656913053
11.429701613153156,41.429701613153156,26.429701613153156,-0.012013263162726271,0.011791944099951995,pre_meditation,0.09251906078962452
16.429701613153156,46.429701613153156,31.429701613153156,-0.05914452762478795,0.006609325161740448,pre_meditation,-0.05080444817543939
21.429701613153156,51.429701613153156,36.429701613153156,-0.05666695327410865,0.008301072170384751,pre_meditation,-0.05422228122727087
26.429701613153156,56.429701613153156,41.429701613153156,-0.05221085946826646,-0.02433124907064121,pre_meditation,-0.05040583685603173
31.429701613153156,61.429701613153156,46.429701613153156,-0.0724212276211518,-0.04097499666600424,pre_meditation,-0.0534103401660557
36.429701613153156,66.42970161315316,51.429701613153156,-0.0792426525602708,-0.023147623022941172,pre_meditation,-0.09007951280395783
41.429701613153156,71.42970161315316,56.429701613153156,-0.09525924414979163,-0.08796296917733805,pre_meditation,-0.2851213080378692
46.429701613153156,76.42970161315316,61.429701613153156,-0.04764135670436725,-0.021593250969319536,pre_meditation,-0.18078588980781532
51.429701613153156,81.42970161315316,66.42970161315316,-0.06537012805892034,-0.07247786051259517,pre_meditation,-0.20235506094731195
56.429701613153156,86.42970161315316,71.42970161315316,-0.06931301576235635,-0.055315618489832956,pre_meditation,-0.18666878635958106
61.429701613153156,91.42970161315316,76.42970161315316,-0.05300482279293808,-0.03932275079705371,pre_meditation,-0.1724635934750227
66.42970161315316,96.42970161315316,81.42970161315316,-0.02056885374224918,-0.09447915015067723,pre_meditation,-0.03487107524981101
71.42970161315316,101.42970161315316,86.42970161315316,0.00019929603919768095,-0.009263232388938045,pre_meditation,0.03463463416675964
76.42970161315316,106.42970161315316,91.42970161315316,-0.031589793638747914,0.03081951741156903,pre_meditation,0.003922137063984634
81.42970161315316,111.42970161315316,96.42970161315316,-0.04183083948283628,-0.034622010102752315,pre_meditation,-0.0675208191873794
86.42970161315316,116.42970161315316,101.42970161315316,-0.03194681367068155,-0.03386665789015262,pre_meditation,-0.15916007855923212
91.42970161315316,121.42970161315316,106.42970161315316,-0.04526231819716252,-0.05715236497586855,pre_meditation,-0.16522007660621446
96.42970161315316,126.42970161315316,111.42970161315316,-0.11162095944437181,-0.13122709543345035,pre_meditation,-0.25359215998009965
101.42970161315316,131.42970161315316,116.42970161315316,-0.03975132804384944,-0.05691326904232399,pre_meditation,-0.21847747285323124
106.42970161315316,136.42970161315316,121.42970161315316,0.155548587801701,0.18089005396249078,pre_meditation,-0.07748992129181846
111.42970161315316,141.42970161315316,126.42970161315316,0.15326695466519472,0.20892247221544913,pre_meditation,-0.07103586702923563
116.42970161315316,146.42970161315316,131.42970161315316,0.08940312109025775,0.0826118404116965,pre_meditation,-0.03032025287113267
121.42970161315316,151.42970161315316,136.42970161315316,0.05658497547735034,-0.0012516625273230658,pre_meditation,0.12834804599638502
126.42970161315316,156.42970161315316,141.42970161315316,0.049852015926874854,0.0547541893986433,pre_meditation,0.09007819366519809
131.42970161315316,161.42970161315316,146.42970161315316,0.053354118827281576,0.13271076818612065,pre_meditation,0.12208034322156285
136.42970161315316,166.42970161315316,151.42970161315316,-0.04647150630346662,-0.06383720510283203,pre_meditation,-0.022773292790207494
141.42970161315316,171.42970161315316,156.42970161315316,-0.041626017691859016,-0.05019774064045776,pre_meditation,-0.02786569788790726
146.42970161315316,176.42970161315316,161.42970161315316,0.010481925044363658,0.001338286205907583,pre_meditation,-0.022437201980231847
151.42970161315316,181.42970161315316,166.42970161315316,0.0004503459771266464,-0.02413983853396457,pre_meditation,-0.12511520043896865
156.42970161315316,186.42970161315316,171.42970161315316,0.011265244676435604,-0.017554647828400095,pre_meditation,-0.04186139844622131
161.42970161315316,191.42970161315316,176.42970161315316,-0.002727068526343627,0.006880032308745735,pre_meditation,-0.04879120970787156
166.42970161315316,196.42970161315316,181.42970161315316,-0.002436718995343538,-0.013905587224638244,pre_meditation,-0.027059445039111913
171.42970161315316,201.42970161315316,186.42970161315316,0.03129377540819756,0.09565736623996833,pre_meditation,0.08032535109915669
176.42970161315316,206.42970161315316,191.42970161315316,-0.013272071536601739,-0.038852566807941954,pre_meditation,0.05872751634518337
181.42970161315316,211.42970161315316,196.42970161315316,-0.049115808461188286,-0.054275067309908116,pre_meditation,-0.11094225372324606
186.42970161315316,216.42970161315316,201.42970161315316,-0.043647746659052446,-0.07562744168440363,pre_meditation,-0.057134394090496164
191.42970161315316,221.42970161315316,206.42970161315316,-0.046279476998982515,-0.07643796723085393,pre_meditation,-0.05342773004618645
196.42970161315316,226.42970161315316,211.42970161315316,0.025547458678611502,-0.009109534837385372,pre_meditation,-0.006068744038979006
201.42970161315316,231.42970161315316,216.42970161315316,0.028857388182886575,0.02728065201267401,pre_meditation,0.06868616050979492
206.42970161315316,236.42970161315316,221.42970161315316,0.037833462078449044,-0.011534509443262446,pre_meditation,0.017918903702913738
211.42970161315316,241.42970161315316,226.42970161315316,0.09333295814774932,0.10205360644265915,pre_meditation,0.1489893906306347
1.694946547948348,31.694946547948348,16.694946547948348,0.053177954882968885,-0.012382284308356228,main_meditation,0.20639750096032805
6.694946547948348,36.69494654794835,21.694946547948348,0.011674858160876728,-0.10663530502809698,main_meditation,0.09532982022898902
11.694946547948348,41.69494654794835,26.694946547948348,0.005383826334029296,-0.03125023748888776,main_meditation,-0.16623857631359565
16.694946547948348,46.69494654794835,31.694946547948348,0.025543604845126276,0.11941393647640279,main_meditation,-0.008457586813923149
21.694946547948348,51.69494654794835,36.69494654794835,-0.005105388642538215,-0.08938179647998189,main_meditation,-0.07661254019459678
