emotibit_id,segment,selected_channel,fs_estimated,prominence_used,distance_samples_used,height_used,peaks_csv,ibi_hr_csv,n_peaks_detected,n_intervals_total,n_intervals_kept,fraction_intervals_kept,mean_hr_bpm_kept,std_hr_bpm_kept,mean_ibi_sec_kept,segment_duration_sec,detected_peak_rate_per_min
EmotiBit_1,main_meditation,PPG_1,99.49605679515615,10.460984435509488,45,0.0,EmotiBit_1_main_meditation_peaks.csv,EmotiBit_1_main_meditation_ibi_hr.csv,826,825,806,0.9769696969696969,67.20675658768002,11.809802619206438,0.9169160216032455,753.4670461924179,65.77593572333028
EmotiBit_1,pre_meditation,PPG_1,99.49605679515615,7.921081669061439,45,0.0,EmotiBit_1_pre_meditation_peaks.csv,EmotiBit_1_pre_meditation_ibi_hr.csv,270,269,267,0.9925650557620818,67.35018474221881,7.901492431531306,0.9018481736297753,244.10012606714008,66.36620906760272
EmotiBit_1,recovery,PPG_1,99.49605679515615,7.125191520145431,45,0.0,EmotiBit_1_recovery_peaks.csv,EmotiBit_1_recovery_ibi_hr.csv,95,94,90,0.9574468085106383,66.88913488409293,11.889959492747188,0.9190760660859167,94.76757478022046,60.147154902076096
EmotiBit_2,main_meditation,PPG_1,100.0208705440392,15.178312753532273,45,0.0,EmotiBit_2_main_meditation_peaks.csv,EmotiBit_2_main_meditation_ibi_hr.csv,825,824,822,0.9975728155339806,66.05587541758386,3.7928456587384134,0.911245341036834,753.4527501322882,65.6975503657117
EmotiBit_2,pre_meditation,PPG_1,100.0208705440392,5.107048026796884,45,0.0,EmotiBit_2_pre_meditation_peaks.csv,EmotiBit_2_pre_meditation_ibi_hr.csv,268,267,267,1.0,66.30524397229466,5.577779950032244,0.9108960331471141,244.09905514099228,65.87489652801871
EmotiBit_2,recovery,PPG_1,100.0208705440392,21.003404056287287,45,0.0,EmotiBit_2_recovery_peaks.csv,EmotiBit_2_recovery_ibi_hr.csv,105,104,104,1.0,66.33106419905889,2.490099182062877,0.9058686323798191,94.77022091670369,66.47657818100112
EmotiBit_3,main_meditation,PPG_1,98.92014707272136,9.009905069348074,45,0.0,EmotiBit_3_main_meditation_peaks.csv,EmotiBit_3_main_meditation_ibi_hr.csv,850,849,844,0.9941107184923439,68.39425340807327,8.030080265621063,0.8878457220621752,753.4663283760601,67.68716541045687
EmotiBit_3,pre_meditation,PPG_1,98.92014707272136,11.625516893557558,45,0.0,EmotiBit_3_pre_meditation_peaks.csv,EmotiBit_3_pre_meditation_ibi_hr.csv,280,279,278,0.996415770609319,69.81558111254624,7.248162397199258,0.8677153738047853,244.0958765240648,68.82541499361925
EmotiBit_3,recovery,PPG_1,98.92014707272136,16.0473386538579,45,0.0,EmotiBit_3_recovery_peaks.csv,EmotiBit_3_recovery_ibi_hr.csv,92,91,89,0.978021978021978,68.76787080617999,7.6910104974731315,0.8832456190436634,94.7633043376336,58.25039595846837
EmotiBit_4,main_meditation,PPG_2,99.07004871917749,7.521121979148333,45,0.0,EmotiBit_4_main_meditation_peaks.csv,EmotiBit_4_main_meditation_ibi_hr.csv,841,840,838,0.9976190476190476,67.57566060134629,7.365244912370498,0.8974990486789821,753.4567811126253,66.97132637851638
EmotiBit_4,pre_meditation,PPG_2,99.07004871917749,4.848134349029394,45,0.0,EmotiBit_4_pre_meditation_peaks.csv,EmotiBit_4_pre_meditation_ibi_hr.csv,286,285,280,0.9824561403508771,70.45619337325381,8.929336966984842,0.8626652235833068,244.10001122173708,70.29905453143176
EmotiBit_4,recovery,PPG_2,99.07004871917749,10.787834767952631,45,0.0,EmotiBit_4_recovery_peaks.csv,EmotiBit_4_recovery_ibi_hr.csv,104,103,103,1.0,66.41103674401977,8.977108906051194,0.9186399919033876,94.771327186907,65.84269931868252
EmotiBit_6,main_meditation,PPG_2,99.11816997508183,14.559503079056537,45,0.0,EmotiBit_6_main_meditation_peaks.csv,EmotiBit_6_main_meditation_ibi_hr.csv,835,834,833,0.9988009592326139,67.22573551709222,6.8789755687198015,0.9008975667122181,753.4642743679215,66.49286728561711
EmotiBit_6,pre_meditation,PPG_2,99.11816997508183,29.46998119153241,45,0.0,EmotiBit_6_pre_meditation_peaks.csv,EmotiBit_6_pre_meditation_ibi_hr.csv,285,284,279,0.9823943661971831,72.19586831360651,9.352866090510387,0.8464607611015555,244.09248083952116,70.05541482141112
EmotiBit_6,recovery,PPG_2,99.11816997508183,42.93314559563163,45,0.0,EmotiBit_6_recovery_peaks.csv,EmotiBit_6_recovery_ibi_hr.csv,105,104,99,0.9519230769230769,71.96661702224503,14.534812706605626,0.8707084719613759,94.7656721718522,66.47976905155387
EmotiBit_7,main_meditation,PPG_1,99.9723082249774,34.73741645292313,45,0.0,EmotiBit_7_main_meditation_peaks.csv,EmotiBit_7_main_meditation_ibi_hr.csv,770,769,769,1.0,61.75907713808551,5.43000188150448,0.9787365688529337,753.4586458131453,61.31723387438229
EmotiBit_7,pre_meditation,PPG_1,99.9723082249774,35.559382785033186,45,0.0,EmotiBit_7_pre_meditation_peaks.csv,EmotiBit_7_pre_meditation_ibi_hr.csv,264,263,263,1.0,65.64325639462689,7.336172277225277,0.92447653596292,244.09759487259726,64.892077319596
EmotiBit_7,recovery,PPG_1,99.9723082249774,35.04796524503571,45,0.0,EmotiBit_7_recovery_peaks.csv,EmotiBit_7_recovery_ibi_hr.csv,95,94,94,1.0,60.19020186115153,4.598403096985076,1.0022988305871432,94.77624519189703,60.14165246216491
