stream_index,name,type,uid,nominal_srate,channel_count,channel_format,n_samples,start_time,end_time,duration_sec,estimated_fs_mean,estimated_fs_median,timestamp_diff_std,channel_labels,time_series_shape,duration_min,fs_close_to_100hz,has_3plus_channels
4,PPG_EmotiBit_4,PPG,9d009d5b-6faa-4378-ab86-a62e0abe8901,100.0000000000000,3,float32,111383,62847.05090659135,63971.32611851293,1124.2752119215802,99.07004870242487,99.07004871917749,3.0831267421070864e-12,[],"(111383, 3)",18.737920198693004,True,True
9,PPG_EmotiBit_1,PPG,1e6a446d-7971-4560-8806-cc6f5d0b6ffb,100.0000000000000,3,float32,111837,62847.559699242454,63971.584144371314,1124.02444512886,99.49605676696731,99.49605679515615,3.5510630305189205e-12,[],"(111837, 3)",18.733740752147664,True,True
14,PPG_EmotiBit_7,PPG,ab61d4b7-e9bb-4dfe-a8a0-64515448c554,100.0000000000000,3,float32,112387,62847.36591403804,63971.53721663818,1124.171302600138,99.97230825947807,99.9723082249774,3.633220843934654e-12,[],"(112387, 3)",18.736188376668967,True,True
15,PPG_EmotiBit_6,PPG,693da4e1-67dd-4e21-91fc-a4e542074da4,100.0000000000000,3,float32,111362,62846.939474677296,63970.45698971285,1123.5175150355572,99.11816995258471,99.11816997508183,3.378997899044473e-12,[],"(111362, 3)",18.725291917259288,True,True
17,PPG_EmotiBit_5,PPG,26254a4b-bd05-498a-9611-7b1059c9135f,100.0000000000000,3,float32,111277,62847.424696724425,63971.2902354404,1123.8655387159743,99.01184453714433,99.01184452184796,2.9863395636445745e-12,[],"(111277, 3)",18.731092311932905,True,True
19,PPG_EmotiBit_3,PPG,02d5f150-a71f-48aa-812b-476c234b5b0a,100.0000000000000,3,float32,111168,62847.57026220311,63971.37570846962,1123.8054462665095,98.92014704975618,98.92014707272136,3.4011888487483636e-12,[],"(111168, 3)",18.730090771108493,True,True
20,PPG_EmotiBit_2,PPG,c9d45e5a-9a3b-499d-a24e-73a99a8d005d,100.0000000000000,3,float32,112432,62847.76665753874,63971.84205661948,1124.0753990807425,100.02087056788623,100.0208705440392,3.4149221655528177e-12,[],"(112432, 3)",18.73458998467904,True,True
