segment,whole_rho_mean,whole_rho_ts_mean,whole_rho_ts_std,cluster467_rho_mean,cluster467_rho_ts_mean,cluster467_rho_ts_std
pre_meditation,0.3770577840850549,0.3770577840850549,0.19633488888490847,0.5370063618021284,0.5370063618021284,0.23391376151466442
main_meditation,0.4177307515678949,0.4177307515678949,0.1904282644939532,0.6452297086550709,0.6452297086550709,0.24643639648368015
recovery,0.4040895582670059,0.4040895582670059,0.17965963787182943,0.49145369668318767,0.49145369668318767,0.21561593603760398
