timestamp,marker_raw,marker_clean
62858.874886791855,baseline,baseline
63006.65300233768,start,start
63102.98503968844,longer version meditation ,longer version meditation
63564.003053364475,inbetween marker,inbetween marker
63707.023918578496,quiet session,quiet session
63856.4550280819,eyes open ,eyes open
63951.232376392065,stop,stop
