emotibit_id,segment,channel,fs_estimated,n_samples,nan_fraction,outlier_fraction,clipping_fraction,iqr,diff_std,pulse_band_ratio,autocorr_peak_strength
EmotiBit_1,pre_meditation,PPG_1,99.49605679515615,24288,0.0,0.2033102766798419,8.234519104084322e-05,698.0,25.095681894611246,0.3186720618270854,0.9631719244706952
EmotiBit_1,pre_meditation,PPG_2,99.49605679515615,24288,0.0,0.0,8.234519104084322e-05,180.0,23.539243420291932,0.15168557621305057,0.9628710416516011
EmotiBit_1,pre_meditation,PPG_3,99.49605679515615,24288,0.0,0.0,8.234519104084322e-05,51.0,22.07341095491992,0.4750248142235303,0.7060740836534948
EmotiBit_1,main_meditation,PPG_1,99.49605679515615,74968,0.0,0.0,2.6678049301035108e-05,1193.0,25.26577201628377,0.22210794850492038,0.9644567704036355
EmotiBit_1,main_meditation,PPG_2,99.49605679515615,74968,0.0,0.0,2.6678049301035108e-05,289.0,23.6732969219493,0.18927189378208129,0.9618019935190483
EmotiBit_1,main_meditation,PPG_3,99.49605679515615,74968,0.0,0.004561946430477004,2.6678049301035108e-05,36.0,22.34270663459168,0.41411145042865505,0.7277944106944556
EmotiBit_1,recovery,PPG_1,99.49605679515615,9430,0.0,0.11739130434782609,0.0003181336161187699,96.0,25.33333343278783,0.22223294774172248,0.9472478583635882
EmotiBit_1,recovery,PPG_2,99.49605679515615,9430,0.0,0.10265111346765642,0.00021208907741251324,134.0,23.527667019114766,0.05762530104146325,0.9509602970183367
EmotiBit_1,recovery,PPG_3,99.49605679515615,9430,0.0,0.05715800636267232,0.00021208907741251324,27.0,22.472485821972793,0.4175417328463093,0.8260996142117822
EmotiBit_2,pre_meditation,PPG_1,100.0208705440392,24416,0.0,0.0,8.1913499344692e-05,210.0,25.280214966889158,0.4256806710565387,0.8825965885348388
EmotiBit_2,pre_meditation,PPG_2,100.0208705440392,24416,0.0,0.0,8.1913499344692e-05,77.0,23.279296953011755,0.22584096936195722,0.26542483944999645
EmotiBit_2,pre_meditation,PPG_3,100.0208705440392,24416,0.0,0.0,8.1913499344692e-05,39.0,22.88308428231178,0.23276973820076136,0.13580644254755334
EmotiBit_2,main_meditation,PPG_1,100.0208705440392,75362,0.0,0.0,3.980786072556461e-05,2203.75,26.213058520414286,0.76306504309161,0.950321064468819
EmotiBit_2,main_meditation,PPG_2,100.0208705440392,75362,0.0,1.3269286908521536e-05,2.653857381704307e-05,427.0,463.69840717348325,0.2890508080097852,0.009299407726833981
EmotiBit_2,main_meditation,PPG_3,100.0208705440392,75362,0.0,0.0,2.653857381704307e-05,61.0,23.034608350777017,0.23821193829736195,0.24160398630659674
EmotiBit_2,recovery,PPG_1,100.0208705440392,9480,0.0,0.0,0.0002109704641350211,307.0,26.180212182747706,0.714765281096626,0.8104498717080668
EmotiBit_2,recovery,PPG_2,100.0208705440392,9480,0.0,0.0,0.0002109704641350211,54.0,23.261044506962758,0.3075287610095834,0.17170976921202427
EmotiBit_2,recovery,PPG_3,100.0208705440392,9480,0.0,0.0,0.00031645569620253165,21.0,22.937849671391675,0.2123742061661169,0.0983394770159227
EmotiBit_3,pre_meditation,PPG_1,98.92014707272136,24147,0.0,0.0013252163829875346,8.282602393672091e-05,310.0,25.760486920745567,0.4172648891574026,0.6050190210330588
EmotiBit_3,pre_meditation,PPG_2,98.92014707272136,24147,0.0,0.0011181513231457323,0.00016565204787344183,232.0,24.29533581820736,0.29292499760657137,0.07415172937620965
EmotiBit_3,pre_meditation,PPG_3,98.92014707272136,24147,0.0,0.0004141301196836046,8.282602393672091e-05,34.0,21.369130314683858,0.5282157748859518,0.31307742434142505
EmotiBit_3,main_meditation,PPG_1,98.92014707272136,74534,0.0,0.0,2.683339147234819e-05,3224.0,26.06607730300687,0.446720920694171,0.9842568821846923
EmotiBit_3,main_meditation,PPG_2,98.92014707272136,74534,0.0,2.683339147234819e-05,2.683339147234819e-05,1889.75,679.003076955326,0.2969321640332778,0.32418154858139087
EmotiBit_3,main_meditation,PPG_3,98.92014707272136,74534,0.0,0.0,2.683339147234819e-05,168.0,21.52298485812195,0.6310776809852253,0.7176005536028038
EmotiBit_3,recovery,PPG_1,98.92014707272136,9375,0.0,0.18794666666666668,0.00021333333333333333,200.5,28.28964588754415,0.11851154001541626,0.9714354314509657
EmotiBit_3,recovery,PPG_2,98.92014707272136,9375,0.0,0.19946666666666665,0.00021333333333333333,88.0,381.5557434785193,0.21769296372381203,0.6429193965555161
EmotiBit_3,recovery,PPG_3,98.92014707272136,9375,0.0,0.0,0.00021333333333333333,115.0,21.753070037114096,0.2748698716949236,0.7893257467133087
EmotiBit_4,pre_meditation,PPG_1,99.07004871917749,24184,0.0,0.0,8.269930532583527e-05,282.0,26.591643061564966,0.728547564877356,0.966547445030721
EmotiBit_4,pre_meditation,PPG_2,99.07004871917749,24184,0.0,4.1349652662917634e-05,8.269930532583527e-05,228.0,616.9040250663558,0.2934382967160429,0.006505048025603744
EmotiBit_4,pre_meditation,PPG_3,99.07004871917749,24184,0.0,0.0,8.269930532583527e-05,94.0,21.792209579101645,0.6036347621424009,0.8419375009382751
EmotiBit_4,main_meditation,PPG_1,99.07004871917749,74646,0.0,0.0,2.6793130241406102e-05,448.0,28.850684318105284,0.8127231209810442,0.9500313740510143
EmotiBit_4,main_meditation,PPG_2,99.07004871917749,74646,0.0,0.0,2.6793130241406102e-05,1617.0,23.489360099337237,0.7276061360424687,0.971211322628445
EmotiBit_4,main_meditation,PPG_3,99.07004871917749,74646,0.0,0.0,2.6793130241406102e-05,101.0,22.10421787626755,0.7692016324439163,0.9161433161123388
EmotiBit_4,recovery,PPG_1,99.07004871917749,9390,0.0,0.0,0.00021299254526091586,411.0,31.483594165723694,0.7458830732044707,0.8535637103625466
EmotiBit_4,recovery,PPG_2,99.07004871917749,9390,0.0,0.00010649627263045793,0.00021299254526091586,162.75,1252.6877720456193,0.2995271643436039,0.009275055408785003
EmotiBit_4,recovery,PPG_3,99.07004871917749,9390,0.0,0.0,0.00021299254526091586,111.0,21.8709824213172,0.680400988432039,0.8860620734578425
EmotiBit_5,pre_meditation,PPG_1,99.01184452184796,24170,0.0,0.0,8.274720728175425e-05,1962.5,27.41274487120682,0.39930559283263917,0.9348804958383377
EmotiBit_5,pre_meditation,PPG_2,99.01184452184796,24170,0.0,0.0,8.274720728175425e-05,1383.75,25.706062391951516,0.43118290307120927,0.8853519724923398
EmotiBit_5,pre_meditation,PPG_3,99.01184452184796,24170,0.0,0.001323955316508068,8.274720728175425e-05,356.0,22.473276220020523,0.2217807890555822,0.8115291194339963
EmotiBit_5,main_meditation,PPG_1,99.01184452184796,74602,0.0,0.0,2.6808932736387765e-05,3350.0,28.751273482975183,0.09975676763355433,0.936722786205206
