emotibit_id,segment,channel,n,n_nan,mean,std,min,max,range,diff_std,outlier_frac_abs_z_gt_5
EmotiBit_1,pre_meditation,PPG_1,24288,0,128952.21718544138,358.8208654895299,128428.0,130031.0,1603.0,25.095681894611246,0.2033102766798419
EmotiBit_1,pre_meditation,PPG_2,24288,0,76159.51778656126,135.81895323001595,75817.0,76417.0,600.0,23.539243420291932,0.0
EmotiBit_1,pre_meditation,PPG_3,24288,0,4729.161437747036,32.39115883580012,4627.0,4839.0,212.0,22.07341095491992,0.0
EmotiBit_1,main_meditation,PPG_1,74968,0,127208.64756962971,669.9023093632691,125260.0,128736.0,3476.0,25.26577201628377,0.0
EmotiBit_1,main_meditation,PPG_2,74968,0,76381.22097428236,235.4462261310869,75977.0,77022.0,1045.0,23.6732969219493,0.0
EmotiBit_1,main_meditation,PPG_3,74968,0,4752.664510191014,30.025865467164557,4557.0,4854.0,297.0,22.34270663459168,0.004561946430477004
EmotiBit_1,recovery,PPG_1,9430,0,126502.44867444327,311.8956504705416,124980.0,126946.0,1966.0,25.33333343278783,0.11739130434782609
EmotiBit_1,recovery,PPG_2,9430,0,76866.84528101803,226.79659515572922,76158.0,77163.0,1005.0,23.527667019114766,0.10265111346765642
EmotiBit_1,recovery,PPG_3,9430,0,4763.569247083775,40.9711279787737,4555.0,4848.0,293.0,22.472485821972793,0.05715800636267232
EmotiBit_2,pre_meditation,PPG_1,24416,0,106624.82179718217,146.48205196591928,106315.0,107019.0,704.0,25.280214966889158,0.0
EmotiBit_2,pre_meditation,PPG_2,24416,0,18383.476777522937,48.886049042562114,18265.0,18518.0,253.0,23.279296953011755,0.0
EmotiBit_2,pre_meditation,PPG_3,24416,0,853.620617627785,25.7450710244948,768.0,938.0,170.0,22.88308428231178,0.0
EmotiBit_2,main_meditation,PPG_1,75362,0,108761.34744300842,1199.3889129043464,106819.0,111024.0,4205.0,26.213058520414286,0.0
EmotiBit_2,main_meditation,PPG_2,75362,0,18854.608091611157,402.53473329918256,18427.0,108809.0,90382.0,463.69840717348325,1.3269286908521536e-05
EmotiBit_2,main_meditation,PPG_3,75362,0,741.504644250418,39.355266294934374,632.0,882.0,250.0,23.034608350777017,0.0
EmotiBit_2,recovery,PPG_1,9480,0,111092.7391350211,185.45312903158643,110701.0,111516.0,815.0,26.180212182747706,0.0
EmotiBit_2,recovery,PPG_2,9480,0,19302.950738396623,33.82051782003209,19215.0,19416.0,201.0,23.261044506962758,0.0
EmotiBit_2,recovery,PPG_3,9480,0,691.6266877637131,15.907392358432746,634.0,757.0,123.0,22.937849671391675,0.0
EmotiBit_3,pre_meditation,PPG_1,24147,0,171870.37072928314,229.6996976506896,170165.0,172442.0,2277.0,25.760486920745567,0.0013252163829875346
EmotiBit_3,pre_meditation,PPG_2,24147,0,142912.66356069077,142.43016258541385,140764.0,143218.0,2454.0,24.29533581820736,0.0011181513231457323
EmotiBit_3,pre_meditation,PPG_3,24147,0,13864.215099184165,25.21279690048975,13697.0,13951.0,254.0,21.369130314683858,0.0004141301196836046
EmotiBit_3,main_meditation,PPG_1,74534,0,169307.55488770225,1594.103293102366,166588.0,171617.0,5029.0,26.06607730300687,0.0
EmotiBit_3,main_meditation,PPG_2,74534,0,141953.24027960395,1066.8843050422638,13665.0,167418.0,153753.0,679.003076955326,2.683339147234819e-05
