time,hr_bpm,is_valid
63012.0,,False
63013.0,66.75616570724499,True
63014.0,70.19862889048665,True
63015.0,73.47796716421782,True
63016.0,72.93193972717278,True
63017.0,67.78982793402939,True
63018.0,74.11345436297331,True
63019.0,73.49605296006084,True
63020.0,67.10919821593615,True
63021.0,127.8952871878406,True
63022.0,72.50728189678503,True
63023.0,83.26316649340485,True
63024.0,76.85614163033979,True
63025.0,65.4250218813083,True
63026.0,74.53197653092711,True
63027.0,76.53542828205876,True
63028.0,71.58403782812061,True
63029.0,64.3552524720457,True
63030.0,65.31219630832898,True
63031.0,69.02502061820401,True
63032.0,129.79314157279654,True
63033.0,76.35860856647652,True
63034.0,145.5477072906779,True
63035.0,84.60341056384489,True
63036.0,80.40659064906693,True
63037.0,65.0556548165898,True
63038.0,58.744816655687096,True
63039.0,63.9636476517928,True
63040.0,143.22451952021146,True
63041.0,75.6781098054751,True
63042.0,61.349849927395574,True
63043.0,59.75541533798613,True
63044.0,67.99986455894927,True
63045.0,74.12181914130849,True
63046.0,69.63793806797521,True
63047.0,60.20295033895817,True
63048.0,58.71819318341382,True
63049.0,60.35878522766829,True
63050.0,62.58475369464568,True
63051.0,62.41340379758876,True
63052.0,61.74880987039606,True
63053.0,70.11130653839349,True
63054.0,75.48966086989735,True
63055.0,62.33271353696971,True
63056.0,63.287772461455084,True
63057.0,62.31928662150285,True
63058.0,62.67610558875076,True
63059.0,61.66204606404289,True
63060.0,61.69563113851923,True
63061.0,64.88873267411168,True
63062.0,65.22539508172807,True
63063.0,68.40530647253856,True
63064.0,64.32460911335286,True
63065.0,62.00107480605178,True
63066.0,66.80706443428357,True
63067.0,68.58610460416169,True
63068.0,62.87610358896748,True
63069.0,66.017315663916,True
63070.0,64.44391623647954,True
63071.0,74.80953490243307,True
63072.0,74.41888289984054,True
63073.0,65.08499037603448,True
63074.0,67.35109593252301,True
63075.0,64.27877402591184,True
63076.0,70.51102456811897,True
63077.0,69.27177474615652,True
63078.0,73.99770940031976,True
63079.0,65.33776881602505,True
63080.0,67.04014812931328,True
63081.0,65.97432572622472,True
63082.0,66.7596868779667,True
63083.0,63.09718751473269,True
63084.0,64.15743906254113,True
63085.0,67.41634975527312,True
63086.0,60.00661395619834,True
63087.0,61.224731604103496,True
63088.0,72.74363408133652,True
63089.0,70.76180297774452,True
