LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1032479.842560,1032479.842564,1760462409.655363,91962.000,12295,1,B%,1,100,53
1032484.842634,1032484.842637,1760462414.655448,96962.000,13075,1,B%,1,100,56
1032489.841707,1032489.841710,1760462419.654533,101961.000,13875,1,B%,1,100,52
1032494.841781,1032494.841783,1760462424.654619,106961.000,14681,1,B%,1,100,51
1032499.840854,1032499.840857,1760462429.653704,111960.000,15481,1,B%,1,100,51
1032504.840928,1032504.840930,1760462434.653790,116960.000,16289,1,B%,1,100,50
1032509.840001,1032509.840003,1760462439.652875,121959.000,17085,1,B%,1,100,52
1032514.840075,1032514.840076,1760462444.652960,126959.000,17872,1,B%,1,100,54
1032519.839148,1032519.839149,1760462449.652046,131958.000,18645,1,B%,1,100,52
1032524.839221,1032524.839222,1760462454.652131,136958.000,19449,1,B%,1,100,52
1032529.838295,1032529.838296,1760462459.651217,141957.000,20255,1,B%,1,100,51
1032534.838368,1032534.838369,1760462464.651302,146957.000,21059,1,B%,1,100,52
1032539.837442,1032539.837442,1760462469.650387,151956.000,21847,1,B%,1,100,52
1032544.837515,1032544.837515,1760462474.650472,156956.000,22628,1,B%,1,100,55
1032549.836589,1032549.836588,1760462479.649558,161955.000,23427,1,B%,1,100,54
1032554.836662,1032554.836661,1760462484.649643,166955.000,24206,1,B%,1,100,54
1032559.835736,1032559.835734,1760462489.648729,171954.000,24993,1,B%,1,100,55
1032564.835809,1032564.835808,1760462494.648814,176954.000,25773,1,B%,1,100,54
1032569.834883,1032569.834881,1760462499.647899,181953.000,26574,1,B%,1,100,55
1032574.834956,1032574.834954,1760462504.647985,186953.000,27358,1,B%,1,100,53
1032579.834030,1032579.834027,1760462509.647070,191952.000,28142,1,B%,1,100,52
1032584.834103,1032584.834100,1760462514.647156,196952.000,28941,1,B%,1,100,51
1032589.833177,1032589.833173,1760462519.646241,201951.000,29735,1,B%,1,100,50
