LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TX
1032476.119505,1032476.119510,1760462405.932299,88239,11687,4,TX,1,100,TL,2025-10-14_13-20-05-555779,LC,1032475.7429903
1032476.994518,1032476.994522,1760462406.807314,89114,11831,4,TX,1,100,TL,2025-10-14_13-20-06-555415,LC,1032476.7426244
1032486.016651,1032486.016654,1760462415.829468,98136,13241,4,TX,1,100,TL,2025-10-14_13-20-15-589614,LC,1032485.7768007
1032486.975665,1032486.975668,1760462416.788485,99095,13387,4,TX,1,100,TL,2025-10-14_13-20-16-589626,LC,1032486.7768105
1032487.986680,1032487.986683,1760462417.799502,100106,13552,4,TX,1,100,TL,2025-10-14_13-20-17-589681,LC,1032487.7768627
1032488.979694,1032488.979698,1760462418.792519,101099,13714,4,TX,1,100,TL,2025-10-14_13-20-18-588756,LC,1032488.7759360
1032489.991709,1032489.991713,1760462419.804536,102111,13877,4,TX,1,100,TL,2025-10-14_13-20-19-588691,LC,1032489.7758686
1032491.038725,1032491.038728,1760462420.851554,103158,14047,4,TX,1,100,TL,2025-10-14_13-20-20-588662,LC,1032490.7758370
1032491.826736,1032491.826739,1760462421.639567,103946,14178,4,TX,1,100,TL,2025-10-14_13-20-21-589654,LC,1032491.7768260
1032492.991753,1032492.991756,1760462422.804587,105111,14357,4,TX,1,100,TL,2025-10-14_13-20-22-589789,LC,1032492.7769585
1032494.013768,1032494.013771,1760462423.826605,106133,14520,4,TX,1,100,TL,2025-10-14_13-20-23-589208,LC,1032493.7763755
1032495.006783,1032495.006786,1760462424.819622,107126,14684,4,TX,1,100,TL,2025-10-14_13-20-24-622279,LC,1032494.8094435
1032496.020798,1032496.020801,1760462425.833639,108140,14850,4,TX,1,100,TL,2025-10-14_13-20-25-622033,LC,1032495.8091953
1032497.017813,1032497.017815,1760462426.830656,109137,15012,4,TX,1,100,TL,2025-10-14_13-20-26-622894,LC,1032496.8100539
1032498.032828,1032498.032830,1760462427.845673,110152,15172,4,TX,1,100,TL,2025-10-14_13-20-27-623083,LC,1032497.8102402
1032499.011842,1032499.011845,1760462428.824690,111131,15318,4,TX,1,100,TL,2025-10-14_13-20-28-622135,LC,1032498.8092900
1032500.027857,1032500.027859,1760462429.840707,112147,15483,4,TX,1,100,TL,2025-10-14_13-20-29-623046,LC,1032499.8101986
1032501.030872,1032501.030874,1760462430.843724,113150,15653,4,TX,1,100,TL,2025-10-14_13-20-30-622064,LC,1032500.8092143
1032502.030886,1032502.030889,1760462431.843742,114150,15815,4,TX,1,100,TL,2025-10-14_13-20-31-623000,LC,1032501.8101478
1032503.040901,1032503.040903,1760462432.853759,115160,15978,4,TX,1,100,TL,2025-10-14_13-20-32-656097,LC,1032502.8432427
1032504.058916,1032504.058918,1760462433.871776,116178,16139,4,TX,1,100,TL,2025-10-14_13-20-33-655445,LC,1032503.8425878
1032504.884928,1032504.884930,1760462434.697790,117004,16272,4,TX,1,100,TL,2025-10-14_13-20-34-655433,LC,1032504.8425735
1032506.039945,1032506.039947,1760462435.852810,118159,16458,4,TX,1,100,TL,2025-10-14_13-20-35-655509,LC,1032505.8426475
1032507.048960,1032507.048962,1760462436.861827,119168,16623,4,TX,1,100,TL,2025-10-14_13-20-36-655424,LC,1032506.8425600
1032518.084122,1032518.084124,1760462447.897016,130203,18353,4,TX,1,100,TL,2025-10-14_13-20-47-689764,LC,1032517.8768727
1032519.049136,1032519.049138,1760462448.862032,131168,18501,4,TX,1,100,TL,2025-10-14_13-20-48-722795,LC,1032518.9099016
1032520.054151,1032520.054152,1760462449.867049,132173,18665,4,TX,1,100,TL,2025-10-14_13-20-49-722141,LC,1032519.9092446
1032521.090166,1032521.090168,1760462450.903067,133209,18827,4,TX,1,100,TL,2025-10-14_13-20-50-722102,LC,1032520.9092028
1032522.107181,1032522.107182,1760462451.920084,134226,18990,4,TX,1,100,TL,2025-10-14_13-20-51-722149,LC,1032521.9092473
1032523.070195,1032523.070197,1760462452.883101,135189,19141,4,TX,1,100,TL,2025-10-14_13-20-52-723048,LC,1032522.9101443
1032523.958209,1032523.958210,1760462453.771116,136077,19286,4,TX,1,100,TL,2025-10-14_13-20-53-722052,LC,1032523.9091457
1032525.077225,1032525.077226,1760462454.890135,137196,19468,4,TX,1,100,TL,2025-10-14_13-20-54-722134,LC,1032524.9092257
1032526.083240,1032526.083241,1760462455.896152,138202,19631,4,TX,1,100,TL,2025-10-14_13-20-55-722855,LC,1032525.9099444
1032527.095255,1032527.095255,1760462456.908170,139214,19793,4,TX,1,100,TL,2025-10-14_13-20-56-722572,LC,1032526.9096589
1032528.089269,1032528.089270,1760462457.902187,140208,19946,4,TX,1,100,TL,2025-10-14_13-20-57-755462,LC,1032527.9425460
1032529.093284,1032529.093285,1760462458.906204,141212,20109,4,TX,1,100,TL,2025-10-14_13-20-58-755522,LC,1032528.9426035
1032530.104299,1032530.104299,1760462459.917221,142223,20274,4,TX,1,100,TL,2025-10-14_13-20-59-755559,LC,1032529.9426383
1032531.105314,1032531.105314,1760462460.918238,143224,20436,4,TX,1,100,TL,2025-10-14_13-21-00-755722,LC,1032530.9427991
1032532.115328,1032532.115329,1760462461.928255,144234,20598,4,TX,1,100,TL,2025-10-14_13-21-01-756522,LC,1032531.9435960
1032533.135343,1032533.135344,1760462462.948273,145254,20761,4,TX,1,100,TL,2025-10-14_13-21-02-755514,LC,1032532.9425855
