LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1032476.210507,1032476.210511,1760462406.023301,88330.000,11705,2,EA,1,100,0.176265
1032476.210507,1032476.210511,1760462406.023301,88330.000,11705,2,EA,1,100,0.176615
1032476.277508,1032476.277512,1760462406.090302,88397.000,11721,1,EA,1,100,0.176899
1032476.344009,1032476.344013,1760462406.156803,88463.500,11736,2,EA,1,100,0.177865
1032476.410510,1032476.410514,1760462406.223304,88530.000,11736,2,EA,1,100,0.178414
1032476.477511,1032476.477515,1760462406.290305,88597.000,11754,1,EA,1,100,0.176944
1032476.544012,1032476.544016,1760462406.356807,88663.500,11769,2,EA,1,100,0.176628
1032476.610513,1032476.610517,1760462406.423308,88730.000,11769,2,EA,1,100,0.176539
1032476.677514,1032476.677518,1760462406.490309,88797.000,11785,1,EA,1,100,0.177279
1032476.744015,1032476.744019,1760462406.556810,88863.500,11801,2,EA,1,100,0.177301
1032476.810516,1032476.810520,1760462406.623311,88930.000,11801,2,EA,1,100,0.177116
1032476.877517,1032476.877521,1760462406.690312,88997.000,11818,1,EA,1,100,0.177152
1032476.944018,1032476.944022,1760462406.756813,89063.500,11835,2,EA,1,100,0.177079
1032477.010519,1032477.010523,1760462406.823314,89130.000,11835,2,EA,1,100,0.176498
1032477.076520,1032477.076524,1760462406.889316,89196.000,11850,1,EA,1,100,0.176323
1032477.143521,1032477.143525,1760462406.956317,89263.000,11867,2,EA,1,100,0.175024
1032477.210522,1032477.210526,1760462407.023318,89330.000,11867,2,EA,1,100,0.174040
1032477.277023,1032477.277027,1760462407.089819,89396.500,11885,2,EA,1,100,0.175015
1032477.343523,1032477.343527,1760462407.156320,89463.000,11885,2,EA,1,100,0.175782
1032477.410524,1032477.410528,1760462407.223321,89530.000,11900,1,EA,1,100,0.176001
1032477.477025,1032477.477029,1760462407.289822,89596.500,11916,2,EA,1,100,0.176354
1032477.543526,1032477.543530,1760462407.356323,89663.000,11916,2,EA,1,100,0.176664
1032477.610527,1032477.610531,1760462407.423325,89730.000,11931,1,EA,1,100,0.177338
1032477.677028,1032477.677032,1760462407.489826,89796.500,11947,2,EA,1,100,0.177501
1032477.743529,1032477.743533,1760462407.556327,89863.000,11947,2,EA,1,100,0.177656
1032477.810530,1032477.810534,1760462407.623328,89930.000,11962,1,EA,1,100,0.178130
1032477.877031,1032477.877035,1760462407.689829,89996.500,11978,2,EA,1,100,0.178745
1032477.943532,1032477.943536,1760462407.756330,90063.000,11978,2,EA,1,100,0.179119
1032478.010533,1032478.010537,1760462407.823331,90130.000,11993,1,EA,1,100,0.179161
1032478.077034,1032478.077038,1760462407.889832,90196.500,12011,2,EA,1,100,0.179147
1032478.143535,1032478.143539,1760462407.956334,90263.000,12011,2,EA,1,100,0.176845
1032478.210536,1032478.210540,1760462408.023335,90330.000,12027,1,EA,1,100,0.174658
1032478.277037,1032478.277041,1760462408.089836,90396.500,12042,2,EA,1,100,0.174324
1032478.343538,1032478.343542,1760462408.156337,90463.000,12042,2,EA,1,100,0.173344
1032478.410539,1032478.410543,1760462408.223338,90530.000,12059,1,EA,1,100,0.173570
1032478.477040,1032478.477044,1760462408.289840,90596.500,12076,2,EA,1,100,0.174184
1032478.543541,1032478.543545,1760462408.356341,90663.000,12076,2,EA,1,100,0.174544
1032478.610542,1032478.610546,1760462408.423342,90730.000,12091,1,EA,1,100,0.175267
1032478.677043,1032478.677047,1760462408.489843,90796.500,12106,2,EA,1,100,0.176804
1032478.743544,1032478.743548,1760462408.556344,90863.000,12106,2,EA,1,100,0.178066
1032478.810545,1032478.810549,1760462408.623345,90930.000,12121,1,EA,1,100,0.178967
1032478.877046,1032478.877050,1760462408.689846,90996.500,12138,2,EA,1,100,0.179755
1032478.943547,1032478.943551,1760462408.756347,91063.000,12138,2,EA,1,100,0.180391
1032479.010548,1032479.010552,1760462408.823349,91130.000,12153,1,EA,1,100,0.180659
1032479.077049,1032479.077053,1760462408.889850,91196.500,12168,2,EA,1,100,0.180786
1032479.143550,1032479.143554,1760462408.956351,91263.000,12168,2,EA,1,100,0.181088
1032479.210551,1032479.210555,1760462409.023352,91330.000,12184,1,EA,1,100,0.181396
1032479.277052,1032479.277056,1760462409.089853,91396.500,12200,2,EA,1,100,0.181695
1032479.343553,1032479.343557,1760462409.156354,91463.000,12200,2,EA,1,100,0.181948
1032479.410554,1032479.410558,1760462409.223355,91530.000,12217,1,EA,1,100,0.182053
1032479.477055,1032479.477059,1760462409.289856,91596.500,12234,2,EA,1,100,0.182134
1032479.543556,1032479.543560,1760462409.356358,91663.000,12234,2,EA,1,100,0.182446
1032479.610557,1032479.610561,1760462409.423359,91730.000,12248,1,EA,1,100,0.182778
1032479.677058,1032479.677062,1760462409.489860,91796.500,12266,2,EA,1,100,0.183028
1032479.743559,1032479.743563,1760462409.556361,91863.000,12266,2,EA,1,100,0.183212
