LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1032477.324523,1032477.324527,1760462407.137320,89444.000,11881,1,HR,1,100,56.90
1032478.431539,1032478.431543,1760462408.244339,90551.000,12055,1,HR,1,100,56.37
1032479.761559,1032479.761563,1760462409.574361,91881.000,12262,1,HR,1,100,53.95
1032480.821575,1032480.821578,1760462410.634379,92941.000,12436,1,HR,1,100,54.66
1032481.497585,1032481.497588,1760462411.310391,93617.000,12550,1,HR,1,100,62.41
1032483.194609,1032483.194613,1760462413.007420,95314.000,12805,1,HR,1,100,56.48
1032485.580645,1032485.580648,1760462415.393461,97700.000,13174,1,HR,1,100,49.55
1032485.957650,1032485.957654,1760462415.770467,98077.000,13223,1,HR,1,100,74.58
1032487.090667,1032487.090670,1760462416.903486,99210.000,13420,1,HR,1,100,69.81
1032487.574674,1032487.574677,1760462417.387495,99694.000,13486,1,HR,1,100,82.07
1032488.107682,1032488.107685,1760462417.920504,100227.000,13584,1,HR,1,100,89.47
1032489.467702,1032489.467705,1760462419.280527,101587.000,13794,1,HR,1,100,79.47
1032489.973709,1032489.973712,1760462419.786536,102093.000,13879,1,HR,1,100,87.95
1032490.596718,1032490.596721,1760462420.409546,102716.000,13976,1,HR,1,100,90.27
1032491.093726,1032491.093729,1760462420.906555,103213.000,14064,1,HR,1,100,96.87
1032491.693734,1032491.693737,1760462421.506565,103813.000,14160,1,HR,1,100,97.94
1032492.116741,1032492.116744,1760462421.929572,104236.000,14227,1,HR,1,100,107.93
1032492.623748,1032492.623751,1760462422.436581,104743.000,14307,1,HR,1,100,110.61
1032493.176756,1032493.176759,1760462422.989590,105296.000,14390,1,HR,1,100,110.27
1032493.703764,1032493.703767,1760462423.516599,105823.000,14470,1,HR,1,100,111.41
1032494.286772,1032494.286775,1760462424.099609,106406.000,14568,1,HR,1,100,109.64
1032494.849781,1032494.849784,1760462424.662619,106969.000,14664,1,HR,1,100,109.08
1032495.406789,1032495.406792,1760462425.219629,107526.000,14749,1,HR,1,100,109.09
1032496.093799,1032496.093802,1760462425.906640,108213.000,14867,1,HR,1,100,104.45
1032496.726808,1032496.726811,1760462426.539651,108846.000,14962,1,HR,1,100,102.40
