LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1032530.263301,1032530.263302,1760462460.076224,142382.000,20306,1,BI,1,100,530
1032530.833310,1032530.833310,1760462460.646233,142952.000,20385,1,BI,1,100,570
1032531.383318,1032531.383318,1760462461.196243,143502.000,20484,1,BI,1,100,540
1032531.943326,1032531.943326,1760462461.756252,144062.000,20564,1,BI,1,100,560
1032532.557335,1032532.557335,1760462462.370263,144676.000,20664,1,BI,1,100,610
1032533.183344,1032533.183344,1760462462.996274,145302.000,20782,1,BI,1,100,620
1032533.720352,1032533.720352,1760462463.533283,145839.000,20863,1,BI,1,100,530
1032534.246360,1032534.246360,1760462464.059292,146365.000,20945,1,BI,1,100,520
1032534.840368,1032534.840369,1760462464.653302,146959.000,21041,1,BI,1,100,590
1032535.400377,1032535.400377,1760462465.213311,147519.000,21126,1,BI,1,100,560
1032535.973385,1032535.973385,1760462465.786321,148092.000,21223,1,BI,1,100,560
1032536.476393,1032536.476393,1760462466.289330,148595.000,21304,1,BI,1,100,500
1032537.046401,1032537.046401,1760462466.859339,149165.000,21392,1,BI,1,100,570
1032537.606409,1032537.606409,1760462467.419349,149725.000,21487,1,BI,1,100,550
1032538.193418,1032538.193418,1760462468.006359,150312.000,21588,1,BI,1,100,580
1032539.233433,1032539.233433,1760462469.046377,151352.000,21732,1,BI,1,100,1040
1032539.872442,1032539.872442,1760462469.685388,151991.000,21828,1,BI,1,100,630
1032540.486451,1032540.486451,1760462470.299398,152605.000,21925,1,BI,1,100,610
1032541.076460,1032541.076460,1760462470.889408,153195.000,22021,1,BI,1,100,580
1032541.556467,1032541.556467,1760462471.369416,153675.000,22100,1,BI,1,100,480
1032542.166476,1032542.166476,1760462471.979427,154285.000,22195,1,BI,1,100,600
1032542.672484,1032542.672483,1760462472.485435,154791.000,22276,1,BI,1,100,510
1032543.182491,1032543.182491,1760462472.995444,155301.000,22355,1,BI,1,100,500
1032543.602497,1032543.602497,1760462473.415452,155721.000,22419,1,BI,1,100,420
1032544.119505,1032544.119504,1760462473.932460,156238.000,22500,1,BI,1,100,510
1032544.635512,1032544.635512,1760462474.448469,156754.000,22580,1,BI,1,100,510
1032545.169520,1032545.169520,1760462474.982478,157288.000,22676,1,BI,1,100,530
1032545.745529,1032545.745528,1760462475.558488,157864.000,22757,1,BI,1,100,570
1032546.318537,1032546.318537,1760462476.131498,158437.000,22853,1,BI,1,100,570
1032546.968547,1032546.968546,1760462476.781509,159087.000,22948,1,BI,1,100,650
1032547.475554,1032547.475554,1760462477.288517,159594.000,23027,1,BI,1,100,500
1032548.099563,1032548.099563,1760462477.912528,160218.000,23123,1,BI,1,100,620
1032548.652571,1032548.652571,1760462478.465538,160771.000,23218,1,BI,1,100,540
1032549.112578,1032549.112578,1760462478.925545,161231.000,23282,1,BI,1,100,460
1032549.655586,1032549.655585,1760462479.468555,161774.000,23378,1,BI,1,100,540
1032550.031592,1032550.031591,1760462479.844561,162150.000,23429,1,BI,1,100,370
1032550.538599,1032550.538598,1760462480.351570,162657.000,23508,1,BI,1,100,510
1032551.071607,1032551.071606,1760462480.884579,163190.000,23603,1,BI,1,100,520
1032553.128637,1032553.128636,1760462482.941614,165247.000,23919,1,BI,1,100,2040
1032553.854648,1032553.854647,1760462483.667626,165973.000,24030,1,BI,1,100,720
1032554.438656,1032554.438655,1760462484.251637,166557.000,24126,1,BI,1,100,580
1032554.984665,1032554.984663,1760462484.797646,167103.000,24207,1,BI,1,100,540
1032555.584673,1032555.584672,1760462485.397656,167703.000,24302,1,BI,1,100,600
1032556.148682,1032556.148680,1760462485.961666,168267.000,24397,1,BI,1,100,560
1032556.674689,1032556.674688,1760462486.487675,168793.000,24478,1,BI,1,100,520
1032557.231698,1032557.231696,1760462487.044684,169350.000,24557,1,BI,1,100,550
1032557.727705,1032557.727704,1760462487.540693,169846.000,24638,1,BI,1,100,490
1032558.174711,1032558.174710,1760462487.987700,170293.000,24717,1,BI,1,100,450
1032558.731720,1032558.731718,1760462488.544710,170850.000,24797,1,BI,1,100,550
1032559.237727,1032559.237726,1760462489.050718,171356.000,24878,1,BI,1,100,500
1032559.781735,1032559.781734,1760462489.594728,171900.000,24974,1,BI,1,100,540
1032560.367744,1032560.367742,1760462490.180738,172486.000,25057,1,BI,1,100,580
1032560.930752,1032560.930750,1760462490.743747,173049.000,25152,1,BI,1,100,560
1032561.550761,1032561.550760,1760462491.363758,173669.000,25247,1,BI,1,100,610
1032562.184770,1032562.184769,1760462491.997769,174303.000,25342,1,BI,1,100,630
1032562.757779,1032562.757777,1760462492.570779,174876.000,25438,1,BI,1,100,570
1032563.370788,1032563.370786,1760462493.183789,175489.000,25534,1,BI,1,100,610
1032563.887795,1032563.887794,1760462493.700798,176006.000,25612,1,BI,1,100,510
1032564.413803,1032564.413801,1760462494.226807,176532.000,25693,1,BI,1,100,520
1032564.963811,1032564.963809,1760462494.776816,177082.000,25791,1,BI,1,100,550
1032565.480819,1032565.480817,1760462495.293825,177599.000,25869,1,BI,1,100,510
1032566.017827,1032566.017825,1760462495.830834,178136.000,25950,1,BI,1,100,530
1032566.523834,1032566.523832,1760462496.336843,178642.000,26031,1,BI,1,100,500
1032567.087842,1032567.087841,1760462496.900852,179206.000,26127,1,BI,1,100,560
1032567.643851,1032567.643849,1760462497.456862,179762.000,26207,1,BI,1,100,550
1032568.266860,1032568.266858,1760462498.079873,180385.000,26302,1,BI,1,100,620
1032568.896869,1032568.896867,1760462498.709883,181015.000,26398,1,BI,1,100,630
1032569.470877,1032569.470875,1760462499.283893,181589.000,26493,1,BI,1,100,560
1032570.156887,1032570.156885,1760462499.969905,182275.000,26605,1,BI,1,100,690
1032570.796897,1032570.796895,1760462500.609916,182915.000,26701,1,BI,1,100,630
1032571.400906,1032571.400904,1760462501.213926,183519.000,26799,1,BI,1,100,600
1032571.943914,1032571.943912,1760462501.756935,184062.000,26894,1,BI,1,100,540
1032572.403921,1032572.403918,1760462502.216943,184522.000,26958,1,BI,1,100,450
1032572.966929,1032572.966927,1760462502.779953,185085.000,27054,1,BI,1,100,560
1032573.482936,1032573.482934,1760462503.295962,185601.000,27134,1,BI,1,100,510
1032574.019944,1032574.019942,1760462503.832971,186138.000,27213,1,BI,1,100,530
1032574.546952,1032574.546950,1760462504.359980,186665.000,27293,1,BI,1,100,530
1032575.052959,1032575.052957,1760462504.865988,187171.000,27375,1,BI,1,100,500
1032575.642968,1032575.642966,1760462505.455998,187761.000,27470,1,BI,1,100,580
1032576.205976,1032576.205974,1760462506.019008,188324.000,27565,1,BI,1,100,560
1032576.772985,1032576.772982,1760462506.586018,188891.000,27646,1,BI,1,100,560
1032577.415994,1032577.415992,1760462507.229029,189534.000,27741,1,BI,1,100,640
1032577.967002,1032577.967000,1760462507.780038,190085.000,27837,1,BI,1,100,550
1032578.570011,1032578.570009,1760462508.383049,190688.000,27934,1,BI,1,100,600
1032579.160020,1032579.160017,1760462508.973058,191278.000,28029,1,BI,1,100,580
1032579.753029,1032579.753026,1760462509.566069,191871.000,28125,1,BI,1,100,590
1032580.259036,1032580.259033,1760462510.072077,192377.000,28206,1,BI,1,100,500
1032580.663042,1032580.663039,1760462510.476084,192781.000,28259,1,BI,1,100,400
1032581.256051,1032581.256048,1760462511.069094,193374.000,28355,1,BI,1,100,590
1032581.783058,1032581.783056,1760462511.596103,193901.000,28437,1,BI,1,100,520
1032582.326066,1032582.326063,1760462512.139113,194444.000,28536,1,BI,1,100,540
1032582.796073,1032582.796070,1760462512.609121,194914.000,28600,1,BI,1,100,470
1032583.336081,1032583.336078,1760462513.149130,195454.000,28681,1,BI,1,100,530
1032583.926090,1032583.926087,1760462513.739140,196044.000,28777,1,BI,1,100,590
1032584.539099,1032584.539096,1760462514.352150,196657.000,28876,1,BI,1,100,600
1032585.046106,1032585.046103,1760462514.859159,197164.000,28959,1,BI,1,100,510
1032586.179123,1032586.179120,1760462515.992178,198297.000,29140,1,BI,1,100,1120
1032586.825132,1032586.825129,1760462516.638189,198943.000,29254,1,BI,1,100,640
1032587.279139,1032587.279136,1760462517.092197,199397.000,29322,1,BI,1,100,450
1032587.689145,1032587.689142,1760462517.502204,199807.000,29386,1,BI,1,100,410
1032589.939178,1032589.939175,1760462519.752243,202057.000,29737,1,BI,1,100,2230
1032590.508187,1032590.508183,1760462520.321252,202626.000,29836,1,BI,1,100,560
1032591.258198,1032591.258194,1760462521.071265,203376.000,29952,1,BI,1,100,750
