LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1201894.457669,1201894.457668,1760631824.181112,20334.000,1153,1,PG,1,100,7424
1201894.467305,1201894.467305,1760631824.190748,20343.636,1158,11,PG,1,100,7446
1201894.476941,1201894.476941,1760631824.200384,20353.273,1158,11,PG,1,100,7441
1201894.486578,1201894.486577,1760631824.210021,20362.909,1158,11,PG,1,100,7431
1201894.496214,1201894.496214,1760631824.219657,20372.545,1158,11,PG,1,100,7422
1201894.505850,1201894.505850,1760631824.229293,20382.182,1158,11,PG,1,100,7405
1201894.515486,1201894.515486,1760631824.238930,20391.818,1158,11,PG,1,100,7445
1201894.525123,1201894.525123,1760631824.248566,20401.455,1158,11,PG,1,100,7432
1201894.534759,1201894.534759,1760631824.258202,20411.091,1158,11,PG,1,100,7432
1201894.544395,1201894.544395,1760631824.267839,20420.727,1158,11,PG,1,100,7408
1201894.554032,1201894.554031,1760631824.277475,20430.364,1158,11,PG,1,100,7428
1201894.563668,1201894.563668,1760631824.287111,20440.000,1158,11,PG,1,100,7426
1201894.574112,1201894.574112,1760631824.297556,20450.444,1174,9,PG,1,100,7431
1201894.584557,1201894.584557,1760631824.308000,20460.889,1174,9,PG,1,100,7433
1201894.595001,1201894.595001,1760631824.318444,20471.333,1174,9,PG,1,100,7426
1201894.605446,1201894.605445,1760631824.328889,20481.778,1174,9,PG,1,100,7437
1201894.615890,1201894.615890,1760631824.339333,20492.222,1174,9,PG,1,100,7443
1201894.626334,1201894.626334,1760631824.349778,20502.667,1174,9,PG,1,100,7444
1201894.636779,1201894.636779,1760631824.360222,20513.111,1174,9,PG,1,100,7429
1201894.647223,1201894.647223,1760631824.370667,20523.556,1174,9,PG,1,100,7430
1201894.657668,1201894.657667,1760631824.381111,20534.000,1174,9,PG,1,100,7449
1201894.667304,1201894.667304,1760631824.390747,20543.636,1189,11,PG,1,100,7430
1201894.676940,1201894.676940,1760631824.400383,20553.273,1189,11,PG,1,100,7419
1201894.686577,1201894.686576,1760631824.410020,20562.909,1189,11,PG,1,100,7435
1201894.696213,1201894.696213,1760631824.419656,20572.545,1189,11,PG,1,100,7432
1201894.705849,1201894.705849,1760631824.429292,20582.182,1189,11,PG,1,100,7444
1201894.715485,1201894.715485,1760631824.438929,20591.818,1189,11,PG,1,100,7429
1201894.725122,1201894.725122,1760631824.448565,20601.455,1189,11,PG,1,100,7431
1201894.734758,1201894.734758,1760631824.458201,20611.091,1189,11,PG,1,100,7453
1201894.744394,1201894.744394,1760631824.467838,20620.727,1189,11,PG,1,100,7408
1201894.754031,1201894.754030,1760631824.477474,20630.364,1189,11,PG,1,100,7432
1201894.763667,1201894.763667,1760631824.487111,20640.000,1189,11,PG,1,100,7434
1201894.774367,1201894.774367,1760631824.497810,20650.700,1205,10,PG,1,100,7428
1201894.785067,1201894.785067,1760631824.508510,20661.400,1205,10,PG,1,100,7439
1201894.795767,1201894.795767,1760631824.519210,20672.100,1205,10,PG,1,100,7437
1201894.806467,1201894.806467,1760631824.529910,20682.800,1205,10,PG,1,100,7468
1201894.817167,1201894.817166,1760631824.540610,20693.500,1205,10,PG,1,100,7421
1201894.827867,1201894.827866,1760631824.551310,20704.200,1205,10,PG,1,100,7431
1201894.838567,1201894.838566,1760631824.562010,20714.900,1205,10,PG,1,100,7411
1201894.849267,1201894.849266,1760631824.572710,20725.600,1205,10,PG,1,100,7421
1201894.859967,1201894.859966,1760631824.583410,20736.300,1205,10,PG,1,100,7428
1201894.870666,1201894.870666,1760631824.594110,20747.000,1205,10,PG,1,100,7463
1201894.880066,1201894.880066,1760631824.603510,20756.400,1220,10,PG,1,100,7417
1201894.889466,1201894.889466,1760631824.612910,20765.800,1220,10,PG,1,100,7438
