LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1201894.457669,1201894.457668,1760631824.181112,20334.000,1151,1,PI,1,100,183475
1201894.467305,1201894.467305,1760631824.190748,20343.636,1156,11,PI,1,100,183505
1201894.476941,1201894.476941,1760631824.200384,20353.273,1156,11,PI,1,100,183479
1201894.486578,1201894.486577,1760631824.210021,20362.909,1156,11,PI,1,100,183512
1201894.496214,1201894.496214,1760631824.219657,20372.545,1156,11,PI,1,100,183495
1201894.505850,1201894.505850,1760631824.229293,20382.182,1156,11,PI,1,100,183521
1201894.515486,1201894.515486,1760631824.238930,20391.818,1156,11,PI,1,100,183506
1201894.525123,1201894.525123,1760631824.248566,20401.455,1156,11,PI,1,100,183501
1201894.534759,1201894.534759,1760631824.258202,20411.091,1156,11,PI,1,100,183518
1201894.544395,1201894.544395,1760631824.267839,20420.727,1156,11,PI,1,100,183496
1201894.554032,1201894.554031,1760631824.277475,20430.364,1156,11,PI,1,100,183468
1201894.563668,1201894.563668,1760631824.287111,20440.000,1156,11,PI,1,100,183494
1201894.574112,1201894.574112,1760631824.297556,20450.444,1172,9,PI,1,100,183496
1201894.584557,1201894.584557,1760631824.308000,20460.889,1172,9,PI,1,100,183487
1201894.595001,1201894.595001,1760631824.318444,20471.333,1172,9,PI,1,100,183488
1201894.605446,1201894.605445,1760631824.328889,20481.778,1172,9,PI,1,100,183511
1201894.615890,1201894.615890,1760631824.339333,20492.222,1172,9,PI,1,100,183491
1201894.626334,1201894.626334,1760631824.349778,20502.667,1172,9,PI,1,100,183476
1201894.636779,1201894.636779,1760631824.360222,20513.111,1172,9,PI,1,100,183474
1201894.647223,1201894.647223,1760631824.370667,20523.556,1172,9,PI,1,100,183506
1201894.657668,1201894.657667,1760631824.381111,20534.000,1172,9,PI,1,100,183522
1201894.667304,1201894.667304,1760631824.390747,20543.636,1187,11,PI,1,100,183489
1201894.676940,1201894.676940,1760631824.400383,20553.273,1187,11,PI,1,100,183480
1201894.686577,1201894.686576,1760631824.410020,20562.909,1187,11,PI,1,100,183484
1201894.696213,1201894.696213,1760631824.419656,20572.545,1187,11,PI,1,100,183468
1201894.705849,1201894.705849,1760631824.429292,20582.182,1187,11,PI,1,100,183503
1201894.715485,1201894.715485,1760631824.438929,20591.818,1187,11,PI,1,100,183488
1201894.725122,1201894.725122,1760631824.448565,20601.455,1187,11,PI,1,100,183506
1201894.734758,1201894.734758,1760631824.458201,20611.091,1187,11,PI,1,100,183511
1201894.744394,1201894.744394,1760631824.467838,20620.727,1187,11,PI,1,100,183458
1201894.754031,1201894.754030,1760631824.477474,20630.364,1187,11,PI,1,100,183520
1201894.763667,1201894.763667,1760631824.487111,20640.000,1187,11,PI,1,100,183483
1201894.774367,1201894.774367,1760631824.497810,20650.700,1203,10,PI,1,100,183490
1201894.785067,1201894.785067,1760631824.508510,20661.400,1203,10,PI,1,100,183457
1201894.795767,1201894.795767,1760631824.519210,20672.100,1203,10,PI,1,100,183473
1201894.806467,1201894.806467,1760631824.529910,20682.800,1203,10,PI,1,100,183497
1201894.817167,1201894.817166,1760631824.540610,20693.500,1203,10,PI,1,100,183479
1201894.827867,1201894.827866,1760631824.551310,20704.200,1203,10,PI,1,100,183457
1201894.838567,1201894.838566,1760631824.562010,20714.900,1203,10,PI,1,100,183480
1201894.849267,1201894.849266,1760631824.572710,20725.600,1203,10,PI,1,100,183519
1201894.859967,1201894.859966,1760631824.583410,20736.300,1203,10,PI,1,100,183475
1201894.870666,1201894.870666,1760631824.594110,20747.000,1203,10,PI,1,100,183488
1201894.880066,1201894.880066,1760631824.603510,20756.400,1218,10,PI,1,100,183473
1201894.889466,1201894.889466,1760631824.612910,20765.800,1218,10,PI,1,100,183498
1201894.898866,1201894.898866,1760631824.622310,20775.200,1218,10,PI,1,100,183485
1201894.908266,1201894.908266,1760631824.631710,20784.600,1218,10,PI,1,100,183488
1201894.917666,1201894.917666,1760631824.641110,20794.000,1218,10,PI,1,100,183516
1201894.927066,1201894.927066,1760631824.650510,20803.400,1218,10,PI,1,100,183492
1201894.936466,1201894.936466,1760631824.659910,20812.800,1218,10,PI,1,100,183470
1201894.945866,1201894.945866,1760631824.669310,20822.200,1218,10,PI,1,100,183485
1201894.955266,1201894.955266,1760631824.678710,20831.600,1218,10,PI,1,100,183461
1201894.964666,1201894.964666,1760631824.688110,20841.000,1218,10,PI,1,100,183511
1201894.975266,1201894.975266,1760631824.698710,20851.600,1234,10,PI,1,100,183491
1201894.985866,1201894.985866,1760631824.709310,20862.200,1234,10,PI,1,100,183498
1201894.996466,1201894.996466,1760631824.719910,20872.800,1234,10,PI,1,100,183484
1201895.007066,1201895.007065,1760631824.730510,20883.400,1234,10,PI,1,100,183507
1201895.017666,1201895.017665,1760631824.741110,20894.000,1234,10,PI,1,100,183494
1201895.028266,1201895.028265,1760631824.751709,20904.600,1234,10,PI,1,100,183475
1201895.038866,1201895.038865,1760631824.762310,20915.200,1234,10,PI,1,100,183461
1201895.049466,1201895.049465,1760631824.772909,20925.800,1234,10,PI,1,100,183445
1201895.060065,1201895.060065,1760631824.783509,20936.400,1234,10,PI,1,100,183439
1201895.070665,1201895.070665,1760631824.794109,20947.000,1234,10,PI,1,100,183425
1201895.080393,1201895.080392,1760631824.803837,20956.727,1250,11,PI,1,100,183409
1201895.090120,1201895.090120,1760631824.813564,20966.455,1250,11,PI,1,100,183433
1201895.099847,1201895.099847,1760631824.823291,20976.182,1250,11,PI,1,100,183427
1201895.109574,1201895.109574,1760631824.833018,20985.909,1250,11,PI,1,100,183407
1201895.119302,1201895.119301,1760631824.842746,20995.636,1250,11,PI,1,100,183433
1201895.129029,1201895.129028,1760631824.852473,21005.364,1250,11,PI,1,100,183458
1201895.138756,1201895.138756,1760631824.862200,21015.091,1250,11,PI,1,100,183425
1201895.148483,1201895.148483,1760631824.871927,21024.818,1250,11,PI,1,100,183431
1201895.158210,1201895.158210,1760631824.881655,21034.545,1250,11,PI,1,100,183393
1201895.167938,1201895.167937,1760631824.891382,21044.273,1250,11,PI,1,100,183435
1201895.177665,1201895.177665,1760631824.901109,21054.000,1250,11,PI,1,100,183413
1201895.187998,1201895.187998,1760631824.911442,21064.333,1265,9,PI,1,100,183408
1201895.198331,1201895.198331,1760631824.921776,21074.667,1265,9,PI,1,100,183403
1201895.208665,1201895.208664,1760631824.932109,21085.000,1265,9,PI,1,100,183423
1201895.218998,1201895.218998,1760631824.942442,21095.333,1265,9,PI,1,100,183415
1201895.229331,1201895.229331,1760631824.952775,21105.667,1265,9,PI,1,100,183413
1201895.239665,1201895.239664,1760631824.963109,21116.000,1265,9,PI,1,100,183416
1201895.249998,1201895.249998,1760631824.973442,21126.333,1265,9,PI,1,100,183436
1201895.260331,1201895.260331,1760631824.983775,21136.667,1265,9,PI,1,100,183416
1201895.270664,1201895.270664,1760631824.994109,21147.000,1265,9,PI,1,100,183422
1201895.280392,1201895.280391,1760631825.003836,21156.727,1280,11,PI,1,100,183406
1201895.290119,1201895.290119,1760631825.013563,21166.455,1280,11,PI,1,100,183421
1201895.299846,1201895.299846,1760631825.023290,21176.182,1280,11,PI,1,100,183428
1201895.309573,1201895.309573,1760631825.033018,21185.909,1280,11,PI,1,100,183425
1201895.319300,1201895.319300,1760631825.042745,21195.636,1280,11,PI,1,100,183399
1201895.329028,1201895.329027,1760631825.052472,21205.364,1280,11,PI,1,100,183430
1201895.338755,1201895.338755,1760631825.062199,21215.091,1280,11,PI,1,100,183417
1201895.348482,1201895.348482,1760631825.071926,21224.818,1280,11,PI,1,100,183404
1201895.358209,1201895.358209,1760631825.081654,21234.545,1280,11,PI,1,100,183403
1201895.367937,1201895.367936,1760631825.091381,21244.273,1280,11,PI,1,100,183424
1201895.377664,1201895.377664,1760631825.101108,21254.000,1280,11,PI,1,100,183411
1201895.387997,1201895.387997,1760631825.111441,21264.333,1297,9,PI,1,100,183397
1201895.398330,1201895.398330,1760631825.121775,21274.667,1297,9,PI,1,100,183408
1201895.408664,1201895.408663,1760631825.132108,21285.000,1297,9,PI,1,100,183424
1201895.418997,1201895.418997,1760631825.142441,21295.333,1297,9,PI,1,100,183375
1201895.429330,1201895.429330,1760631825.152775,21305.667,1297,9,PI,1,100,183415
1201895.439664,1201895.439663,1760631825.163108,21316.000,1297,9,PI,1,100,183395
1201895.449997,1201895.449997,1760631825.173441,21326.333,1297,9,PI,1,100,183418
1201895.460330,1201895.460330,1760631825.183774,21336.667,1297,9,PI,1,100,183416
1201895.470663,1201895.470663,1760631825.194108,21347.000,1297,9,PI,1,100,183396
1201895.480391,1201895.480390,1760631825.203835,21356.727,1312,11,PI,1,100,183403
1201895.490118,1201895.490118,1760631825.213562,21366.455,1312,11,PI,1,100,183419
1201895.499845,1201895.499845,1760631825.223289,21376.182,1312,11,PI,1,100,183393
1201895.509572,1201895.509572,1760631825.233017,21385.909,1312,11,PI,1,100,183407
1201895.519299,1201895.519299,1760631825.242744,21395.636,1312,11,PI,1,100,183402
1201895.529027,1201895.529026,1760631825.252471,21405.364,1312,11,PI,1,100,183434
