LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,ED
1759437229.076167,160327,22648,0,ED,1,100,100
1759437242.647640,173898,24739,0,ED,1,100,100
1759437335.475873,266723,39082,0,ED,1,100,100
