LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TX
1032476.110505,1032476.110509,1760462405.923299,88230,11686,4,TX,1,100,LC,1032475.7153236,LM,1032475.7153195
1032476.987518,1032476.987522,1760462406.800314,89107,11830,4,TX,1,100,LC,1032476.7171823,LM,1032476.7171782
1032486.007651,1032486.007654,1760462415.820468,98127,13240,4,TX,1,100,LC,1032485.7476977,LM,1032485.7476985
1032486.965665,1032486.965668,1760462416.778484,99085,13386,4,TX,1,100,LC,1032486.7527601,LM,1032486.7527609
1032487.976680,1032487.976683,1760462417.789502,100096,13551,4,TX,1,100,LC,1032487.7578186,LM,1032487.7578164
1032488.973694,1032488.973698,1760462418.786519,101093,13713,4,TX,1,100,LC,1032488.7628914,LM,1032488.7628891
1032489.984709,1032489.984712,1760462419.797536,102104,13876,4,TX,1,100,LC,1032489.7650516,LM,1032489.7650524
1032491.029725,1032491.029728,1760462420.842554,103149,14046,4,TX,1,100,LC,1032490.7670294,LM,1032490.7670302
1032491.816736,1032491.816739,1760462421.629567,103936,14177,4,TX,1,100,LC,1032491.7711800,LM,1032491.7711793
1032492.984753,1032492.984756,1760462422.797587,105104,14356,4,TX,1,100,LC,1032492.7729675,LM,1032492.7729668
1032494.003768,1032494.003771,1760462423.816605,106123,14519,4,TX,1,100,LC,1032493.7753078,LM,1032493.7753117
1032494.999783,1032494.999786,1760462424.812622,107119,14683,4,TX,1,100,LC,1032494.7803667,LM,1032494.7803706
1032496.014798,1032496.014801,1760462425.827639,108134,14849,4,TX,1,100,LC,1032495.7809593,LM,1032495.7809626
1032497.011813,1032497.011815,1760462426.824656,109131,15011,4,TX,1,100,LC,1032496.7860396,LM,1032496.7860430
1032498.027827,1032498.027830,1760462427.840673,110147,15171,4,TX,1,100,LC,1032497.7911290,LM,1032497.7911253
1032499.002842,1032499.002844,1760462428.815690,111122,15317,4,TX,1,100,LC,1032498.7962069,LM,1032498.7962032
1032500.018857,1032500.018859,1760462429.831707,112138,15482,4,TX,1,100,LC,1032499.8002693,LM,1032499.8002661
1032501.024872,1032501.024874,1760462430.837724,113144,15652,4,TX,1,100,LC,1032500.8053414,LM,1032500.8053382
1032502.024886,1032502.024889,1760462431.837741,114144,15814,4,TX,1,100,LC,1032501.8054501,LM,1032501.8054525
1032503.030901,1032503.030903,1760462432.843759,115150,15977,4,TX,1,100,LC,1032502.8102197,LM,1032502.8102220
1032504.051916,1032504.051918,1760462433.864776,116171,16138,4,TX,1,100,LC,1032503.8149021,LM,1032503.8148963
1032504.877928,1032504.877930,1760462434.690790,116997,16271,4,TX,1,100,LC,1032504.8184037,LM,1032504.8183979
1032506.030945,1032506.030947,1760462435.843810,118150,16457,4,TX,1,100,LC,1032505.8224615,LM,1032505.8224641
1032507.040960,1032507.040962,1760462436.853827,119160,16622,4,TX,1,100,LC,1032506.8275180,LM,1032506.8275206
1032518.078122,1032518.078123,1760462447.891016,130197,18352,4,TX,1,100,LC,1032517.8764409,LM,1032517.8764399
1032519.040136,1032519.040138,1760462448.853032,131159,18500,4,TX,1,100,LC,1032518.8792774,LM,1032518.8792763
1032520.044151,1032520.044152,1760462449.857049,132163,18664,4,TX,1,100,LC,1032519.8843522,LM,1032519.8843559
1032521.080166,1032521.080167,1760462450.893067,133199,18826,4,TX,1,100,LC,1032520.8855893,LM,1032520.8855930
1032522.098181,1032522.098182,1760462451.911084,134217,18989,4,TX,1,100,LC,1032521.8875812,LM,1032521.8875783
1032523.062195,1032523.062196,1760462452.875101,135181,19140,4,TX,1,100,LC,1032522.8879525,LM,1032522.8879495
1032523.948208,1032523.948209,1760462453.761116,136067,19285,4,TX,1,100,LC,1032523.8930105,LM,1032523.8930135
1032525.068225,1032525.068226,1760462454.881135,137187,19467,4,TX,1,100,LC,1032524.8980892,LM,1032524.8980922
1032526.076240,1032526.076240,1760462455.889152,138195,19630,4,TX,1,100,LC,1032525.9031732,LM,1032525.9031737
1032527.089255,1032527.089255,1760462456.902169,139208,19792,4,TX,1,100,LC,1032526.9082341,LM,1032526.9082346
1032528.080269,1032528.080270,1760462457.893186,140199,19945,4,TX,1,100,LC,1032527.9132908,LM,1032527.9132897
1032529.083284,1032529.083284,1760462458.896204,141202,20108,4,TX,1,100,LC,1032528.9183483,LM,1032528.9183471
1032530.094299,1032530.094299,1760462459.907221,142213,20273,4,TX,1,100,LC,1032529.9234006,LM,1032529.9234025
1032531.096313,1032531.096314,1760462460.909238,143215,20435,4,TX,1,100,LC,1032530.9250977,LM,1032530.9250996
1032532.106328,1032532.106329,1760462461.919255,144225,20597,4,TX,1,100,LC,1032531.9300904,LM,1032531.9300753
1032533.129343,1032533.129344,1760462462.942273,145248,20760,4,TX,1,100,LC,1032532.9339118,LM,1032532.9338967
1032534.144358,1032534.144359,1760462463.957290,146263,20927,4,TX,1,100,LC,1032533.9353696,LM,1032533.9353699
1032535.105372,1032535.105373,1760462464.918306,147224,21077,4,TX,1,100,LC,1032534.9404476,LM,1032534.9404480
1032536.117387,1032536.117387,1760462465.930324,148236,21240,4,TX,1,100,LC,1032535.9455151,LM,1032535.9455147
1032537.003400,1032537.003400,1760462466.816339,149122,21389,4,TX,1,100,LC,1032536.9461460,LM,1032536.9461457
1032538.118417,1032538.118417,1760462467.931358,150237,21567,4,TX,1,100,LC,1032537.9471738,LM,1032537.9471668
1032581.382052,1032581.382050,1760462511.195096,193500,28372,4,TX,1,100,LC,1032581.1119492,LM,1032581.1119608
