time,ppg
62863.88195414137,129656.0
62863.892004790934,129640.0
62863.9020554405,129632.0
62863.91210609007,129650.0
62863.92215673964,129639.0
62863.93220738921,129656.0
62863.942258038776,129675.0
62863.95230868834,129658.0
62863.962359337915,129646.0
62863.97240998748,129673.0
62863.98246063705,129611.0
62863.99251128662,129661.0
62864.002561936184,129651.0
62864.01261258576,129636.0
62864.02266323532,129645.0
62864.03271388489,129651.0
62864.04276453446,129672.0
62864.052815184026,129635.0
62864.0628658336,129632.0
62864.072916483165,129651.0
62864.08296713273,129687.0
62864.0930177823,129644.0
62864.10306843187,129696.0
62864.11311908144,129668.0
62864.12316973101,129678.0
62864.13322038057,129683.0
62864.143271030145,129656.0
62864.15332167971,129603.0
62864.16337232928,129614.0
62864.17342297885,129601.0
62864.183473628415,129638.0
62864.19352427799,129612.0
62864.20357492755,129595.0
62864.213625577126,129646.0
62864.22367622669,129612.0
62864.23372687626,129596.0
62864.24377752583,129610.0
62864.253828175395,129611.0
62864.26387882496,129631.0
62864.27392947453,129620.0
62864.2839801241,129619.0
62864.29403077367,129608.0
62864.30408142324,129600.0
62864.3141320728,129620.0
62864.324182722376,129604.0
62864.33423337194,129558.0
62864.344284021514,129580.0
62864.35433467108,129625.0
62864.364385320645,129591.0
62864.37443597022,129630.0
62864.38448661978,129618.0
62864.394537269356,129631.0
62864.40458791892,129602.0
62864.41463856849,129623.0
62864.42468921806,129624.0
62864.434739867625,129586.0
62864.4447905172,129611.0
62864.454841166764,129597.0
62864.46489181633,129614.0
62864.4749424659,129606.0
62864.48499311547,129612.0
62864.49504376504,129621.0
62864.505094414606,129629.0
62864.51514506417,129634.0
62864.525195713744,129616.0
62864.53524636331,129598.0
62864.545297012875,129605.0
62864.55534766245,129574.0
62864.565398312014,129610.0
62864.57544896159,129646.0
62864.58549961115,129644.0
62864.59555026072,129616.0
62864.60560091029,129625.0
62864.615651559856,129601.0
62864.62570220943,129623.0
62864.635752858994,129599.0
62864.64580350856,129627.0
62864.65585415813,129620.0
62864.6659048077,129666.0
62864.67595545727,129632.0
62864.68600610684,129614.0
62864.6960567564,129592.0
62864.706107405975,129627.0
62864.71615805554,129630.0
62864.72620870511,129628.0
62864.73625935468,129632.0
62864.746310004244,129652.0
62864.75636065382,129637.0
62864.76641130338,129622.0
62864.77646195295,129643.0
62864.78651260252,129629.0
62864.796563252086,129617.0
62864.80661390166,129643.0
62864.816664551225,129634.0
62864.82671520079,129623.0
62864.83676585036,129636.0
62864.84681649993,129643.0
62864.8568671495,129656.0
62864.86691779907,129674.0
62864.87696844863,129639.0
62864.887019098205,129674.0
62864.89706974777,129666.0
62864.90712039734,129632.0
62864.91717104691,129641.0
62864.927221696475,129662.0
62864.93727234605,129648.0
62864.94732299561,129661.0
62864.957373645186,129675.0
62864.96742429475,129639.0
62864.97747494432,129658.0
62864.98752559389,129661.0
62864.997576243455,129639.0
62865.00762689302,129657.0
62865.01767754259,129667.0
62865.02772819216,129659.0
62865.03777884173,129689.0
62865.0478294913,129638.0
62865.05788014086,129669.0
62865.067930790436,129675.0
62865.07798144,129619.0
62865.088032089574,129654.0
62865.09808273914,129633.0
62865.108133388705,129637.0
62865.11818403828,129617.0
62865.12823468784,129630.0
62865.138285337416,129607.0
62865.14833598698,129570.0
62865.15838663655,129603.0
62865.16843728612,129623.0
62865.178487935686,129605.0
62865.18853858526,129596.0
62865.198589234824,129633.0
62865.20863988439,129623.0
62865.21869053396,129587.0
62865.22874118353,129575.0
62865.23879183309,129622.0
62865.248842482666,129589.0
62865.25889313223,129600.0
62865.268943781804,129607.0
62865.27899443137,129616.0
62865.289045080935,129587.0
62865.29909573051,129619.0
62865.309146380074,129599.0
62865.31919702965,129594.0
62865.32924767921,129595.0
62865.33929832878,129581.0
62865.34934897835,129587.0
62865.359399627916,129598.0
62865.36945027749,129605.0
62865.379500927054,129609.0
62865.38955157662,129608.0
