time,hr_bpm,is_valid,hr_bpm_clean
63012.0,66.75616570724499,True,67.90365343499221
63013.0,66.75616570724499,True,69.2972318672986
63014.0,70.19862889048665,True,70.02417343927344
63015.0,73.47796716421782,True,70.23090588463033
63016.0,72.93193972717278,True,71.702363615776
63017.0,67.78982793402939,True,72.36184842969082
63018.0,74.11345436297331,True,71.08809464003448
63019.0,73.49605296006084,True,71.00047755628509
63020.0,67.10919821593615,True,73.01821404966226
63021.0,72.49385430842571,True,74.84815647574857
63022.0,77.87851040091529,True,75.52017420980437
63023.0,83.26316649340485,True,75.18333894287879
63024.0,76.85614163033979,True,75.59096338737906
63025.0,65.4250218813083,True,75.32234696360777
63026.0,74.53197653092711,True,72.98652123055092
63027.0,76.53542828205876,True,70.4863433988921
63028.0,71.58403782812061,True,70.46377828429624
63029.0,64.3552524720457,True,69.36238710175161
63030.0,65.31219630832898,True,68.31556837021517
63031.0,69.02502061820401,True,68.71429053070088
63032.0,71.3013346243766,True,71.0140325636361
63033.0,73.57764863054918,True,73.57764863054918
63034.0,75.85396263672176,True,75.85396263672176
63035.0,78.13027664289434,True,75.50883644232184
63036.0,80.40659064906693,True,72.54227004734943
63037.0,69.57570365237702,True,70.16420705036364
63038.0,58.744816655687096,True,67.15662807051685
63039.0,63.9636476517928,True,63.51953310780906
63040.0,63.09238174366039,True,61.87436236281276
63041.0,62.22111583552798,True,62.076482099272575
63042.0,61.349849927395574,True,62.88372548070388
63043.0,59.75541533798613,True,65.0896129602335
63044.0,67.99986455894927,True,66.57297740672293
63045.0,74.12181914130849,True,66.34359748903545
63046.0,69.63793806797521,True,66.13615305812098
63047.0,60.20295033895817,True,64.6079371918648
63048.0,58.71819318341382,True,62.300524102532236
63049.0,60.35878522766829,True,60.85561724845494
63050.0,62.58475369464568,True,61.164789154742515
63051.0,62.41340379758876,True,63.44341182573845
63052.0,61.74880987039606,True,66.46958695418428
63053.0,70.11130653839349,True,66.41917892264908
63054.0,75.48966086989735,True,66.59405265542235
63055.0,62.33271353696971,True,66.70814800564371
63056.0,63.28777246145509,True,65.22110781571516
63057.0,62.31928662150285,True,62.455584854544256
63058.0,62.67610558875076,True,62.32816837485416
63059.0,61.66204606404289,True,62.64836041738548
63060.0,61.69563113851923,True,63.229582109430524
63061.0,64.88873267411168,True,64.37542228618808
63062.0,65.22539508172807,True,64.90793489605008
63063.0,68.40530647253856,True,64.9690236295566
63064.0,64.32460911335286,True,65.35268998159097
63065.0,62.00107480605178,True,66.02483188607769
63066.0,66.80706443428357,True,64.91899130936346
63067.0,68.58610460416169,True,65.25753261947611
63068.0,62.87610358896748,True,65.74610090556165
63069.0,66.017315663916,True,67.34659499919157
63070.0,64.44391623647954,True,68.51315065832732
63071.0,74.80953490243307,True,68.95492801574073
63072.0,74.41888289984054,True,69.22168406946211
63073.0,65.08499037603448,True,69.1886556273486
63074.0,67.35109593252301,True,68.32895356048577
63075.0,64.27877402591184,True,67.29953192974897
63076.0,70.51102456811897,True,69.08207573460602
63077.0,69.27177474615652,True,68.67941031130644
63078.0,73.99770940031976,True,69.23168513198672
63079.0,65.33776881602505,True,68.32434536360786
63080.0,67.04014812931328,True,67.82192778996992
63081.0,65.97432572622472,True,65.64182341285249
63082.0,66.7596868779667,True,65.4057574621557
