segment,status,n_subjects,n_seconds,t_start_sec,t_end_sec,mean_pairwise_r_zero_lag,leave_one_out_isc,mean_pairwise_best_r_maxlag,mean_abs_lag_s_at_best_r,max_lag_s,files
baseline_warmup,ok,7,138,62864,63001,-0.07441484144256366,-0.15711391880228626,0.08935479542122444,4.238095238095238,5,"{'aligned_matrix': 'analysis_outputs/synchrony_lag5/baseline_warmup/aligned_HR_matrix.csv', 'pairwise_corr_zero_lag': 'analysis_outputs/synchrony_lag5/baseline_warmup/pairwise_corr.csv', 'heatmap_zero_lag_png': 'analysis_outputs/synchrony_lag5/baseline_warmup/pairwise_corr_heatmap.png', 'windowed_sync_csv': 'analysis_outputs/synchrony_lag5/baseline_warmup/synchrony_timeseries.csv', 'windowed_sync_png': 'analysis_outputs/synchrony_lag5/baseline_warmup/synchrony_timeseries.png', 'pairwise_corr_bestlag': 'analysis_outputs/synchrony_lag5/baseline_warmup/pairwise_corr_bestlag_pm5.csv', 'pairwise_bestlag_lag_s': 'analysis_outputs/synchrony_lag5/baseline_warmup/pairwise_bestlag_lag_s_pm5.csv', 'heatmap_bestlag_png': 'analysis_outputs/synchrony_lag5/baseline_warmup/pairwise_corr_bestlag_pm5_heatmap.png', 'heatmap_lag_png': 'analysis_outputs/synchrony_lag5/baseline_warmup/pairwise_bestlag_lag_s_pm5_heatmap.png'}"
meditation_all,ok,7,935,63012,63946,0.08813619462387882,0.19911981412060173,0.13268718245704536,3.3333333333333335,5,"{'aligned_matrix': 'analysis_outputs/synchrony_lag5/meditation_all/aligned_HR_matrix.csv', 'pairwise_corr_zero_lag': 'analysis_outputs/synchrony_lag5/meditation_all/pairwise_corr.csv', 'heatmap_zero_lag_png': 'analysis_outputs/synchrony_lag5/meditation_all/pairwise_corr_heatmap.png', 'windowed_sync_csv': 'analysis_outputs/synchrony_lag5/meditation_all/synchrony_timeseries.csv', 'windowed_sync_png': 'analysis_outputs/synchrony_lag5/meditation_all/synchrony_timeseries.png', 'pairwise_corr_bestlag': 'analysis_outputs/synchrony_lag5/meditation_all/pairwise_corr_bestlag_pm5.csv', 'pairwise_bestlag_lag_s': 'analysis_outputs/synchrony_lag5/meditation_all/pairwise_bestlag_lag_s_pm5.csv', 'heatmap_bestlag_png': 'analysis_outputs/synchrony_lag5/meditation_all/pairwise_corr_bestlag_pm5_heatmap.png', 'heatmap_lag_png': 'analysis_outputs/synchrony_lag5/meditation_all/pairwise_bestlag_lag_s_pm5_heatmap.png'}"
