peak_time,ibi_sec,hr_bpm,peak_time_from_segment_start_sec,emotibit_id,segment,selected_channel,ibi_valid,hr_valid,keep
62859.51683364171,0.555162743134133,108.07641676614344,0.6359136875908007,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62860.47575110712,0.9589174654101953,62.57055707535147,1.594831153000996,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62861.38419923225,0.908448125126597,66.0466991350097,2.503279278127593,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62862.23208414904,0.8478849167877343,70.76432050155321,3.3511641949153272,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62863.120344538045,0.8882603890087921,67.54776047928229,4.239424583924119,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62863.83700917009,0.7166646320474683,83.7211679172496,4.956089215971588,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62864.70508182299,0.8680726528982632,69.11863862969994,5.824161868869851,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62865.563060607834,0.8579787848429987,69.93179908402908,6.68214065371285,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62866.49169646908,0.9286358612444019,64.61090132745689,7.6107765149572515,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62867.27901817752,0.7873217084415955,76.20772977130589,8.398098223398847,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62868.096621490135,0.8176033126146649,73.38522126105659,9.215701536013512,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62868.883943198576,0.7873217084415955,76.20772977130589,10.003023244455107,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62869.68135877508,0.797415576504136,75.24307496354606,10.800438820959243,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62870.609994636325,0.9286358612444019,64.61090132745689,11.729074682203645,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62871.55881823368,0.9488235973549308,63.23620129944505,12.677898279558576,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62872.54801730326,0.9891990695832646,60.655131858622894,13.66709734914184,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62873.45646542839,0.908448125126597,66.0466991350097,14.575545474268438,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62874.22359940072,0.7671339723310666,78.21319634389262,15.342679446599504,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62875.01092110916,0.7873217084415955,76.20772977130589,16.1300011550411,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62875.76796121343,0.7570401042685262,79.25603896239251,16.887041259309626,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62876.64612773439,0.8781665209608036,68.32417151857929,17.76520778027043,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62877.51420038729,0.8680726528982632,69.11863862969994,18.633280433168693,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62878.41255464436,0.8983542570713325,66.78879687797348,19.531634690240026,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62879.3411905056,0.9286358612371259,64.61090132796312,20.46027055147715,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62880.11841834599,0.777227840393607,77.19744054666717,21.23749839187076,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62880.996584866945,0.8781665209535277,68.32417151914538,22.115664912824286,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62881.8747513879,0.8781665209535277,68.32417151914538,22.993831433777814,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62882.8134811172,0.9387297292996664,63.916160453086576,23.93256116307748,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62883.80268018678,0.9891990695832646,60.655131858622894,24.921760232660745,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62884.6909405758,0.8882603890160681,67.54776047872899,25.810020621676813,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62885.54891936064,0.8579787848429987,69.93179908402908,26.66799940651981,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62886.41699201354,0.8680726528982632,69.11863862969994,27.536072059418075,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62887.33553400672,0.9185419931818615,65.32091123254791,28.454614052599936,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62888.264169867965,0.9286358612444019,64.61090132745689,29.383249913844338,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62889.18271186115,0.9185419931818615,65.32091123254791,30.3017919070262,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62890.02050290988,0.8377910487324698,71.61690267612263,31.13958295575867,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62890.928951035006,0.908448125126597,66.0466991350097,32.048031080885266,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62891.87777463236,0.9488235973549308,63.23620129944505,32.9968546782402,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62892.76603502137,0.8882603890087921,67.54776047928229,33.88511506724899,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62893.57354446593,0.8075094445594004,74.30253652666275,34.69262451180839,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62894.502180327174,0.9286358612444019,64.61090132745689,35.62126037305279,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62895.22893882728,0.7267585001027328,82.55837391859681,36.348018873155524,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62895.91532185515,0.686383027874399,87.41474885503635,37.03440190102992,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62896.74301903582,0.8276971806699294,72.49027953851025,37.86209908169985,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62897.61109168872,0.8680726528982632,69.11863862969994,38.730171734598116,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62898.499352077735,0.8882603890160681,67.54776047872899,39.618432123614184,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62899.39770633481,0.8983542570713325,66.78879687797348,40.51678638068552,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62900.20521577936,0.8075094445521245,74.30253652733225,41.32429582523764,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62900.921880411406,0.7166646320474683,83.7211679172496,42.04096045728511,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62901.63854504345,0.7166646320474683,83.7211679172496,42.75762508933258,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62902.41577288384,0.7772278403863311,77.19744054738985,43.53485292971891,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62903.26365780062,0.8478849167804583,70.76432050216046,44.38273784649937,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62904.05097950907,0.7873217084488715,76.20772977060163,45.17005955494824,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62904.63642385637,0.5854443472999264,102.48625727914265,45.755503902248165,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62905.48430877316,0.8478849167877343,70.76432050155321,46.6033888190359,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62906.19087953714,0.7065707639849279,84.91718460244681,47.30995958302083,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62907.30120502341,1.110325486268266,54.03820838307172,48.42028506928909,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62908.1490899402,0.8478849167877343,70.76432050155321,49.26816998607683,EmotiBit_4,pre_meditation,PPG_2,True,True,True
62908.97678712087,0.8276971806699294,72.49027953851025,50.09586716674676,EmotiBit_4,pre_meditation,PPG_2,True,True,True
