peak_time,ibi_sec,hr_bpm,peak_time_from_segment_start_sec,emotibit_id,segment,selected_channel,ibi_valid,hr_valid,keep
63857.99577503678,1.0602936137511279,56.58809901507452,1.5404265709294123,EmotiBit_7,recovery,PPG_1,True,True,True
63858.88602156154,0.8902465247592772,67.3970617478389,2.4306730956886895,EmotiBit_7,recovery,PPG_1,True,True,True
63859.696245926774,0.8102243652319885,74.05356167340194,3.240897460920678,EmotiBit_7,recovery,PPG_1,True,True,True
63860.506470292,0.8102243652247125,74.05356167406696,4.0511218261453905,EmotiBit_7,recovery,PPG_1,True,True,True
63861.41672235664,0.9102520646410994,65.9158076435204,4.96137389078649,EmotiBit_7,recovery,PPG_1,True,True,True
63862.437004890635,1.0202825339947594,58.807240152469554,5.981656424781249,EmotiBit_7,recovery,PPG_1,True,True,True
63863.53730958416,1.1003046935220482,54.53034995964752,7.0819611183032976,EmotiBit_7,recovery,PPG_1,True,True,True
63864.527583808325,0.9902742241683882,60.58927773303073,8.072235342471686,EmotiBit_7,recovery,PPG_1,True,True,True
63865.397824793195,0.8702409848701791,68.9464194897126,8.942476327341865,EmotiBit_7,recovery,PPG_1,True,True,True
63866.38809901736,0.9902742241611122,60.5892777334759,9.932750551502977,EmotiBit_7,recovery,PPG_1,True,True,True
63867.488403710886,1.1003046935293241,54.53034995928693,11.033055245032301,EmotiBit_7,recovery,PPG_1,True,True,True
63868.54869732464,1.0602936137511279,56.58809901507452,12.093348858783429,EmotiBit_7,recovery,PPG_1,True,True,True
63869.458949389285,0.9102520646483754,65.9158076429935,13.003600923431804,EmotiBit_7,recovery,PPG_1,True,True,True
63870.5092402331,1.0502908438138547,57.12703329120322,14.05389176724566,EmotiBit_7,recovery,PPG_1,True,True,True
63871.59954215668,1.090301923577499,55.03062839981789,15.144193690823158,EmotiBit_7,recovery,PPG_1,True,True,True
63872.689844080254,1.090301923577499,55.03062839981789,16.234495614400657,EmotiBit_7,recovery,PPG_1,True,True,True
63873.6501099946,0.9602659143492929,62.48269266191535,17.19476152874995,EmotiBit_7,recovery,PPG_1,True,True,True
63874.62037867889,0.970268684286566,61.83854119142031,18.165030213036516,EmotiBit_7,recovery,PPG_1,True,True,True
63875.66066675277,1.0402880738765816,57.676331688022714,19.205318286913098,EmotiBit_7,recovery,PPG_1,True,True,True
63876.70095482664,1.0402880738765816,57.676331688022714,20.24560636078968,EmotiBit_7,recovery,PPG_1,True,True,True
63877.6412152011,0.9402603744601947,63.81211165518499,21.185866735249874,EmotiBit_7,recovery,PPG_1,True,True,True
