timestamp,time_from_segment_start_sec,selected_channel_name,backup_channel_name,selected_channel_raw,selected_channel_clipped,selected_channel_detrended,selected_channel_filtered,selected_channel_filtered_z
63102.987382060375,0.0,PPG_2,PPG_3,92768.0,92768.0,-153.9005459400796,0.5087837018131544,0.012605362502447157
63102.99747102793,0.0100889675522921,PPG_2,PPG_3,92776.0,92776.0,-145.93900531964027,-6.510645648816945,-0.15613667899308833
63103.00755999547,0.0201779350973083,PPG_2,PPG_3,92759.0,92759.0,-162.9774646992155,-13.384482322349799,-0.3213787770697212
63103.01764896302,0.0302669026423245,PPG_2,PPG_3,92736.0,92736.0,-186.01592407877615,-20.011166692021344,-0.48067951122192926
63103.02773793057,0.0403558701946167,PPG_2,PPG_3,92713.0,92713.0,-209.05438345835137,-26.306307418925353,-0.6320101742571115
63103.037826898115,0.0504448377396329,PPG_2,PPG_3,92707.0,92707.0,-215.09284283791203,-32.211842986768296,-0.7739750090129258
63103.04791586566,0.0605338052846491,PPG_2,PPG_3,92728.0,92728.0,-194.13130221748725,-37.69969988837968,-0.905899148534345
63103.05800483321,0.0706227728369413,PPG_2,PPG_3,92731.0,92731.0,-191.1697615970479,-42.76613734325498,-1.0276926671439968
63103.06809380076,0.0807117403819575,PPG_2,PPG_3,92721.0,92721.0,-201.20822097662312,-47.41822044062771,-1.1395254045141765
63103.0781827683,0.0908007079269737,PPG_2,PPG_3,92738.0,92738.0,-184.2466803561838,-51.65818555497748,-1.2414511214816117
63103.088271735855,0.1008896754792658,PPG_2,PPG_3,92707.0,92707.0,-215.285139735759,-55.471921637997426,-1.3331305985770263
63103.0983607034,0.110978643024282,PPG_2,PPG_3,92694.0,92694.0,-228.32359911531967,-58.82542139253745,-1.4137463247948656
63103.108449670945,0.1210676105692982,PPG_2,PPG_3,92716.0,92716.0,-206.36205849489488,-61.669616183910506,-1.4821187253895345
63103.1185386385,0.1311565781215904,PPG_2,PPG_3,92663.0,92663.0,-259.40051787445555,-63.951126762000946,-1.5369646015156446
63103.12862760604,0.1412455456666066,PPG_2,PPG_3,92693.0,92693.0,-229.43897725403076,-65.62539792630118,-1.5772128781445371
63103.13871657359,0.1513345132116228,PPG_2,PPG_3,92668.0,92668.0,-254.47743663359142,-66.66849786618788,-1.6022882517323564
63103.14880554114,0.161423480763915,PPG_2,PPG_3,92701.0,92701.0,-221.51589601316664,-67.08412873203548,-1.6122797193158838
63103.15889450869,0.1715124483089312,PPG_2,PPG_3,92695.0,92695.0,-227.5543553927273,-66.90448997182264,-1.6079613325046653
63103.16898347623,0.1816014158539474,PPG_2,PPG_3,92689.0,92689.0,-233.59281477230252,-66.18683591451989,-1.5907094442573748
63103.179072443774,0.1916903833989636,PPG_2,PPG_3,92685.0,92685.0,-237.63127415186318,-65.00898336081056,-1.562394714588388
63103.18916141133,0.2017793509512557,PPG_2,PPG_3,92656.0,92656.0,-266.6697335314384,-63.46523759102232,-1.5252841747236654
63103.19925037887,0.2118683184962719,PPG_2,PPG_3,92726.0,92726.0,-196.70819291099906,-61.661110790521725,-1.4819142618395145
63103.20933934642,0.2219572860412881,PPG_2,PPG_3,92689.0,92689.0,-233.74665229057427,-59.7047922069397,-1.434885767766894
