timestamp,time_from_segment_start_sec,selected_channel_name,backup_channel_name,selected_channel_raw,selected_channel_clipped,selected_channel_detrended,selected_channel_filtered,selected_channel_filtered_z
63856.46400421514,0.0,PPG_1,PPG_2,126615.0,126615.0,-70.88745057053166,-7.2768369427974,-0.3568356411859428
63856.47405486471,0.0100506495728041,PPG_1,PPG_2,126613.0,126613.0,-72.85851937654661,-9.45879067253868,-0.4640164521508473
63856.484105514275,0.0201012991383322,PPG_1,PPG_2,126629.0,126629.0,-56.82958818257612,-11.54904578746742,-0.5666928908341582
63856.49415616385,0.0301519487111363,PPG_1,PPG_2,126600.0,126600.0,-85.80065698860562,-13.438503745741471,-0.6595058746713168
63856.50420681341,0.0402025982766645,PPG_1,PPG_2,126579.0,126579.0,-106.77172579463513,-15.035393769793952,-0.737947486638957
63856.51425746298,0.0502532478421926,PPG_1,PPG_2,126627.0,126627.0,-58.742794600650086,-16.27376682784145,-0.7987782122540036
63856.52430811255,0.0603038974149967,PPG_1,PPG_2,126582.0,126582.0,-103.7138634066796,-17.11835980561159,-0.8402658749201597
63856.53435876212,0.0703545469805249,PPG_1,PPG_2,126615.0,126615.0,-70.6849322127091,-17.563965795127114,-0.8621547035768313
63856.54440941169,0.080405196553329,PPG_1,PPG_2,126602.0,126602.0,-83.6560010187386,-17.629906481289815,-0.8653938081106102
63856.554460061256,0.0904558461188571,PPG_1,PPG_2,126640.0,126640.0,-45.62706982475356,-17.35130620898612,-0.8517085485592567
63856.56451071082,0.1005064956843853,PPG_1,PPG_2,126602.0,126602.0,-83.59813863078307,-16.76990633689673,-0.8231493225151639
63856.574561360394,0.1105571452571894,PPG_1,PPG_2,126618.0,126618.0,-67.56920743681258,-15.928027048185632,-0.7817949602898423
63856.58461200996,0.1206077948227175,PPG_1,PPG_2,126595.0,126595.0,-90.54027624282753,-14.867616252592569,-0.7297060055707703
63856.59466265953,0.1306584443955216,PPG_1,PPG_2,126611.0,126611.0,-74.51134504885704,-13.632958827924517,-0.6690577973910976
63856.6047133091,0.1407090939610498,PPG_1,PPG_2,126593.0,126593.0,-92.48241385488654,-12.273673443916996,-0.6022876785728848
63856.61476395866,0.1507597435265779,PPG_1,PPG_2,126625.0,126625.0,-60.45348266091605,-10.844965436759088,-0.5321074172997028
63856.62481460824,0.160810393099382,PPG_1,PPG_2,126619.0,126619.0,-66.424551466931,-9.403839005614884,-0.4613171445787
63856.6348652578,0.1708610426649102,PPG_1,PPG_2,126640.0,126640.0,-45.395620272960514,-8.002487843044664,-0.3924806921811978
63856.64491590737,0.1809116922304383,PPG_1,PPG_2,126600.0,126600.0,-85.36668907899002,-6.682062419002469,-0.3276194323669023
63856.65496655694,0.1909623418032424,PPG_1,PPG_2,126644.0,126644.0,-41.33775788501953,-5.469540056437879,-0.26805853134442076
63856.665017206506,0.2010129913687706,PPG_1,PPG_2,126619.0,126619.0,-66.30882669103448,-4.37817736096362,-0.21444917328913105
63856.67506785608,0.2110636409415747,PPG_1,PPG_2,126609.0,126609.0,-76.27989549706399,-3.4107343740248486,-0.16692693553998225
63856.68511850565,0.2211142905071028,PPG_1,PPG_2,126608.0,126608.0,-77.2509643030935,-2.564160701826945,-0.1253419782189728
63856.69516915521,0.231164940072631,PPG_1,PPG_2,126651.0,126651.0,-34.22203310910845,-1.8332543927911664,-0.08943877373117243
63856.70521980478,0.2412155896454351,PPG_1,PPG_2,126627.0,126627.0,-58.19310191513796,-1.2112791315374636,-0.05888642425069802
63856.71527045435,0.2512662392109632,PPG_1,PPG_2,126629.0,126629.0,-56.164170721167466,-0.6888493612743637,-0.03322389727509291
63856.72532110392,0.2613168887837673,PPG_1,PPG_2,126618.0,126618.0,-67.13523952719697,-0.25404964923294016,-0.011865889032895913
63856.735371753486,0.2713675383492955,PPG_1,PPG_2,126648.0,126648.0,-37.10630833321193,0.10547117372468051,0.005794308265575986
63856.74542240305,0.2814181879148236,PPG_1,PPG_2,126624.0,126624.0,-61.077377139241435,0.39959732701125356,0.020242222172064128
63856.755473052624,0.2914688374876277,PPG_1,PPG_2,126619.0,126619.0,-66.04844594527094,0.6325010981484429,0.031682801652284535
63856.76552370219,0.3015194870531559,PPG_1,PPG_2,126619.0,126619.0,-66.01951475130045,0.7993090658491201,0.03987665700763439
63856.77557435176,0.31157013662596,PPG_1,PPG_2,126638.0,126638.0,-46.990583557315404,0.88447910555111,0.04406033597421577
63856.78562500133,0.3216207861914881,PPG_1,PPG_2,126644.0,126644.0,-40.96165236334491,0.8637432449238907,0.04304175967363394
63856.795675650894,0.3316714357570163,PPG_1,PPG_2,126600.0,126600.0,-84.93272116937442,0.7090151435652072,0.035441285311306366
63856.80572630047,0.3417220853298204,PPG_1,PPG_2,126633.0,126633.0,-51.90378997538937,0.3946186822414707,0.019997663739564835
63856.81577695003,0.3517727348953485,PPG_1,PPG_2,126657.0,126657.0,-27.87485878141888,-0.09502537666997185,-0.004054380354192653
63856.825827599605,0.3618233844681526,PPG_1,PPG_2,126641.0,126641.0,-43.84592758744839,-0.7561496262758494,-0.03652978634262483
63856.83587824917,0.3718740340336808,PPG_1,PPG_2,126634.0,126634.0,-50.81699639347789,-1.5580388209928515,-0.07591977570044384
63856.845928898736,0.3819246835992089,PPG_1,PPG_2,126646.0,126646.0,-38.78806519949285,-2.4414600421471633,-0.1193147394048999
63856.85597954831,0.391975333172013,PPG_1,PPG_2,126613.0,126613.0,-71.75913400552236,-3.3245305485120022,-0.1626924754775136
63856.866030197874,0.4020259827375412,PPG_1,PPG_2,126616.0,126616.0,-68.73020281155186,-4.114122737908927,-0.20147841765290134
63856.87608084745,0.4120766323103453,PPG_1,PPG_2,126622.0,126622.0,-62.70127161758137,-4.719011959420362,-0.23119147546059954
63856.88613149701,0.4221272818758734,PPG_1,PPG_2,126638.0,126638.0,-46.672340423596324,-5.060596714444451,-0.24797062643786208
