peak_index,peak_time,peak_time_from_segment_start_sec,peak_amplitude_filtered,emotibit_id,segment,selected_channel
17,63103.15776841582,0.1708610426649102,30.838695847051877,EmotiBit_1,main_meditation,PPG_1
90,63103.891465834306,0.9045584611521916,13.51689967071794,EmotiBit_1,main_meditation,PPG_1
206,63105.05734118424,2.070433811088151,27.438654711275944,EmotiBit_1,main_meditation,PPG_1
305,63106.052355491505,3.065448118351924,25.00723121626118,EmotiBit_1,main_meditation,PPG_1
401,63107.01721785007,4.030310476919112,25.03880756364064,EmotiBit_1,main_meditation,PPG_1
490,63107.91172566166,4.924818288505776,13.014090945113404,EmotiBit_1,main_meditation,PPG_1
570,63108.71577762713,5.728870253973582,31.59932025165949,EmotiBit_1,main_meditation,PPG_1
647,63109.48967764389,6.502770270737528,20.872694207418377,EmotiBit_1,main_meditation,PPG_1
738,63110.404286754616,7.417379381462524,41.34214186442971,EmotiBit_1,main_meditation,PPG_1
835,63111.37919976275,8.39229238959524,34.19453072520103,EmotiBit_1,main_meditation,PPG_1
938,63112.41441666829,9.427509295135678,47.08474472104754,EmotiBit_1,main_meditation,PPG_1
1026,63113.29887383031,10.311966457156814,38.0607589712337,EmotiBit_1,main_meditation,PPG_1
1109,63114.13307774448,11.14617037132848,38.43567189765677,EmotiBit_1,main_meditation,PPG_1
1189,63114.93712970995,11.950222336796289,21.593680321922054,EmotiBit_1,main_meditation,PPG_1
1271,63115.76128297456,12.774375601402426,31.28546456013026,EmotiBit_1,main_meditation,PPG_1
1354,63116.595486888735,13.608579515581368,33.40034159404412,EmotiBit_1,main_meditation,PPG_1
1447,63117.53019729859,14.54328992543742,35.74574008797575,EmotiBit_1,main_meditation,PPG_1
1564,63118.70612329809,15.719215924938908,22.103857942595248,EmotiBit_1,main_meditation,PPG_1
1666,63119.73128955407,16.744382180913817,17.207251163119146,EmotiBit_1,main_meditation,PPG_1
1771,63120.786607758746,17.799700385592587,13.932278041543457,EmotiBit_1,main_meditation,PPG_1
1870,63121.78162206602,18.794714692863636,15.502857713575692,EmotiBit_1,main_meditation,PPG_1
1960,63122.68618052717,19.699273154015827,12.47180928784413,EmotiBit_1,main_meditation,PPG_1
2035,63123.439979244795,20.45307187164144,11.398893589529555,EmotiBit_1,main_meditation,PPG_1
2117,63124.26413250941,21.277225136254856,9.54570771727023,EmotiBit_1,main_meditation,PPG_1
2197,63125.06818447488,22.081277101722662,21.236255103556736,EmotiBit_1,main_meditation,PPG_1
2257,63125.671223448975,22.684316075821695,11.190302511557366,EmotiBit_1,main_meditation,PPG_1
2365,63126.756693602365,23.769786229211604,14.7471074128672,EmotiBit_1,main_meditation,PPG_1
2467,63127.78185985834,24.794952485186514,13.34207462117166,EmotiBit_1,main_meditation,PPG_1
2585,63128.96783650741,25.98092913425353,19.541203192746796,EmotiBit_1,main_meditation,PPG_1
2688,63130.00305341295,27.016146039793966,15.449051669676733,EmotiBit_1,main_meditation,PPG_1
2794,63131.06842226719,28.081514894038264,24.451461483224275,EmotiBit_1,main_meditation,PPG_1
2878,63131.912676830936,28.925769457782735,14.224419915848356,EmotiBit_1,main_meditation,PPG_1
2966,63132.79713399296,29.81022661980387,11.278956190875414,EmotiBit_1,main_meditation,PPG_1
3042,63133.56098336016,30.57407598700229,21.535730816225765,EmotiBit_1,main_meditation,PPG_1
3108,63134.22432623166,31.237418858509045,20.022304093471053,EmotiBit_1,main_meditation,PPG_1
3201,63135.159036641526,32.17212926837237,12.209125556792957,EmotiBit_1,main_meditation,PPG_1
3297,63136.123899000086,33.136991626932286,31.025940479792887,EmotiBit_1,main_meditation,PPG_1
3392,63137.07871070909,34.091803335933946,19.49850188368671,EmotiBit_1,main_meditation,PPG_1
3502,63138.18428216161,35.19737478845491,23.217936998914578,EmotiBit_1,main_meditation,PPG_1
3583,63138.99838477664,36.01147740348824,15.793874089750316,EmotiBit_1,main_meditation,PPG_1
3696,63140.13410817787,37.147200804713066,17.505829866655482,EmotiBit_1,main_meditation,PPG_1
3776,63140.93816014334,37.95125277018815,22.456598938266342,EmotiBit_1,main_meditation,PPG_1
3852,63141.70200951054,38.715102137386566,15.69225492354686,EmotiBit_1,main_meditation,PPG_1
3928,63142.46585887773,39.47895150457771,23.726090504098885,EmotiBit_1,main_meditation,PPG_1
4000,63143.18950564665,40.20259827349946,14.526734724846945,EmotiBit_1,main_meditation,PPG_1
4081,63144.00360826169,41.01670088854007,28.96998675617484,EmotiBit_1,main_meditation,PPG_1
4175,63144.94836932112,41.96146194796893,32.51649704114264,EmotiBit_1,main_meditation,PPG_1
4277,63145.9735355771,42.98662820394384,30.368241968614964,EmotiBit_1,main_meditation,PPG_1
4373,63146.93839793566,43.95149056250375,30.396712555780553,EmotiBit_1,main_meditation,PPG_1
4470,63147.91331094379,44.92640357063647,24.157414275998576,EmotiBit_1,main_meditation,PPG_1
4563,63148.84802135365,45.861113980499795,23.996529064942656,EmotiBit_1,main_meditation,PPG_1
4628,63149.501313575594,46.51440620244102,30.421851048867374,EmotiBit_1,main_meditation,PPG_1
4718,63150.40587203675,47.418964663593215,36.20121353352624,EmotiBit_1,main_meditation,PPG_1
4766,63150.88830321603,47.90139584287681,15.421617981984149,EmotiBit_1,main_meditation,PPG_1
4824,63151.471240891,48.48433351784479,11.152769640409666,EmotiBit_1,main_meditation,PPG_1
4911,63152.34564740345,49.35874003029312,21.992425263124897,EmotiBit_1,main_meditation,PPG_1
4989,63153.12959806978,50.14269069662987,14.170607043849134,EmotiBit_1,main_meditation,PPG_1
5058,63153.82309289,50.83618551684776,21.86805941725996,EmotiBit_1,main_meditation,PPG_1
5129,63154.53668900935,51.54978163619671,25.459424657263664,EmotiBit_1,main_meditation,PPG_1
5209,63155.340740974825,52.353833601671795,25.205008100961393,EmotiBit_1,main_meditation,PPG_1
5303,63156.28550203425,53.298594661093375,35.318360820696455,EmotiBit_1,main_meditation,PPG_1
5389,63157.14985789713,54.16295052397618,23.656504559216124,EmotiBit_1,main_meditation,PPG_1
5512,63158.38608779404,55.399180420885386,32.90264137718666,EmotiBit_1,main_meditation,PPG_1
5615,63159.42130469958,56.434397326425824,35.56971872149015,EmotiBit_1,main_meditation,PPG_1
5715,63160.42636965642,57.43946228326968,35.96593102296475,EmotiBit_1,main_meditation,PPG_1
5814,63161.42138396369,58.43447659053345,32.76410102259924,EmotiBit_1,main_meditation,PPG_1
5889,63162.17518268132,59.18827530816634,14.756223608384854,EmotiBit_1,main_meditation,PPG_1
5985,63163.14004503988,60.15313766672625,21.37703261563313,EmotiBit_1,main_meditation,PPG_1
6085,63164.14510999672,61.15820262356283,22.906983881172582,EmotiBit_1,main_meditation,PPG_1
