peak_time,ibi_sec,hr_bpm,peak_time_from_segment_start_sec,emotibit_id,segment,selected_channel,ibi_valid,hr_valid,keep
63857.80585662202,0.8798163773317356,68.19604811399975,1.3497183061263058,EmotiBit_2,recovery,PPG_1,True,True,True
63858.69567091272,0.8898142906982685,67.42980038330909,2.2395325968245743,EmotiBit_2,recovery,PPG_1,True,True,True
63859.56548937667,0.8698184639506508,68.97991073618334,3.109351060775225,EmotiBit_2,recovery,PPG_1,True,True,True
63860.42530992724,0.859820550569566,69.78200272167786,3.969171611344791,EmotiBit_2,recovery,PPG_1,True,True,True
63861.315124217945,0.8898142907055444,67.4298003827577,4.858985902050335,EmotiBit_2,recovery,PPG_1,True,True,True
63862.23493224878,0.9198080308342469,65.23100254471711,5.778793932884582,EmotiBit_2,recovery,PPG_1,True,True,True
63863.09475279935,0.859820550569566,69.78200272167786,6.638614483454148,EmotiBit_2,recovery,PPG_1,True,True,True
63863.9645712633,0.8698184639506508,68.97991073618334,7.508432947404799,EmotiBit_2,recovery,PPG_1,True,True,True
63864.86438346738,0.8998122040793533,66.68058037886834,8.408245151484152,EmotiBit_2,recovery,PPG_1,True,True,True
63865.88417063201,1.019787164630543,58.83580621622876,9.428032316114695,EmotiBit_2,recovery,PPG_1,True,True,True
63866.78398283609,0.8998122040793533,66.68058037886834,10.327844520194049,EmotiBit_2,recovery,PPG_1,True,True,True
63867.66379921342,0.8798163773317356,68.19604811399975,11.207660897525784,EmotiBit_2,recovery,PPG_1,True,True,True
63868.55361350412,0.8898142906982685,67.42980038330909,12.097475188224053,EmotiBit_2,recovery,PPG_1,True,True,True
63869.463423621586,0.909810117467714,65.94782674762813,13.007285305691767,EmotiBit_2,recovery,PPG_1,True,True,True
63870.38323165242,0.9198080308342469,65.23100254471711,13.927093336526013,EmotiBit_2,recovery,PPG_1,True,True,True
63871.26304802975,0.8798163773317356,68.19604811399975,14.806909713857749,EmotiBit_2,recovery,PPG_1,True,True,True
63872.24284354086,0.9797955111062038,61.237267695030674,15.786705224963953,EmotiBit_2,recovery,PPG_1,True,True,True
63873.1626515717,0.9198080308415229,65.23100254420112,16.706513255805476,EmotiBit_2,recovery,PPG_1,True,True,True
63874.08245960254,0.9198080308415229,65.23100254420112,17.626321286647,EmotiBit_2,recovery,PPG_1,True,True,True
63874.94228015311,0.859820550569566,69.78200272167786,18.486141837216564,EmotiBit_2,recovery,PPG_1,True,True,True
63875.85209027057,0.909810117460438,65.94782674815553,19.395951954677003,EmotiBit_2,recovery,PPG_1,True,True,True
63876.74190456128,0.8898142907055444,67.4298003827577,20.285766245382547,EmotiBit_2,recovery,PPG_1,True,True,True
63877.63171885198,0.8898142907055444,67.4298003827577,21.17558053608809,EmotiBit_2,recovery,PPG_1,True,True,True
63878.48154148917,0.8498226371884812,70.60296745977675,22.025403173276572,EmotiBit_2,recovery,PPG_1,True,True,True
63879.38135369326,0.8998122040866292,66.68058037832915,22.9252153773632,EmotiBit_2,recovery,PPG_1,True,True,True
63880.28116589734,0.8998122040793533,66.68058037886834,23.825027581442555,EmotiBit_2,recovery,PPG_1,True,True,True
63881.17098018804,0.8898142907055444,67.4298003827577,24.7148418721481,EmotiBit_2,recovery,PPG_1,True,True,True
63882.03080073861,0.859820550569566,69.78200272167786,25.574662422717665,EmotiBit_2,recovery,PPG_1,True,True,True
63882.94061085607,0.909810117460438,65.94782674815553,26.484472540178103,EmotiBit_2,recovery,PPG_1,True,True,True
63883.860418886914,0.9198080308415229,65.23100254420112,27.404280571019626,EmotiBit_2,recovery,PPG_1,True,True,True
63884.770229004374,0.909810117460438,65.94782674815553,28.314090688480064,EmotiBit_2,recovery,PPG_1,True,True,True
63885.64004746832,0.8698184639433748,68.97991073676036,29.18390915242344,EmotiBit_2,recovery,PPG_1,True,True,True
63886.55985549916,0.9198080308415229,65.23100254420112,30.103717183264962,EmotiBit_2,recovery,PPG_1,True,True,True
63887.599638490545,1.0397829913854366,57.70434840452072,31.1435001746504,EmotiBit_2,recovery,PPG_1,True,True,True
63888.509448608005,0.909810117460438,65.94782674815553,32.05331029211084,EmotiBit_2,recovery,PPG_1,True,True,True
