peak_time,peak_time_from_segment_start_sec,ibi_sec,hr_bpm,emotibit_id,segment
62859.51683364171,0.6359136875908007,0.555162743134133,108.07641676614344,EmotiBit_4,pre_meditation
62860.47575110712,1.594831153000996,0.9589174654101952,62.57055707535147,EmotiBit_4,pre_meditation
62861.38419923225,2.503279278127593,0.908448125126597,66.0466991350097,EmotiBit_4,pre_meditation
62862.23208414904,3.3511641949153272,0.8478849167877343,70.76432050155321,EmotiBit_4,pre_meditation
62863.120344538045,4.239424583924119,0.8882603890087921,67.54776047928229,EmotiBit_4,pre_meditation
62863.83700917009,4.956089215971588,0.7166646320474683,83.7211679172496,EmotiBit_4,pre_meditation
62864.70508182299,5.824161868869851,0.8680726528982632,69.11863862969994,EmotiBit_4,pre_meditation
62865.563060607834,6.68214065371285,0.8579787848429987,69.93179908402908,EmotiBit_4,pre_meditation
62866.49169646908,7.6107765149572515,0.928635861244402,64.61090132745689,EmotiBit_4,pre_meditation
62867.27901817752,8.398098223398847,0.7873217084415955,76.20772977130589,EmotiBit_4,pre_meditation
62868.096621490135,9.215701536013512,0.8176033126146649,73.38522126105659,EmotiBit_4,pre_meditation
62868.883943198576,10.003023244455107,0.7873217084415955,76.20772977130589,EmotiBit_4,pre_meditation
62869.68135877508,10.800438820959243,0.797415576504136,75.24307496354606,EmotiBit_4,pre_meditation
62870.609994636325,11.729074682203644,0.928635861244402,64.61090132745689,EmotiBit_4,pre_meditation
62871.55881823368,12.677898279558576,0.9488235973549308,63.23620129944505,EmotiBit_4,pre_meditation
62872.54801730326,13.66709734914184,0.9891990695832646,60.655131858622894,EmotiBit_4,pre_meditation
62873.45646542839,14.575545474268438,0.908448125126597,66.0466991350097,EmotiBit_4,pre_meditation
62874.22359940072,15.342679446599504,0.7671339723310666,78.21319634389262,EmotiBit_4,pre_meditation
62875.01092110916,16.1300011550411,0.7873217084415955,76.20772977130589,EmotiBit_4,pre_meditation
62875.76796121343,16.887041259309626,0.7570401042685262,79.25603896239251,EmotiBit_4,pre_meditation
62876.64612773439,17.76520778027043,0.8781665209608036,68.32417151857929,EmotiBit_4,pre_meditation
62877.51420038729,18.633280433168693,0.8680726528982632,69.11863862969994,EmotiBit_4,pre_meditation
62878.41255464436,19.531634690240026,0.8983542570713325,66.78879687797348,EmotiBit_4,pre_meditation
62879.3411905056,20.46027055147715,0.928635861237126,64.61090132796312,EmotiBit_4,pre_meditation
62880.11841834599,21.23749839187076,0.777227840393607,77.19744054666717,EmotiBit_4,pre_meditation
62880.996584866945,22.11566491282429,0.8781665209535277,68.32417151914538,EmotiBit_4,pre_meditation
62881.8747513879,22.993831433777817,0.8781665209535277,68.32417151914538,EmotiBit_4,pre_meditation
62882.8134811172,23.93256116307748,0.9387297292996664,63.916160453086576,EmotiBit_4,pre_meditation
62883.80268018678,24.921760232660745,0.9891990695832646,60.655131858622894,EmotiBit_4,pre_meditation
62884.6909405758,25.810020621676813,0.8882603890160681,67.54776047872899,EmotiBit_4,pre_meditation
62885.54891936064,26.66799940651981,0.8579787848429987,69.93179908402908,EmotiBit_4,pre_meditation
62886.41699201354,27.536072059418075,0.8680726528982632,69.11863862969994,EmotiBit_4,pre_meditation
62887.33553400672,28.454614052599936,0.9185419931818616,65.32091123254791,EmotiBit_4,pre_meditation
62888.264169867965,29.383249913844335,0.928635861244402,64.61090132745689,EmotiBit_4,pre_meditation
62889.18271186115,30.3017919070262,0.9185419931818616,65.32091123254791,EmotiBit_4,pre_meditation
62890.02050290988,31.13958295575867,0.8377910487324698,71.61690267612263,EmotiBit_4,pre_meditation
62890.928951035006,32.048031080885266,0.908448125126597,66.0466991350097,EmotiBit_4,pre_meditation
62891.87777463236,32.9968546782402,0.9488235973549308,63.23620129944505,EmotiBit_4,pre_meditation
62892.76603502137,33.88511506724899,0.8882603890087921,67.54776047928229,EmotiBit_4,pre_meditation
62893.57354446593,34.69262451180839,0.8075094445594004,74.30253652666275,EmotiBit_4,pre_meditation
62894.502180327174,35.62126037305279,0.928635861244402,64.61090132745689,EmotiBit_4,pre_meditation
62895.22893882728,36.34801887315552,0.7267585001027328,82.55837391859681,EmotiBit_4,pre_meditation
62895.91532185515,37.03440190102992,0.686383027874399,87.41474885503635,EmotiBit_4,pre_meditation
62896.74301903582,37.86209908169985,0.8276971806699294,72.49027953851025,EmotiBit_4,pre_meditation
62897.61109168872,38.73017173459811,0.8680726528982632,69.11863862969994,EmotiBit_4,pre_meditation
62898.499352077735,39.618432123614184,0.8882603890160681,67.54776047872899,EmotiBit_4,pre_meditation
62899.39770633481,40.51678638068552,0.8983542570713325,66.78879687797348,EmotiBit_4,pre_meditation
62900.20521577936,41.32429582523764,0.8075094445521245,74.30253652733225,EmotiBit_4,pre_meditation
62900.921880411406,42.04096045728511,0.7166646320474683,83.7211679172496,EmotiBit_4,pre_meditation
62901.63854504345,42.75762508933258,0.7166646320474683,83.7211679172496,EmotiBit_4,pre_meditation
62902.41577288384,43.53485292971891,0.7772278403863311,77.19744054738985,EmotiBit_4,pre_meditation
62903.26365780062,44.38273784649937,0.8478849167804583,70.76432050216046,EmotiBit_4,pre_meditation
62904.05097950907,45.17005955494824,0.7873217084488715,76.20772977060163,EmotiBit_4,pre_meditation
62904.63642385637,45.755503902248165,0.5854443472999264,102.48625727914263,EmotiBit_4,pre_meditation
62905.48430877316,46.6033888190359,0.8478849167877343,70.76432050155321,EmotiBit_4,pre_meditation
62906.19087953714,47.30995958302083,0.7065707639849279,84.91718460244681,EmotiBit_4,pre_meditation
62907.30120502341,48.42028506928909,1.110325486268266,54.03820838307172,EmotiBit_4,pre_meditation
62908.1490899402,49.26816998607683,0.8478849167877343,70.76432050155321,EmotiBit_4,pre_meditation
62908.97678712087,50.09586716674676,0.8276971806699294,72.49027953851025,EmotiBit_4,pre_meditation
62909.824672037656,50.94375208353449,0.8478849167877343,70.76432050155321,EmotiBit_4,pre_meditation
62910.692744690554,51.811824736432754,0.8680726528982632,69.11863862969994,EmotiBit_4,pre_meditation
62911.58100507957,52.70008512544882,0.8882603890160681,67.54776047872899,EmotiBit_4,pre_meditation
62912.45917160052,53.57825164640235,0.8781665209535277,68.32417151914538,EmotiBit_4,pre_meditation
62913.27677491314,54.395854959017015,0.8176033126146649,73.38522126105659,EmotiBit_4,pre_meditation
62914.124659829926,55.24373987580475,0.8478849167877343,70.76432050155321,EmotiBit_4,pre_meditation
62915.023014087,56.14209413287608,0.8983542570713325,66.78879687797348,EmotiBit_4,pre_meditation
62915.98193155241,57.10101159828628,0.5046934028505348,118.88405844244616,EmotiBit_4,pre_meditation
62916.829816469195,57.94889651507401,0.8478849167877343,70.76432050155321,EmotiBit_4,pre_meditation
62917.73826459432,58.85734464020061,0.908448125126597,66.0466991350097,EmotiBit_4,pre_meditation
62918.62652498333,59.7456050292094,0.8882603890087921,67.54776047928229,EmotiBit_4,pre_meditation
62919.40375282373,60.52283286961028,0.777227840400883,77.19744054594449,EmotiBit_4,pre_meditation
62920.34248255302,61.4615625988954,0.9387297292851144,63.916160454077385,EmotiBit_4,pre_meditation
62921.16008586563,62.27916591151006,0.8176033126146649,73.38522126105659,EmotiBit_4,pre_meditation
62921.96759531019,63.08667535606946,0.8075094445594004,74.30253652666275,EmotiBit_4,pre_meditation
62922.653978338065,63.77305838394386,0.686383027874399,87.41474885503635,EmotiBit_4,pre_meditation
62923.41101844234,64.53009848821966,0.7570401042758022,79.25603896163078,EmotiBit_4,pre_meditation
62924.27909109524,65.39817114111793,0.8680726528982632,69.11863862969994,EmotiBit_4,pre_meditation
62925.14716374814,66.26624379401619,0.8680726528982632,69.11863862969994,EmotiBit_4,pre_meditation
62926.10608121355,67.22516125942639,0.9589174654101952,62.57055707535147,EmotiBit_4,pre_meditation
62927.064998678965,68.18407872484386,0.9589174654174712,62.57055707487671,EmotiBit_4,pre_meditation
62927.92297746381,69.04205750968686,0.8579787848429987,69.93179908402908,EmotiBit_4,pre_meditation
62928.6497359639,69.76881600978231,0.7267585000954568,82.55837391942336,EmotiBit_4,pre_meditation
62929.39668220013,70.51576224601013,0.7469462362278136,80.32706651419608,EmotiBit_4,pre_meditation
62930.27484872108,71.39392876695638,0.8781665209462517,68.32417151971147,EmotiBit_4,pre_meditation
62931.17320297815,72.29228302402771,0.8983542570713325,66.78879687797348,EmotiBit_4,pre_meditation
62932.10183883939,73.22091888527211,0.928635861244402,64.61090132745689,EmotiBit_4,pre_meditation
62933.040568568686,74.1596486145645,0.9387297292923904,63.91616045358198,EmotiBit_4,pre_meditation
62933.80770254102,74.92678258689557,0.7671339723310666,78.21319634389262,EmotiBit_4,pre_meditation
62934.51427330501,75.63335335088777,0.7065707639922039,84.91718460157237,EmotiBit_4,pre_meditation
62935.43281529819,76.55189534406964,0.9185419931818616,65.32091123254791,EmotiBit_4,pre_meditation
62936.381638895546,77.50071894142457,0.9488235973549308,63.23620129944505,EmotiBit_4,pre_meditation
62937.34055636096,78.45963640684204,0.9589174654174712,62.57055707487671,EmotiBit_4,pre_meditation
62938.20862901386,79.3277090597403,0.8680726528982632,69.11863862969994,EmotiBit_4,pre_meditation
