time_sec,EmotiBit_1,EmotiBit_2,EmotiBit_3,EmotiBit_4,EmotiBit_6,EmotiBit_7
1.694946547948348,61.22657938874521,59.57666053752046,68.2612145076744,64.18217626026309,69.15221159486498,57.73503903978732
2.694946547948348,57.01005189621752,61.69528396050013,72.81728955222607,64.499757693946,68.51978575637982,57.583877536009474
3.694946547948348,61.530063181793416,64.70519733418743,78.66045888360716,62.590777220686604,73.06440523758842,58.92451518380106
4.694946547948348,65.81910883744021,63.00292782446413,87.42714837554497,63.36512767763291,70.3542582196778,60.7362464396465
5.694946547948347,74.30366768502199,64.10611516099354,88.0291769664657,67.40877111568606,75.58027424035122,62.12261837669719
6.694946547948347,75.02318585276987,63.67700543254267,71.10890855368997,69.36669286978301,82.05499207979035,63.486344158789905
7.694946547948347,64.44648849649816,65.17879003642948,66.74386766654953,64.29638478117185,87.67615510543257,71.47879341939907
8.694946547948346,60.4958237280304,65.94782674838923,68.08772008075935,81.36019630325973,84.90709702953714,79.86147061534037
9.694946547948346,60.94613185384967,64.61117430098167,66.6160147022881,84.20449599544794,79.64408688067165,77.03281252252731
10.694946547948346,69.71438251570058,64.83451548258984,65.31812470379002,89.50457857600107,78.25118680461202,70.00754044623807
11.694946547948346,73.76572313454865,64.14226293173215,65.36567901795863,79.74325838906483,80.31411728460276,69.05716058034098
12.694946547948346,72.97740288955029,66.35772674009431,66.76623993017719,67.85366082641863,77.23493762536907,66.36924866800717
13.694946547948346,71.21025375764513,60.693966125225536,69.60348031185377,62.488985573764026,82.73992335061307,63.336843877416456
14.694946547948344,62.49283525094246,61.1348058316493,73.95151671584482,57.4923646133272,91.04634522449314,59.345812460622525
15.694946547948344,51.295374256987834,65.22328496601118,73.5783185982878,55.56763223037313,86.07737036395346,57.84292090745373
16.694946547948344,58.165259242025606,65.23100254420112,69.11500599259932,56.057456720491516,78.97728580750604,57.31519497225427
17.694946547948344,57.02087709329074,64.9967739545208,65.64106736472885,60.516828642438654,80.69223618062188,58.18135734676244
18.694946547948344,59.95514174074752,63.261186542038,65.22207497778078,61.9268250941776,71.93201865408413,61.18008775854276
19.694946547948344,66.30186202881318,61.72388920833652,65.22207497752743,68.94295611015409,85.5859114384524,63.41539701015575
20.694946547948344,77.60267411367408,65.70024232301144,63.022982937361014,75.12886819548649,78.12916788926152,66.70913704269181
21.694946547948344,73.74754579509022,68.0368358369464,64.80493781231412,84.58166633906158,75.12518279632073,75.12949517995018
22.694946547948344,99.0629868507451,66.51491052598486,65.35755651941261,80.86649313576667,68.3649994748191,77.60023912689287
23.694946547948344,58.32444646973331,66.90543643806336,62.854348252590604,69.03270592222457,67.80909551766128,70.64353396469156
24.694946547948344,58.20990481778603,64.47670864254479,65.78586014388489,65.21119485283957,69.15221159486498,67.62608217347935
25.694946547948344,52.504847083170496,67.75239075570438,66.21301303989695,62.043876364903355,67.69065533394416,66.46442544543531
26.69494654794834,55.67288689315196,72.28632256835303,72.88075099220177,61.846322800696214,66.03265209582648,70.17212182098872
27.69494654794834,56.91372085479401,64.07049208028242,79.13611763950938,62.57055707535147,65.17049256298674,67.25489431557348
28.69494654794834,67.03587271302828,64.89003051710942,78.21119601414355,65.38775329431724,70.10621546046762,63.614753758725335
29.69494654794834,68.25926947207233,64.0580185900627,74.52079817727947,73.47800367264526,72.10113072559524,62.51576063332243
30.69494654794834,80.71813152955963,64.80508950455848,70.39957018849837,91.27784392409511,71.07868958303835,65.5253889601885
31.69494654794834,77.59707887716446,65.23100254420112,68.09030294065096,80.96649170390309,68.18231913695543,61.51528522943011
32.69494654794834,63.1040563811251,64.46061795327402,67.23247621525924,87.35804735043511,69.09123316976336,61.500903444358386
33.69494654794834,62.567546240061645,65.67794051047997,66.20706861161045,78.99060399366425,70.04163710869413,63.36119512414528
34.69494654794834,58.16478593960214,66.13126672358221,63.22662740006612,69.13297367293822,75.86725327957883,62.00732075338771
35.69494654794834,66.14613337338137,65.94782674770788,62.9916786036641,66.49911027762086,73.56608953437105,60.51440668618344
36.69494654794834,61.14077311429846,66.65013445871706,63.14051939353344,64.83185222983145,70.47361766108148,60.86926587983536
37.69494654794834,67.67535670441599,64.69744604071333,63.1405193936164,64.08468972070744,66.4133148790445,66.40206768034265
38.69494654794834,78.44588472658424,68.97991073629146,66.63631695195845,70.1537123859333,66.15588807486775,67.80471119443635
39.69494654794834,79.85204983562134,68.00287628636057,66.68773958400001,85.30209056234048,71.52838212581045,64.19660637136253
40.69494654794834,77.34183895594741,65.36308810881077,67.37261931766666,80.75538839478824,76.17179681529626,62.182558882370856
41.69494654794834,66.38345285043647,65.61380705478483,74.93148464961465,80.33792529337505,74.7490974520391,61.35987811422735
42.69494654794834,59.944301195526045,67.14682859532967,83.18773998972041,76.24285107205009,70.29725464477295,57.88187433864917
43.69494654794834,61.21243722083008,64.0287062816202,77.46000070286658,62.59381553384505,70.66538263717165,56.94884963796875
44.69494654794834,61.69615404015532,64.04014613227277,77.20688955151012,61.063941249958106,69.15221159442049,57.471702052634605
45.69494654794834,63.720426757144175,65.73662436050812,66.1558860362722,61.61618427718968,71.7272350289254,59.08892384364276
46.69494654794834,86.75062536988777,66.65183367922945,69.55920483484634,63.8349523249261,74.65247705844189,62.01722349296583
47.69494654794834,75.81089740985584,64.64332356950139,69.82598615291853,66.1841459836105,71.99368076278783,70.41852415262406
48.69494654794834,94.66315667975779,67.4298003827577,64.34187156851273,71.74285715207508,69.20227222488488,73.9859875795609
49.69494654794834,72.01346575554412,68.6497587823977,63.16340497783219,75.17912657541122,71.58067136454635,69.72412849099615
50.694946547948334,84.48517038425733,68.63755409194414,65.7547277581403,85.09815789328594,73.5251407118612,61.254235795935614
51.694946547948334,82.37340689740486,61.87808883468643,71.40752775274973,85.4016809480109,71.41728719959893,56.67054637007674
52.694946547948334,70.6092793697924,63.06287670765727,65.69905818758568,83.70611304589588,68.27441708201135,57.442244265234486
53.694946547948334,66.21712224196283,67.42980038295214,69.06921134299942,72.15899657997709,66.2432287342204,59.98338495588157
54.694946547948334,60.42989471755257,64.35293177269173,83.3244774727835,66.73585759542567,69.59347133276145,59.79714092945558
55.694946547948334,51.22719994067624,65.41862812503364,79.84892546527506,62.0405235091277,77.0342378787378,58.47740200347986
56.694946547948334,58.409619122988225,64.09661742745106,85.60639958297286,63.277458840066906,73.01738732580912,61.55871197837885
57.694946547948334,59.85246464560126,66.63955624978253,62.58711349970187,66.37384975855852,78.3247945142757,65.04861105167666
58.694946547948334,66.96831124182854,62.51304410517565,62.20857339648658,74.69849243640374,78.12992100313946,67.3970617478389
59.694946547948334,70.45350673107085,62.885420565256545,80.17140534255188,80.94629342351276,85.8189543281637,68.84636808245834
60.694946547948334,60.84413092291329,67.14054856034979,68.220791068307,78.20148274803338,83.86738474837564,68.22450499900678
61.694946547948334,71.22588977436604,62.26916550156201,69.12748559785118,69.90507262589601,72.22772817012098,65.17361767350219
62.694946547948334,77.50228619659124,51.58093509054103,70.15505134204588,62.573627001895034,66.82123817028749,63.48689456698602
