timestamp,PPG_1,PPG_2,PPG_3,time_from_segment_start_sec
63102.99102504391,154351.0,86960.0,4003.0,0.0
63103.00111891197,154388.0,86995.0,4008.0,0.010093868055264466
63103.01121278003,154388.0,87020.0,4012.0,0.02018773611780489
63103.02130664809,154377.0,86978.0,4024.0,0.030281604173069354
63103.03140051614,154359.0,86989.0,4019.0,0.04037547222833382
63103.0414943842,154400.0,86988.0,4012.0,0.050469340283598285
63103.05158825226,154374.0,86974.0,3986.0,0.06056320834613871
63103.061682120315,154358.0,87014.0,4030.0,0.07065707640140317
63103.07177598837,154377.0,87004.0,4041.0,0.08075094445666764
63103.081869856425,154297.0,86980.0,4015.0,0.0908448125119321
63103.09196372449,154284.0,86960.0,4024.0,0.10093868057447253
63103.10205759254,154194.0,86979.0,4000.0,0.111032548629737
63103.1121514606,154182.0,86963.0,4018.0,0.12112641668500146
63103.122245328654,154190.0,86944.0,3986.0,0.13122028474026592
63103.13233919671,154175.0,86947.0,3971.0,0.1413141527955304
63103.14243306477,154191.0,86942.0,3990.0,0.1514080208580708
63103.15252693283,154157.0,86935.0,3961.0,0.16150188891333528
63103.16262080088,154167.0,86941.0,3990.0,0.17159575696859974
63103.17271466894,154163.0,86922.0,3998.0,0.1816896250238642
63103.182808537,154191.0,86965.0,3993.0,0.19178349308640463
63103.192902405055,154187.0,86973.0,3960.0,0.2018773611416691
63103.20299627311,154185.0,86939.0,3997.0,0.21197122919693356
63103.213090141166,154177.0,86946.0,4022.0,0.22206509725219803
63103.22318400923,154183.0,86946.0,3960.0,0.23215896531473845
63103.23327787728,154193.0,86929.0,3982.0,0.24225283337000292
63103.24337174534,154221.0,86950.0,3989.0,0.2523467014252674
63103.253465613394,154202.0,86937.0,3976.0,0.26244056948053185
63103.26355948146,154221.0,86979.0,3998.0,0.27253443754307227
63103.27365334951,154212.0,86941.0,3962.0,0.28262830559833674
63103.28374721757,154236.0,86958.0,3988.0,0.2927221736536012
63103.29384108562,154275.0,86959.0,4004.0,0.30281604170886567
63103.30393495368,154256.0,86935.0,4017.0,0.31290990976413013
63103.31402882174,154238.0,86956.0,3971.0,0.32300377782667056
63103.324122689795,154250.0,86958.0,3988.0,0.333097645881935
63103.33421655785,154236.0,86970.0,3993.0,0.3431915139371995
63103.344310425906,154216.0,86940.0,3963.0,0.35328538199246395
63103.35440429397,154236.0,86956.0,3990.0,0.3633792500550044
63103.364498162024,154234.0,86960.0,3990.0,0.37347311811026884
63103.37459203008,154249.0,86977.0,4001.0,0.3835669861655333
63103.384685898134,154222.0,86932.0,4000.0,0.3936608542207978
63103.3947797662,154236.0,86960.0,3999.0,0.4037547222833382
63103.40487363425,154226.0,86964.0,3973.0,0.41384859033860266
63103.41496750231,154199.0,86971.0,3980.0,0.4239424583938671
63103.42506137036,154235.0,86986.0,3995.0,0.4340363264491316
63103.435155238425,154210.0,86965.0,4005.0,0.444130194511672
63103.44524910648,154235.0,86959.0,3999.0,0.4542240625669365
63103.455342974536,154252.0,86946.0,3999.0,0.46431793062220095
63103.46543684259,154225.0,86994.0,4027.0,0.4744117986774654
63103.475530710646,154228.0,86955.0,3982.0,0.4845056667327299
63103.48562457871,154199.0,86964.0,3968.0,0.4945995347952703
63103.495718446764,154265.0,86956.0,3990.0,0.5046934028505348
63103.50581231482,154246.0,86943.0,3989.0,0.5147872709057992
63103.515906182874,154287.0,86959.0,3995.0,0.5248811389610637
63103.52600005094,154261.0,86950.0,4011.0,0.5349750070236041
63103.53609391899,154286.0,86978.0,3993.0,0.5450688750788686
63103.54618778705,154261.0,86974.0,3994.0,0.555162743134133
63103.5562816551,154325.0,86993.0,4015.0,0.5652566111893975
63103.566375523165,154319.0,86981.0,3980.0,0.5753504792519379
63103.57646939122,154318.0,86989.0,3997.0,0.5854443473072024
63103.586563259276,154322.0,86985.0,4021.0,0.5955382153624669
63103.59665712733,154325.0,86970.0,3994.0,0.6056320834177313
63103.606750995394,154344.0,86965.0,4051.0,0.6157259514802718
63103.61684486345,154317.0,86982.0,4015.0,0.6258198195355362
63103.626938731504,154350.0,86966.0,4020.0,0.6359136875908007
63103.63703259956,154336.0,86988.0,3999.0,0.6460075556460652
63103.647126467615,154370.0,87007.0,4017.0,0.6561014237013296
63103.65722033568,154351.0,86990.0,4022.0,0.66619529176387
63103.66731420373,154329.0,86971.0,3994.0,0.6762891598191345
63103.67740807179,154360.0,86971.0,4029.0,0.686383027874399
63103.68750193984,154336.0,86972.0,3997.0,0.6964768959296634
63103.697595807906,154358.0,87000.0,4016.0,0.7065707639922039
63103.70768967596,154361.0,86988.0,3998.0,0.7166646320474683
63103.717783544016,154384.0,86998.0,4007.0,0.7267585001027328
63103.72787741207,154360.0,86977.0,4008.0,0.7368523681579973
63103.737971280134,154369.0,87003.0,4024.0,0.7469462362205377
63103.74806514819,154428.0,86999.0,4023.0,0.7570401042758022
63103.758159016244,154447.0,87012.0,4055.0,0.7671339723310666
63103.7682528843,154412.0,86991.0,4035.0,0.7772278403863311
63103.778346752355,154417.0,86972.0,4013.0,0.7873217084415955
63103.78844062042,154442.0,87016.0,4028.0,0.797415576504136
63103.79853448847,154470.0,87009.0,4043.0,0.8075094445594004
63103.80862835653,154458.0,86998.0,4015.0,0.8176033126146649
63103.81872222458,154473.0,87046.0,4045.0,0.8276971806699294
63103.828816092646,154484.0,87026.0,4038.0,0.8377910487324698
