peak_time,ibi_sec,hr_bpm,peak_time_from_segment_start_sec,emotibit_id,segment,selected_channel,ibi_valid,hr_valid,keep
63104.45423132235,0.8997156055120286,66.68773958394772,1.4658287954953266,EmotiBit_3,main_meditation,PPG_1,True,True,True
63105.28318277911,0.8289514567586593,72.38059540254645,2.294780252253986,EmotiBit_3,main_meditation,PPG_1,True,True,True
63106.10202507176,0.8188422926541534,73.27418299990231,3.1136225449081394,EmotiBit_3,main_meditation,PPG_1,True,True,True
63106.85010321567,0.7480781439080602,80.20552463483558,3.8617006888161995,EmotiBit_3,main_meditation,PPG_1,True,True,True
63107.54763553904,0.6975323233709787,86.01751917393129,4.559233012187178,EmotiBit_3,main_meditation,PPG_1,True,True,True
63108.19462204188,0.6469865028411732,92.73763785877496,5.2062195150283515,EmotiBit_3,main_meditation,PPG_1,True,True,True
63108.892154365254,0.6975323233709787,86.01751917393129,5.90375183839933,EmotiBit_3,main_meditation,PPG_1,True,True,True
63109.75143331434,0.859278949086729,69.82598615242472,6.763030787486059,EmotiBit_3,main_meditation,PPG_1,True,True,True
63110.651148919846,0.8997156055047526,66.68773958448702,7.662746392990812,EmotiBit_3,main_meditation,PPG_1,True,True,True
63111.53064619714,0.8794972772957408,68.22079106883275,8.542243670286553,EmotiBit_3,main_meditation,PPG_1,True,True,True
63112.42025263855,0.8896064414075227,67.44555480631284,9.431850111694075,EmotiBit_3,main_meditation,PPG_1,True,True,True
63113.350295736374,0.9300430978255463,64.5131393806167,10.361893209519621,EmotiBit_3,main_meditation,PPG_1,True,True,True
63114.25001134189,0.8997156055120286,66.68773958394772,11.26160881503165,EmotiBit_3,main_meditation,PPG_1,True,True,True
63115.190163603824,0.9401522619373281,63.81944970951916,12.201761076968978,EmotiBit_3,main_meditation,PPG_1,True,True,True
63116.059551717015,0.8693881131912349,69.01405608107515,13.071149190160213,EmotiBit_3,main_meditation,PPG_1,True,True,True
63116.918830666094,0.859278949079453,69.82598615301598,13.930428139239666,EmotiBit_3,main_meditation,PPG_1,True,True,True
63117.72756379464,0.8087331285423716,74.19011028785431,14.739161267782038,EmotiBit_3,main_meditation,PPG_1,True,True,True
63118.536296923194,0.8087331285569235,74.19011028651937,15.547894396338961,EmotiBit_3,main_meditation,PPG_1,True,True,True
63119.38546670817,0.8491697849749471,70.65724789274051,16.397064181313908,EmotiBit_3,main_meditation,PPG_1,True,True,True
63120.295291477785,0.9098247696165345,65.94676469985347,17.306888950930443,EmotiBit_3,main_meditation,PPG_1,True,True,True
63121.215225411506,0.9199339337210404,65.22207497804328,18.226822884651483,EmotiBit_3,main_meditation,PPG_1,True,True,True
63122.135159345235,0.9199339337283163,65.22207497752743,19.1467568183798,EmotiBit_3,main_meditation,PPG_1,True,True,True
63123.05509327896,0.9199339337283163,65.22207497752743,20.066690752108116,EmotiBit_3,main_meditation,PPG_1,True,True,True
63124.025573033214,0.9704797542508459,61.82509190654525,21.03717050635896,EmotiBit_3,main_meditation,PPG_1,True,True,True
63124.93539780283,0.9098247696165345,65.94676469985347,21.946995275975496,EmotiBit_3,main_meditation,PPG_1,True,True,True
63125.85533173655,0.9199339337210404,65.22207497804328,22.866929209696536,EmotiBit_3,main_meditation,PPG_1,True,True,True
63126.815702326705,0.9603705901536159,62.47588234704554,23.827299799850152,EmotiBit_3,main_meditation,PPG_1,True,True,True
63127.72552709632,0.9098247696165345,65.94676469985347,24.737124569466687,EmotiBit_3,main_meditation,PPG_1,True,True,True
63128.63535186594,0.9098247696165345,65.94676469985347,25.64694933908322,EmotiBit_3,main_meditation,PPG_1,True,True,True
63129.48452165091,0.8491697849749471,70.65724789274051,26.49611912405817,EmotiBit_3,main_meditation,PPG_1,True,True,True
63130.242708958926,0.7581873080125661,79.13611763995075,27.254306432070734,EmotiBit_3,main_meditation,PPG_1,True,True,True
63131.000896266945,0.758187308019842,79.13611763919131,28.012493740090576,EmotiBit_3,main_meditation,PPG_1,True,True,True
63131.76919273906,0.768296472117072,78.09485293439859,28.78079021220765,EmotiBit_3,main_meditation,PPG_1,True,True,True
63132.56781670351,0.7986239644451416,75.12922560705536,29.57941417665279,EmotiBit_3,main_meditation,PPG_1,True,True,True
63133.41698648848,0.8491697849749471,70.65724789274051,30.428583961627737,EmotiBit_3,main_meditation,PPG_1,True,True,True
63134.27626543756,0.859278949079453,69.82598615301598,31.28786291070719,EmotiBit_3,main_meditation,PPG_1,True,True,True
63135.18609020718,0.9098247696165345,65.94676469985347,32.197687680323725,EmotiBit_3,main_meditation,PPG_1,True,True,True
63136.065587484474,0.8794972772957408,68.22079106883275,33.077184957619465,EmotiBit_3,main_meditation,PPG_1,True,True,True
