peak_index,peak_time,peak_time_from_segment_start_sec,peak_amplitude_filtered,emotibit_id,segment,selected_channel
53,62859.409415083566,0.5326844271185109,32.25730031983033,EmotiBit_1,pre_meditation,PPG_1
138,62860.26372029688,1.386989640435786,44.56667735844411,EmotiBit_1,pre_meditation,PPG_1
228,62861.16827875803,2.2915481015879777,36.67992606024212,EmotiBit_1,pre_meditation,PPG_1
327,62862.16329306531,3.2865624088590266,37.623863533923824,EmotiBit_1,pre_meditation,PPG_1
425,62863.148256723005,4.271526066557271,51.2789851810797,EmotiBit_1,pre_meditation,PPG_1
518,62864.08296713286,5.2062364764133235,33.62953625037612,EmotiBit_1,pre_meditation,PPG_1
610,62865.00762689315,6.1308962367038475,35.638020011536064,EmotiBit_1,pre_meditation,PPG_1
703,62865.942337303015,7.065606646567176,50.56803957731331,EmotiBit_1,pre_meditation,PPG_1
795,62866.866997063305,7.9902664068577,46.022041939804886,EmotiBit_1,pre_meditation,PPG_1
881,62867.73135292618,8.854622269733227,43.8229039003834,EmotiBit_1,pre_meditation,PPG_1
978,62868.706265934314,9.829535277865943,48.78525765110679,EmotiBit_1,pre_meditation,PPG_1
1081,62869.74148283986,10.864752183413655,49.83015208278503,EmotiBit_1,pre_meditation,PPG_1
1181,62870.7465477967,11.869817140250234,38.25687557231843,EmotiBit_1,pre_meditation,PPG_1
1274,62871.681258206554,12.804527550106286,43.56659099752806,EmotiBit_1,pre_meditation,PPG_1
1363,62872.57576601814,13.69903536169295,45.76449608521814,EmotiBit_1,pre_meditation,PPG_1
1455,62873.50042577843,14.623695121983474,42.043751578028335,EmotiBit_1,pre_meditation,PPG_1
1542,62874.37483229088,15.498101634431803,42.381715361839454,EmotiBit_1,pre_meditation,PPG_1
1626,62875.219086854624,16.342356198176276,35.168356311001396,EmotiBit_1,pre_meditation,PPG_1
1712,62876.08344271751,17.20671206105908,52.74475628998436,EmotiBit_1,pre_meditation,PPG_1
1801,62876.97795052909,18.101219872645743,44.244776474407224,EmotiBit_1,pre_meditation,PPG_1
1891,62877.882508990246,19.005778333797934,43.48703247985379,EmotiBit_1,pre_meditation,PPG_1
1988,62878.85742199838,19.98069134193065,50.270559128953735,EmotiBit_1,pre_meditation,PPG_1
2081,62879.792132408234,20.915401751786703,32.5956841705449,EmotiBit_1,pre_meditation,PPG_1
2166,62880.646437621544,21.769706965096702,47.089771619530254,EmotiBit_1,pre_meditation,PPG_1
2251,62881.50074283486,22.624012178413977,50.498096652199315,EmotiBit_1,pre_meditation,PPG_1
2332,62882.314845449895,23.438114793447312,40.75615403531384,EmotiBit_1,pre_meditation,PPG_1
2410,62883.09879611623,24.222065459784066,24.104621712182084,EmotiBit_1,pre_meditation,PPG_1
2482,62883.82244288515,24.945712228705816,37.97560759170416,EmotiBit_1,pre_meditation,PPG_1
2558,62884.58629225235,25.709561595904233,49.939482014216665,EmotiBit_1,pre_meditation,PPG_1
2638,62885.39034421782,26.51361356137204,42.7455061174981,EmotiBit_1,pre_meditation,PPG_1
2730,62886.31500397811,27.438273321662564,48.657445812784616,EmotiBit_1,pre_meditation,PPG_1
