peak_index,peak_time,peak_time_from_segment_start_sec,peak_amplitude_filtered,emotibit_id,segment,selected_channel
48,63856.93548142303,0.4801329571782844,211.81631280424332,EmotiBit_7,recovery,PPG_1
154,63857.99577503678,1.5404265709294125,186.4679309767948,EmotiBit_7,recovery,PPG_1
243,63858.88602156154,2.4306730956886895,115.46548039002816,EmotiBit_7,recovery,PPG_1
324,63859.696245926774,3.240897460920678,102.5209274943468,EmotiBit_7,recovery,PPG_1
405,63860.506470292,4.0511218261453905,115.47590040854126,EmotiBit_7,recovery,PPG_1
496,63861.41672235664,4.96137389078649,122.3383985302014,EmotiBit_7,recovery,PPG_1
598,63862.437004890635,5.981656424781249,117.52344187784004,EmotiBit_7,recovery,PPG_1
708,63863.53730958416,7.0819611183032976,118.306206654435,EmotiBit_7,recovery,PPG_1
807,63864.527583808325,8.072235342471686,115.76408446051052,EmotiBit_7,recovery,PPG_1
894,63865.397824793195,8.942476327341865,159.76386059239312,EmotiBit_7,recovery,PPG_1
993,63866.38809901736,9.932750551510251,222.40473127016296,EmotiBit_7,recovery,PPG_1
1103,63867.488403710886,11.0330552450323,237.49756340584196,EmotiBit_7,recovery,PPG_1
1209,63868.54869732464,12.093348858790703,130.31816453353252,EmotiBit_7,recovery,PPG_1
1300,63869.458949389285,13.003600923431804,136.9938605395331,EmotiBit_7,recovery,PPG_1
1405,63870.5092402331,14.05389176724566,204.64626214381417,EmotiBit_7,recovery,PPG_1
1514,63871.59954215668,15.144193690823158,218.47163002006457,EmotiBit_7,recovery,PPG_1
1623,63872.689844080254,16.234495614400657,189.55710633105696,EmotiBit_7,recovery,PPG_1
1719,63873.6501099946,17.19476152874995,150.4764517603078,EmotiBit_7,recovery,PPG_1
1816,63874.62037867889,18.165030213036516,177.99609984247004,EmotiBit_7,recovery,PPG_1
1920,63875.66066675277,19.205318286913094,196.7270899389805,EmotiBit_7,recovery,PPG_1
2024,63876.70095482664,20.245606360782403,189.34534949918657,EmotiBit_7,recovery,PPG_1
2118,63877.6412152011,21.18586673524987,143.7686030016874,EmotiBit_7,recovery,PPG_1
2212,63878.58147557557,22.12612710971007,191.9532286899569,EmotiBit_7,recovery,PPG_1
