time_sec,EmotiBit_1,EmotiBit_2,EmotiBit_3,EmotiBit_4,EmotiBit_6,EmotiBit_7
1.4297016131531564,70.04827288421032,68.19604811456372,69.03174128543468,70.4068536724798,72.3107938711977,70.57436188283772
2.4297016131531564,65.49345572357821,66.79794993964504,79.6132055782571,65.76515700971396,76.63199627674642,77.2231231022389
3.4297016131531564,60.390060377023985,62.38177832745276,72.02184658485322,70.47992155403506,83.7618337623818,69.46629673569362
4.429701613153156,61.47017078749212,68.87200342164408,66.8060978966591,71.84185813973917,79.03070154876686,64.74070344524789
5.429701613153156,64.35962633752261,69.32706472575416,65.6617421776266,75.75416322276928,70.17289444345509,61.92574159794334
6.429701613153156,64.66568501387498,63.90334558881087,64.09332369404869,69.69254672891462,66.42562375649733,62.51257629421912
7.429701613153156,64.46574257312042,70.89213041258468,68.91793540895625,65.64842429958274,64.12097717434263,66.55432909878184
8.429701613153156,67.19030357251441,67.08644774455925,58.87938932157992,76.09862938587692,66.16512049956852,71.6755688908963
9.429701613153156,64.77239555332619,71.25812924313695,61.25938269219626,74.15240071571208,70.33133818983336,68.98713147770084
10.429701613153156,59.46550213629586,67.42980038280844,67.98756056703367,75.69156561316876,68.10337589497802,61.7731567412828
11.429701613153156,58.93623259320361,66.97071276874743,69.36790959907769,68.03849505385939,67.93674214449061,59.368903866248054
12.429701613153156,62.389128921815264,65.23100254420112,75.7854230416939,63.59580024408675,67.45968991125933,60.89604698226519
13.429701613153156,66.20733138581168,72.18036676794448,70.0892609687243,61.274557107172726,70.43694401435921,64.26629654349016
14.429701613153156,65.3476197013182,67.08597904207006,73.37156297044682,65.18112743388315,77.26914389839202,67.69079856245466
15.429701613153156,68.32625240596096,86.04125221246963,65.95201646902383,77.99153340201481,78.00550554607926,64.80526234630149
16.429701613153156,70.90159642626183,61.693491070567795,67.44555480638323,77.41450819147767,73.29160443148405,60.80597944877731
17.429701613153156,68.83255581789255,66.04692520517743,66.73958705696917,72.50072443646442,67.83733456627719,63.79372401841543
18.429701613153156,66.80534883199375,69.4299832480915,65.2233978590518,68.93232164749448,68.60608054459799,64.49826339314983
19.429701613153156,64.24927208192419,67.27851356990669,67.02349427482709,67.05315577315271,73.30556928175922,67.90069243742231
20.429701613153156,62.81552659549718,69.20813982557632,67.4455548066257,64.68259353534317,70.13388552762488,62.60155442047813
21.429701613153156,67.82804859869323,64.14145240360668,74.18891688754702,75.25535911939619,69.36534300826321,65.62987238173035
22.429701613153156,70.23251065873247,64.5295939147763,79.19707157267831,68.32417151914538,67.56618553144654,72.0958799655044
23.429701613153156,73.66494062764671,62.06963501796876,67.59151954443489,66.27744761759713,71.75235611614596,65.55212533151177
24.429701613153156,78.36545579084085,68.76485797733893,63.020398545868666,62.2772696847761,73.4208666317971,60.64326698443556
25.429701613153156,80.14835517578375,72.41578212457955,64.51313938044385,64.59660143197213,73.21740085125475,57.45935537757219
26.429701613153156,75.03191926322384,76.8107965319068,64.81252810317739,69.26964851692865,71.39108193396928,58.07652590845955
27.429701613153156,64.9789616414452,57.491652110721255,65.22207497778054,69.21828033609766,71.65749710319861,62.1957425389218
28.429701613153156,70.08468369571582,66.39653865677583,66.11580537506258,65.42391213454172,74.5440251908854,65.61167206136847
29.429701613153156,71.62628433126571,69.66036624656196,86.12869588796104,64.6468073250731,73.48929258080221,73.40732190138546
30.429701613153156,80.34818669740801,69.04883298599401,60.71772859686394,66.28215140877548,70.56634108432696,70.87340430193957
31.429701613153156,66.73727623674341,79.39304454375119,77.50109128561357,69.83802292716999,69.39392854256188,71.51348254316156
32.429701613153156,65.28149043137307,79.48764781492424,75.9931022741756,64.91615789654549,73.13525688991882,70.18876122144202
33.429701613153156,73.74083386418923,53.92309428240002,66.86427971007159,65.33721266816197,75.50574448408537,63.56744533999046
34.429701613153156,76.22353152646473,68.98033236998137,67.44555480738579,72.10319965189315,73.42983878022778,60.37105488878515
35.429701613153156,72.16427841673426,65.3310411736236,68.12020009575191,66.61008927360376,73.04300472182585,62.02378676372492
36.429701613153156,68.49163932935106,67.37940160468712,64.68919478025599,83.13630489176305,74.10580642328846,67.97632230218554
37.429701613153156,67.58310284276573,71.50802395851622,63.84336504991631,80.28697487900361,77.98326508744262,66.72188820971382
38.429701613153156,67.11364415293788,67.41848218898369,65.83493825938736,70.28568075452282,73.53526198818132,60.82108259866867
39.429701613153156,64.05392114031285,70.42666014161397,73.41478906387391,67.88152818803012,72.91516587592687,57.469929507307704
40.429701613153156,57.55851896201094,72.44099183767766,79.83429630864713,66.8623693781504,66.13310073543363,57.51381917414833
41.429701613153156,67.33443939159116,58.12009632508848,82.36311480189651,75.6878124546565,56.724075736413496,58.86225091730859
42.429701613153156,48.66390601651331,67.45320461232288,77.4748095080912,83.7211679172496,61.471633629322,59.708977058199636
43.429701613153156,102.8417433105501,75.79779451869555,70.70831822267259,78.08003698335361,58.048661658965656,65.52269661364501
44.429701613153156,72.04553466167378,75.7861266421525,66.56102969220407,71.0890200499321,74.23944201281954,68.94641948927038
45.429701613153156,68.907117605139,56.67646564453098,65.40839420775166,87.862144063574,76.67396249507135,63.579362638113786
46.429701613153156,77.1734227211422,68.0638382535103,63.98479466255495,77.26248370153365,79.16896220264351,59.46722018562854
47.429701613153156,67.78739017034324,78.18317628233417,62.22493866413199,81.58706983281922,73.87107629649249,59.76764177772702
48.429701613153156,65.29463124582902,62.281140367441914,61.82509190608174,54.22396728185674,71.3732113870256,64.61135021538355
49.429701613153156,62.202866710607914,65.83914794864876,67.89684171647347,71.10115500820348,73.48916044337064,68.80433206136838
50.429701613153156,58.67407076957927,66.72777167063775,70.34496229889756,71.81072436750239,78.1143281044549,63.81211165563375
51.429701613153156,60.47961179605477,74.76738184654356,83.22548973573808,69.84306312884482,76.96115822520042,63.42551860446376
52.429701613153156,65.29007802496224,73.23942579422345,79.2620572514261,68.02593057063024,77.17343825032435,61.543616751223624
53.429701613153156,63.45297838015043,59.04328627769048,68.37696235727212,68.19283437167174,76.85033087159053,65.01850235862855
54.429701613153156,62.86122130546471,69.41925326488192,65.55157370263373,73.28059772102695,72.80143612335056,70.22077855706443
55.429701613153156,65.60179567063003,76.2569710169249,60.91171918362874,69.94137646350674,85.90816910610305,65.93110638526124
56.429701613153156,68.13685580551507,62.179146553272,64.29360222483835,82.41369417455557,92.8444735432931,59.968248400492925
57.429701613153156,64.43068607456641,64.54760295312857,63.00091393096152,100.23002053467896,87.69310497292408,58.83862126975706
58.429701613153156,66.4512164864805,72.30424378447148,64.05240915566603,68.26747303046054,80.5826184979236,62.42783438041701
59.429701613153156,67.31818824657435,70.44286707650323,67.90545647173296,67.01391881276957,76.96111811966801,62.92643750785559
60.429701613153156,66.36782799225648,66.31699642589128,73.29104098902984,76.0411684950694,76.10170411566389,59.4253898653239
61.429701613153156,61.08098817624097,67.10276439857019,72.47290726387288,64.36693415650177,80.80631343470952,56.825936026005
62.429701613153156,68.97538705634457,66.83489794491943,65.07921451291351,73.55622693543764,78.37543758359027,56.05923827643253
63.429701613153156,66.08479208666691,66.89457446730412,68.07331319336303,80.85548573203225,85.29534590393511,55.11597182051712
64.42970161315316,67.83822052281295,67.30617778374403,65.32188534914026,80.3380278460317,85.67726490619607,56.3632930882384
65.42970161315316,71.94672917876974,72.25749438604485,65.16798254939141,69.11863862969994,79.89769150078303,64.36883298346235
66.42970161315316,74.12708491698882,69.4694939557679,63.670149831253916,68.00244754025417,49.13383464786051,72.27075238056001
67.42970161315316,79.87336594186006,64.90951600939873,66.99048675748267,62.57055707525021,89.97950093931019,75.14410345903151
68.42970161315316,69.40574872317848,65.6876014229718,75.39055797725369,64.67793962998572,81.29419551958776,68.31202654240589
69.42970161315316,63.585420474911615,65.89811756863195,102.47886368165472,76.66665981324473,73.43936040485282,63.18490109056431
70.42970161315316,63.68105034822839,68.04009431769661,57.52689256003238,80.58415024804293,71.45637436901525,64.82461728702103
71.42970161315316,72.43524829685286,69.58111542429417,68.22079106856467,68.26303225256714,73.58725223829622,67.22239395380893
72.42970161315316,77.5293948834493,67.07750005421032,66.57588512963386,66.46651411213938,71.98752905242135,65.71397034065987
73.42970161315316,67.31492283953013,69.67655526145988,65.13038327156183,64.45638412160744,69.10643467066012,61.46044337857933
74.42970161315316,60.40591050149053,65.14433915408455,65.49177971069685,68.94912412402903,67.65705039003798,57.65265921237841
75.42970161315316,63.56751574458012,59.420149363983846,62.90263002306479,82.98492398734179,74.3386274644702,60.63579539031903
76.42970161315316,64.7205047368365,66.27832497393426,63.59094399517314,67.92780538958645,75.45096681317082,67.94869015301467
77.42970161315316,63.16489830701894,69.74839800741323,71.79859282718367,63.3922371843899,77.23493762555978,75.46601433266373
78.42970161315316,61.543952639343686,62.06413083925948,71.64239033236505,62.59133667609502,71.57958602178792,72.67110034377149
79.42970161315316,62.16848893511329,61.9220745660068,73.4773482203715,68.69694869360923,70.70437120172507,66.6259066907397
80.42970161315316,65.11284448164375,64.87163413712305,74.59195777042947,66.69954037809073,69.32492303568067,66.68370868144224
81.42970161315316,64.4114171672241,67.32611394569865,70.18813618410721,73.18875677418606,70.61907206880315,73.36057777322405
82.42970161315316,62.942496680596925,64.84093167702783,64.21261870964025,70.08363296307851,71.65168912242642,74.12847031172078
83.42970161315316,65.93880524920628,71.17210364922914,63.63038577852401,64.80004899590365,73.0582801137331,67.1466139413146
84.42970161315316,65.15673287080499,68.15325143816759,77.0441542213071,63.40651912658216,70.06667570750243,62.61352709855712
85.42970161315316,62.25703210216279,65.94782674815553,72.03542320429851,66.25090594360485,70.60178227550844,64.0579639478154
86.42970161315316,68.94314052371074,65.79375630718596,74.60188017616,66.78879687849373,73.34304062133859,63.88089637821325
87.42970161315316,66.14784322104559,67.59967498417855,73.87972982373316,69.83095965308561,70.72201171082901,65.90538349939999
88.42970161315316,64.23034554684052,71.84500793523749,72.48434869037663,67.63333286836553,69.38880303687172,75.24086674658133
89.42970161315316,64.88873267411168,63.65940863614769,65.98971165009206,63.66661530986171,68.47513969383952,79.52174413409615
90.42970161315316,64.88873267411168,67.34193733960505,65.88051228144288,80.45600562324198,68.35735858764373,76.51956374438295
91.42970161315316,64.45960895657736,66.45470163821851,65.63239615507902,68.6553032176656,70.52406160771034,68.13182879436236
92.42970161315316,63.19403979863,65.87613819676827,66.38658881560352,83.75703839437269,69.15221159486498,61.137996489296555
93.42970161315316,65.47113145694279,65.23941671829304,65.49296224327038,72.04839889784476,67.76639980208013,58.254096675894324
94.42970161315316,66.47943788738439,62.53341513433035,72.76211283343311,64.80738202283631,66.07877996832488,57.186666851437415
95.42970161315316,67.0267863656851,63.955165350304064,76.93843552263775,63.882809283942876,68.76845533907125,59.24002335299011
96.42970161315316,69.19666818247953,70.55845428398035,77.26975153014311,66.92369505795456,73.95247945275347,58.856903471655784
97.42970161315316,70.14480286387521,67.88607443691645,70.76771138195483,72.3174460210881,72.63662436298398,59.333410530686336
98.42970161315316,72.46108902530364,67.03833755020732,66.7847456151507,67.09329437351427,72.02253997577849,64.3468938207117
99.42970161315316,73.61514531753825,67.66297055324351,65.18942556077148,73.75803396455282,68.4147892906808,73.3088764966276
100.42970161315316,64.23654041466195,65.97013083720901,67.4188920413165,100.0532002384176,69.5883812303794,78.40206652044446
101.42970161315316,64.11301799584213,68.55275310386337,63.49197082093727,71.91720589330609,71.49266597532879,76.60511194321661
102.42970161315316,65.52584275350715,66.68789299485631,65.53589614391912,69.86830139445412,69.22066900930068,70.02596541897938
103.42970161315316,64.02441911560494,71.10778463081945,70.48151647862407,69.20802111883617,67.65880944299927,65.76663669120065
104.42970161315316,66.6741875081949,66.38325505444283,75.49393008642343,69.65557581779922,68.55034993840655,62.660549034701354
