LslMarkerSourceTimestamp,EmotiBitTimestamp,PI,PG,PR
1201894.457669,20334.000,183475,7424,112366
1201894.467305,20343.636,183505,7446,112363
1201894.476941,20353.273,183479,7441,112378
1201894.486578,20362.909,183512,7431,112361
1201894.496214,20372.545,183495,7422,112335
1201894.50585,20382.182,183521,7405,112369
1201894.515486,20391.818,183506,7445,112329
1201894.525123,20401.455,183501,7432,112346
1201894.534759,20411.091,183518,7432,112390
1201894.544395,20420.727,183496,7408,112361
1201894.554032,20430.364,183468,7428,112330
1201894.563668,20440.000,183494,7426,112346
1201894.574112,20450.444,183496,7431,112374
1201894.584557,20460.889,183487,7433,112362
1201894.595001,20471.333,183488,7426,112345
1201894.605446,20481.778,183511,7437,112354
1201894.61589,20492.222,183491,7443,112339
1201894.626334,20502.667,183476,7444,112344
1201894.636779,20513.111,183474,7429,112357
1201894.647223,20523.556,183506,7430,112363
1201894.657668,20534.000,183522,7449,112367
1201894.667304,20543.636,183489,7430,112318
1201894.67694,20553.273,183480,7419,112314
1201894.686577,20562.909,183484,7435,112335
1201894.696213,20572.545,183468,7432,112367
1201894.705849,20582.182,183503,7444,112363
1201894.715485,20591.818,183488,7429,112371
1201894.725122,20601.455,183506,7431,112343
1201894.734758,20611.091,183511,7453,112372
1201894.744394,20620.727,183458,7408,112369
1201894.754031,20630.364,183520,7432,112362
1201894.763667,20640.000,183483,7434,112356
1201894.774367,20650.700,183490,7428,112360
1201894.785067,20661.400,183457,7439,112338
1201894.795767,20672.100,183473,7437,112371
1201894.806467,20682.800,183497,7468,112351
1201894.817167,20693.500,183479,7421,112369
1201894.827867,20704.200,183457,7431,112317
1201894.838567,20714.900,183480,7411,112330
1201894.849267,20725.600,183519,7421,112366
1201894.859967,20736.300,183475,7428,112348
1201894.870666,20747.000,183488,7463,112356
1201894.880066,20756.400,183473,7417,112345
1201894.889466,20765.800,183498,7438,112363
1201894.898866,20775.200,183485,7436,112347
1201894.908266,20784.600,183488,7433,112313
1201894.917666,20794.000,183516,7427,112376
1201894.927066,20803.400,183492,7464,112367
1201894.936466,20812.800,183470,7426,112336
1201894.945866,20822.200,183485,7453,112338
1201894.955266,20831.600,183461,7418,112342
1201894.964666,20841.000,183511,7456,112379
1201894.975266,20851.600,183491,7433,112346
1201894.985866,20862.200,183498,7425,112346
1201894.996466,20872.800,183484,7419,112334
1201895.007066,20883.400,183507,7422,112369
1201895.017666,20894.000,183494,7422,112345
1201895.028266,20904.600,183475,7427,112373
1201895.038866,20915.200,183461,7420,112353
1201895.049466,20925.800,183445,7436,112368
1201895.060065,20936.400,183439,7404,112336
1201895.070665,20947.000,183425,7412,112311
1201895.080393,20956.727,183409,7395,112307
1201895.09012,20966.455,183433,7416,112344
1201895.099847,20976.182,183427,7388,112320
1201895.109574,20985.909,183407,7411,112315
1201895.119302,20995.636,183433,7402,112351
1201895.129029,21005.364,183458,7401,112358
1201895.138756,21015.091,183425,7386,112328
1201895.148483,21024.818,183431,7393,112299
1201895.15821,21034.545,183393,7372,112316
1201895.167938,21044.273,183435,7383,112349
1201895.177665,21054.000,183413,7407,112322
1201895.187998,21064.333,183408,7382,112338
1201895.198331,21074.667,183403,7380,112320
1201895.208665,21085.000,183423,7403,112352
1201895.218998,21095.333,183415,7378,112323
1201895.229331,21105.667,183413,7386,112342
1201895.239665,21116.000,183416,7377,112339
1201895.249998,21126.333,183436,7399,112335
1201895.260331,21136.667,183416,7384,112333
1201895.270664,21147.000,183422,7380,112354
1201895.280392,21156.727,183406,7372,112326
1201895.290119,21166.455,183421,7402,112342
1201895.299846,21176.182,183428,7408,112300
1201895.309573,21185.909,183425,7371,112333
1201895.3193,21195.636,183399,7353,112312
1201895.329028,21205.364,183430,7358,112340
1201895.338755,21215.091,183417,7388,112346
1201895.348482,21224.818,183404,7382,112333
