LslMarkerSourceTimestamp,EmotiBitTimestamp,PI,PG,PR
1032478.772411,89579.000,172407,6753,108717
1032478.772411,89579.000,172411,6753,108759
1032478.772411,89579.000,172411,6753,108740
1032478.772411,89579.000,172411,6733,108717
1032478.772411,89579.000,172411,6733,108716
1032478.772411,89579.000,172411,6733,108759
1032478.772411,89579.000,172411,6733,108740
1032478.772411,89579.000,172411,6731,108717
1032478.772411,89579.000,172411,6731,108716
1032478.772411,89579.000,172411,6731,108759
1032478.772411,89579.000,172411,6731,108740
1032478.772411,89579.000,172411,6752,108717
1032478.772411,89579.000,172411,6752,108759
1032478.772411,89579.000,172411,6752,108740
1032478.772411,89579.000,172392,6753,108717
1032478.772411,89579.000,172392,6753,108716
1032478.772411,89579.000,172392,6753,108759
1032478.772411,89579.000,172392,6753,108740
1032478.772411,89579.000,172392,6733,108717
1032478.772411,89579.000,172392,6733,108716
1032478.772411,89579.000,172392,6733,108759
1032478.772411,89579.000,172392,6733,108740
1032478.772411,89579.000,172392,6731,108717
1032478.772411,89579.000,172392,6731,108716
1032478.772411,89579.000,172392,6731,108759
1032478.772411,89579.000,172392,6731,108740
1032478.772411,89579.000,172392,6752,108717
1032478.772411,89579.000,172392,6752,108716
1032478.772411,89579.000,172392,6752,108759
1032478.772411,89579.000,172392,6752,108740
1032478.772411,89579.000,172411,6753,108716
1032478.772411,89579.000,172411,6753,108717
1032478.772411,89579.000,172411,6752,108716
1032478.772411,89579.000,172357,6752,108759
1032478.772411,89579.000,172407,6753,108716
1032478.772411,89579.000,172357,6752,108740
1032478.772411,89579.000,172407,6753,108740
1032478.772411,89579.000,172407,6733,108717
1032478.772411,89579.000,172407,6733,108716
1032478.772411,89579.000,172407,6733,108759
1032478.772411,89579.000,172407,6733,108740
1032478.772411,89579.000,172407,6731,108717
1032478.772411,89579.000,172407,6731,108716
1032478.772411,89579.000,172407,6731,108759
1032478.772411,89579.000,172407,6731,108740
1032478.772411,89579.000,172407,6752,108717
1032478.772411,89579.000,172407,6752,108716
1032478.772411,89579.000,172407,6752,108759
1032478.772411,89579.000,172407,6752,108740
1032478.772411,89579.000,172407,6753,108759
1032478.772411,89579.000,172357,6753,108716
1032478.772411,89579.000,172357,6752,108716
1032478.772411,89579.000,172357,6752,108717
1032478.772411,89579.000,172357,6731,108740
1032478.772411,89579.000,172357,6731,108759
1032478.772411,89579.000,172357,6731,108717
1032478.772411,89579.000,172357,6733,108740
1032478.772411,89579.000,172357,6731,108716
1032478.772411,89579.000,172357,6733,108716
1032478.772411,89579.000,172357,6733,108717
1032478.772411,89579.000,172357,6753,108740
1032478.772411,89579.000,172357,6753,108717
1032478.772411,89579.000,172357,6753,108759
1032478.772411,89579.000,172357,6733,108759
1032478.782745,89589.333,172339,6723,108718
1032478.793079,89599.667,172350,6752,108746
1032478.803413,89610.000,172327,6736,108686
1032478.813748,89620.333,172302,6716,108703
1032478.824082,89630.667,172274,6707,108676
1032478.834416,89641.000,172269,6690,108675
1032478.84475,89651.333,172273,6688,108687
1032478.855084,89661.667,172243,6688,108684
1032478.865418,89672.000,172244,6676,108684
1032478.875146,89681.727,172261,6678,108666
1032478.884874,89691.455,172211,6647,108654
1032478.894602,89701.182,172251,6670,108681
1032478.90433,89710.909,172257,6664,108718
1032478.914058,89720.636,172244,6690,108676
1032478.923786,89730.364,172244,6664,108687
1032478.933514,89740.091,172239,6666,108676
1032478.943242,89749.818,172233,6690,108712
1032478.95297,89759.545,172181,6665,108661
1032478.962698,89769.273,172239,6646,108716
1032478.972426,89779.000,172238,6662,108689
1032478.983127,89789.700,172245,6718,108681
1032478.993828,89800.400,172244,6683,108705
1032479.004528,89811.100,172306,6711,108689
1032479.015229,89821.800,172272,6663,108730
1032479.02593,89832.500,172292,6695,108719
1032479.036631,89843.200,172287,6707,108755
1032479.047332,89853.900,172257,6699,108732
1032479.058032,89864.600,172221,6682,108695
1032479.068733,89875.300,172250,6689,108731
1032479.079434,89886.000,172253,6699,108743
1032479.088735,89895.300,172221,6684,108729
1032479.098035,89904.600,172231,6664,108728
1032479.107336,89913.900,172258,6710,108737
1032479.116637,89923.200,172263,6740,108741
1032479.125938,89932.500,172289,6727,108724
1032479.135238,89941.800,172236,6708,108737
1032479.144539,89951.100,172240,6711,108711
1032479.15384,89960.400,172233,6706,108701
1032479.16314,89969.700,172211,6703,108713
1032479.172441,89979.000,172225,6722,108738
1032479.183142,89989.700,172254,6714,108730
1032479.193843,90000.400,172281,6703,108723
1032479.204543,90011.100,172296,6714,108743
1032479.215244,90021.800,172282,6724,108741
1032479.225945,90032.500,172305,6727,108748
1032479.236646,90043.200,172293,6718,108744
1032479.247347,90053.900,172282,6734,108751
1032479.258047,90064.600,172278,6719,108721
1032479.268748,90075.300,172347,6733,108747
1032479.279449,90086.000,172363,6747,108769
1032479.289086,90095.636,172416,6782,108762
1032479.298723,90105.273,172395,6727,108725
1032479.30836,90114.909,172357,6748,108734
1032479.317997,90124.545,172298,6768,108727
1032479.327634,90134.182,172195,6728,108655
1032479.337272,90143.818,172037,6735,108644
1032479.346909,90153.455,171892,6707,108578
1032479.356546,90163.091,171707,6715,108543
1032479.366183,90172.727,171485,6655,108443
1032479.37582,90182.364,171322,6624,108397
1032479.385457,90192.000,171037,6594,108322
1032479.395902,90202.444,170700,6553,108210
1032479.406347,90212.889,170338,6509,108118
1032479.416793,90223.333,170007,6511,107997
1032479.427238,90233.778,169662,6442,107859
1032479.437683,90244.222,169309,6392,107749
1032479.448128,90254.667,168997,6405,107636
1032479.458574,90265.111,168631,6367,107506
1032479.469019,90275.556,168319,6318,107383
1032479.479464,90286.000,168037,6321,107273
1032479.489192,90295.727,167842,6325,107199
1032479.49892,90305.455,167593,6282,107076
1032479.508648,90315.182,167429,6283,107023
1032479.518376,90324.909,167229,6260,106925
1032479.528104,90334.636,166998,6255,106781
1032479.537832,90344.364,166700,6224,106652
1032479.54756,90354.091,166547,6232,106585
1032479.557288,90363.818,166314,6193,106507
1032479.567016,90373.545,165979,6171,106381
1032479.576744,90383.273,165647,6154,106244
1032479.586472,90393.000,165333,6132,106141
1032479.596806,90403.333,165084,6103,105996
1032479.60714,90413.667,164948,6094,105964
1032479.617474,90424.000,164828,6110,105908
1032479.627808,90434.333,164729,6053,105844
1032479.638142,90444.667,164695,6045,105831
1032479.648477,90455.000,164640,6038,105774
1032479.658811,90465.333,164587,6034,105769
1032479.669145,90475.667,164442,5979,105662
1032479.679479,90486.000,164306,5997,105582
1032479.689116,90495.636,164128,,
1032479.689207,90495.727,,5965,105476
1032479.698753,90505.273,163978,,
1032479.698935,90505.455,,5966,105363
1032479.70839,90514.909,163859,,
1032479.708663,90515.182,,5940,105288
1032479.718027,90524.545,163676,,
1032479.718391,90524.909,,5922,105162
1032479.727664,90534.182,163412,,
1032479.728119,90534.636,,5878,105009
1032479.737301,90543.818,163096,,
1032479.737847,90544.364,,5852,104721
1032479.746938,90553.455,162717,,
1032479.747575,90554.091,,5848,104466
1032479.756576,90563.091,162265,,
1032479.757303,90563.818,,5792,104142
1032479.766213,90572.727,161790,,
1032479.767031,90573.545,,5785,103804
1032479.77585,90582.364,161385,,
1032479.776759,90583.273,,5721,103488
1032479.785487,90592.000,160928,,
1032479.786487,90593.000,,5715,103156
1032479.795488,90602.000,160398,,
1032479.796404,90602.917,,,102737
1032479.796488,90603.000,,5662,
1032479.805488,90612.000,159871,,
1032479.806322,90612.833,,,102341
1032479.806488,90613.000,,5643,
1032479.815489,90622.000,159447,,
1032479.816239,90622.750,,,102032
1032479.816489,90623.000,,5613,
1032479.82549,90632.000,158990,,
1032479.826157,90632.667,,,101658
1032479.82649,90633.000,,5559,
1032479.835491,90642.000,158630,,
1032479.836074,90642.583,,,101330
1032479.836491,90643.000,,5544,
1032479.845491,90652.000,158148,,
1032479.845991,90652.500,,,100918
1032479.846491,90653.000,,5507,
1032479.855492,90662.000,157686,,
1032479.855909,90662.417,,,100535
1032479.856492,90663.000,,5487,
1032479.865493,90672.000,157117,,
1032479.865826,90672.333,,,100066
1032479.866493,90673.000,,5436,
1032479.875494,90682.000,156621,,
1032479.875744,90682.250,,,99723
1032479.876494,90683.000,,5434,
1032479.885494,90692.000,156286,,
1032479.885661,90692.167,,,99423
1032479.886494,90693.000,,5440,
1032479.895495,90702.000,156387,,
1032479.895578,90702.083,,,99503
1032479.896495,90703.000,,5431,
1032479.905496,90712.000,157176,,99902
1032479.906496,90713.000,,5399,
1032479.916197,90722.700,157313,,100132
1032479.917097,90723.600,,5394,
1032479.926897,90733.400,157400,,100223
