LslMarkerSourceTimestamp,EmotiBitTimestamp,Marker
1032478.773411,89580,LR
1032479.753484,90560,LR
1032480.774561,91581,LR
1032481.782636,92589,LR
1032482.753709,93560,LR
1032483.754784,94561,LR
1032484.752858,95559,LR
1032508.854661,119659,LR
1032509.856736,120661,LR
1032510.897813,121702,LR
1032511.900888,122705,LR
1032512.914964,123719,LR
1032513.887037,124691,LR
1032514.895112,125699,LR
1032515.886187,126690,LR
1032516.894262,127698,LR
1032539.043918,149846,LR
1032539.986989,150789,LR
1032540.988064,151790,LR
1032541.999139,152801,LR
1032543.016215,153818,LR
1032544.01729,154819,LR
1032545.034366,155836,LR
1032546.046442,156848,LR
1032547.067518,157869,LR
1032548.018589,158820,LR
1032549.019664,159821,LR
1032550.03374,160835,LR
1032551.047816,161849,LR
1032552.066892,162868,LR
1032553.081968,163883,LR
1032554.055041,164856,LR
1032555.056116,165857,LR
1032556.057191,166858,LR
1032557.066266,167867,LR
1032558.083342,168884,LR
1032559.105419,169906,LR
1032560.126495,170927,LR
1032561.085567,171886,LR
1032562.084641,172885,LR
1032563.086716,173887,LR
1032564.132794,174933,LR
1032565.092866,175893,LR
1032566.117943,176918,LR
1032567.099016,177899,LR
1032568.125093,178925,LR
1032569.124168,179924,LR
1032570.145244,180945,LR
1032571.15832,181958,LR
1032572.122392,182922,LR
1032573.122467,183922,LR
1032574.138543,184938,LR
1032575.152619,185952,LR
1032576.176695,186976,LR
1032577.124766,187924,LR
1032578.122841,188922,LR
1032579.131916,189931,LR
1032580.152992,190952,LR
1032593.240971,204039,LR
