,EmotiBit_1,EmotiBit_2,EmotiBit_3,EmotiBit_4,EmotiBit_5,EmotiBit_6,EmotiBit_7
EmotiBit_1,0,1,5,-5,3,5,5
EmotiBit_2,-1,0,5,5,2,-5,-2
EmotiBit_3,-5,-5,0,2,5,1,5
EmotiBit_4,5,-5,-2,0,3,-3,-1
EmotiBit_5,-3,-2,-5,-3,0,1,-2
EmotiBit_6,-5,5,-1,3,-1,0,4
EmotiBit_7,-5,2,-5,1,2,-4,0
