time,ibi_s,hr_bpm
62865.44264115899,0.9080070792479091,66.07877996909149
62866.37082617335,0.9281850143597694,64.64228475115596
62867.27883325261,0.908007079262461,66.07877996803249
62868.136395494126,0.8575622415155522,69.96576702580005
62869.014135670746,0.8777401766201365,68.3573585876387
62869.901964814904,0.8878291441578767,67.58057042260216
62870.77970499152,0.8777401766128605,68.35735858820534
62871.65744516814,0.8777401766201365,68.3573585876387
62872.504918442115,0.8474732739778119,70.79869282293248
62873.281768943256,0.7768505011408706,77.23493762555978
62874.04853047685,0.7667615335958544,78.25118680461202
62874.84555891309,0.797028436238179,75.27962274870451
62875.69303218706,0.847473273970536,70.79869282354032
62876.580861331226,0.8878291441651527,67.58057042204832
62877.44851254029,0.8676512090678443,69.15221159486498
62878.275807879174,0.8272953388805036,72.52549020908546
62879.123281153144,0.847473273970536,70.79869282354032
62880.00102132976,0.8777401766128605,68.35735858820534
62880.87876150638,0.8777401766201365,68.3573585876387
62881.75650168299,0.8777401766128605,68.35735858820534
62882.573708054326,0.8172063713354873,73.42086663121258
62883.390914425654,0.8172063713282114,73.42086663186628
62884.19803182944,0.8071174037831952,74.33862746455777
62885.045505103415,0.8474732739778119,70.79869282293248
62885.892978377386,0.847473273970536,70.79869282354032
62886.720273716266,0.8272953388805036,72.52549020908546
62887.50721318496,0.7869394686931628,76.24474611705456
62888.33450852383,0.8272953388732276,72.52549020972332
62889.18198179781,0.8474732739778119,70.79869282293248
62890.05972197442,0.8777401766128605,68.35735858820534
62890.89710628085,0.8373843064255198,71.65168912242642
62891.69413471709,0.797028436238179,75.27962274870451
62892.48107418578,0.7869394686931628,76.24474611705456
62893.28819158956,0.8071174037831952,74.33862746455777
62894.11548692845,0.8272953388877795,72.52549020844761
62894.94278226733,0.8272953388805036,72.52549020908546
62895.72972173601,0.7869394686786109,76.24474611846446
62896.50657223715,0.7768505011408706,77.23493762555978
62897.31368964094,0.8071174037904711,74.33862746388763
62898.140984979815,0.8272953388732276,72.52549020972332
62898.98845825379,0.8474732739778119,70.79869282293248
62900.09824468399,1.109786430199165,54.06445633799312
62901.006251763254,0.908007079262461,66.07877996803249
62902.146305096096,1.1400533328414895,52.629116789172414
62902.953422499886,0.8071174037904711,74.33862746388763
62903.76053990367,0.8071174037831952,74.33862746455777
62904.50712350217,0.746583598498546,80.36608374556576
62905.28397400331,0.7768505011408706,77.23493762555978
62906.09109140709,0.8071174037831952,74.33862746455777
62906.91838674597,0.8272953388805036,72.52549020908546
62907.76586001995,0.8474732739778119,70.79869282293248
62908.56288845619,0.797028436238179,75.27962274870451
62909.32964998978,0.7667615335885785,78.25118680535456
62910.106500490925,0.7768505011481466,77.2349376248364
62910.883350992066,0.7768505011408706,77.23493762555978
62911.680379428304,0.797028436238179,75.27962274870451
62912.47740786454,0.797028436238179,75.27962274870451
62913.27443630078,0.797028436238179,75.27962274870451
62913.99075299664,0.7163166958562215,83.76183376304152
62914.666713822306,0.6759608256688807,88.76254025612867
62915.32249671288,0.6557828905715724,91.49369534131141
62915.978279603456,0.6557828905788483,91.49369534029628
62916.69459629931,0.7163166958562215,83.76183376304152
62917.45126886536,0.7566725660508382,79.29453596176607
62918.228119366504,0.7768505011408706,77.23493762555978
