time,ppg
62863.87885118916,164425.0
62863.888940156714,164432.0
62863.89902912426,164426.0
62863.909118091804,164443.0
62863.919207059356,164398.0
62863.9292960269,164453.0
62863.939384994446,164428.0
62863.949473962,164409.0
62863.95956292954,164418.0
62863.96965189709,164392.0
62863.97974086464,164416.0
62863.989829832186,164411.0
62863.99991879973,164423.0
62864.01000776728,164376.0
62864.02009673483,164425.0
62864.03018570237,164395.0
62864.040274669926,164383.0
62864.05036363747,164419.0
62864.060452605016,164368.0
62864.07054157256,164404.0
62864.08063054011,164372.0
62864.09071950766,164400.0
62864.1008084752,164381.0
62864.110897442755,164418.0
62864.1209864103,164421.0
62864.131075377845,164407.0
62864.1411643454,164419.0
62864.15125331294,164453.0
62864.16134228049,164481.0
62864.17143124804,164469.0
62864.181520215585,164478.0
62864.19160918313,164481.0
62864.20169815068,164479.0
62864.21178711823,164517.0
62864.22187608577,164477.0
62864.23196505332,164535.0
62864.24205402087,164515.0
62864.252142988415,164515.0
62864.26223195596,164532.0
62864.27232092351,164548.0
62864.28240989106,164568.0
62864.2924988586,164531.0
62864.302587826154,164571.0
62864.3126767937,164567.0
62864.322765761244,164577.0
62864.3328547288,164578.0
62864.34294369634,164603.0
62864.35303266389,164603.0
62864.36312163144,164558.0
62864.373210598984,164574.0
62864.38329956653,164592.0
62864.39338853408,164610.0
62864.403477501626,164640.0
62864.41356646917,164603.0
62864.423655436716,164625.0
62864.43374440427,164659.0
62864.44383337181,164698.0
62864.45392233936,164643.0
62864.46401130691,164690.0
62864.474100274456,164681.0
62864.484189242,164666.0
62864.49427820955,164737.0
62864.5043671771,164680.0
62864.51445614464,164702.0
62864.524545112195,164704.0
62864.53463407974,164768.0
62864.544723047286,164715.0
62864.55481201484,164758.0
62864.56490098238,164755.0
62864.57498994993,164756.0
62864.58507891748,164721.0
62864.595167885025,164697.0
62864.60525685257,164700.0
62864.615345820115,164663.0
62864.62543478767,164650.0
62864.63552375521,164552.0
62864.64561272276,164553.0
62864.65570169031,164512.0
62864.665790657855,164507.0
62864.6758796254,164489.0
62864.68596859295,164456.0
62864.6960575605,164426.0
62864.70614652804,164403.0
62864.716235495594,164398.0
62864.72632446314,164415.0
62864.736413430684,164422.0
62864.74650239824,164448.0
62864.75659136578,164406.0
62864.76668033333,164391.0
62864.77676930087,164420.0
62864.786858268424,164412.0
62864.79694723597,164401.0
62864.807036203514,164416.0
