time,hr_bpm,is_valid
63012.0,,False
63013.0,63.65838036073086,True
63014.0,55.22275180357186,True
63015.0,52.990165206220674,True
63016.0,53.96919743299295,True
63017.0,56.578599840090675,True
63018.0,57.34317728590586,True
63019.0,57.436836264557726,True
63020.0,59.64472776436197,True
63021.0,66.24229035625898,True
63022.0,73.33305579008766,True
63023.0,68.12425812883609,True
63024.0,62.650506081971244,True
63025.0,80.95622370031084,True
63026.0,52.752728656161715,True
63027.0,66.6482055064807,True
63028.0,68.8248431778025,True
63029.0,62.589724008414585,True
63030.0,55.93617765211766,True
63031.0,60.23628979524005,True
63032.0,64.22943308510618,True
63033.0,75.02577740880969,True
63034.0,59.50807053914335,True
63035.0,55.34229901497044,True
63036.0,66.68790978419753,True
63037.0,75.15833543210928,True
63038.0,78.38944514214332,True
63039.0,71.8347638496939,True
63040.0,67.05453727907589,True
63041.0,68.94641948934124,True
63042.0,65.176590033549,True
63043.0,60.94090555486395,True
63044.0,59.11899398171746,True
63045.0,63.87476261402967,True
63046.0,67.92410019608442,True
63047.0,62.10714019830502,True
63048.0,57.09072041899385,True
63049.0,57.52800764066923,True
63050.0,61.97188191351004,True
63051.0,69.58937098950636,True
63052.0,65.46013593561278,True
63053.0,61.27435367557529,True
63054.0,55.43064451722529,True
63055.0,66.14558791607824,True
63056.0,62.94562657262045,True
63057.0,60.121721069714724,True
63058.0,61.96924535253266,True
63059.0,67.69748209127033,True
63060.0,68.49865641655678,True
63061.0,64.1535537789283,True
63062.0,62.07451974216256,True
63063.0,64.19245744684432,True
63064.0,64.65348121327308,True
63065.0,70.16746378235756,True
63066.0,77.11389734628091,True
63067.0,75.62242320201126,True
63068.0,68.59510865016976,True
63069.0,63.130187148514956,True
63070.0,64.94100361742895,True
63071.0,70.19732148580574,True
63072.0,65.1248769337634,True
63073.0,58.85985611118013,True
63074.0,58.80724015248134,True
63075.0,64.52954483876533,True
63076.0,64.85756358465062,True
63077.0,62.70967863171398,True
63078.0,66.05596842458287,True
63079.0,70.77986356004048,True
63080.0,66.82986242763937,True
63081.0,67.78089688033769,True
63082.0,74.44466148515917,True
63083.0,70.80920896183898,True
63084.0,65.61556149926074,True
63085.0,68.7260950673422,True
63086.0,68.4525214332125,True
63087.0,63.734250673386576,True
63088.0,65.56080053469796,True
63089.0,66.31106926889045,True
63090.0,62.279405682527795,True
63091.0,61.207535669563484,True
63092.0,65.3277523673676,True
63093.0,63.32718802268277,True
63094.0,60.186101359369566,True
63095.0,60.55593023513934,True
63096.0,64.54788448945816,True
63097.0,67.86332045602688,True
63098.0,70.30660219956928,True
63099.0,69.74812204161341,True
63100.0,67.83951312145356,True
63101.0,64.67546005130775,True
63102.0,62.823947106477554,True
63103.0,63.004221632548436,True
63104.0,59.729016867745216,True
63105.0,57.55469778480295,True
63106.0,57.91586525276075,True
63107.0,59.03803850623194,True
63108.0,61.136425617504855,True
63109.0,62.32275181801889,True
63110.0,64.73088258177016,True
63111.0,75.31672888485484,True
63112.0,80.21434943934405,True
63113.0,73.15733618560715,True
63114.0,70.40481662858508,True
63115.0,67.61097396282503,True
