time,ppg
63478.95155577727,127044.0
63478.961606426834,127028.0
63478.97165707641,127055.0
63478.98170772597,127063.0
63478.99175837554,127049.0
63479.00180902511,127057.0
63479.011859674676,127059.0
63479.02191032425,127073.0
63479.031960973814,127051.0
63479.04201162338,127057.0
63479.05206227295,127036.0
63479.06211292252,127043.0
63479.072163572084,127037.0
63479.08221422166,127061.0
63479.09226487122,127061.0
63479.102315520795,127048.0
63479.11236617036,127063.0
63479.122416819926,127060.0
63479.1324674695,127055.0
63479.142518119064,127063.0
63479.15256876864,127069.0
63479.1626194182,127073.0
63479.17267006777,127084.0
63479.18272071734,127068.0
63479.19277136691,127062.0
63479.20282201648,127076.0
63479.212872666045,127083.0
63479.22292331561,127050.0
63479.23297396518,127051.0
63479.24302461475,127042.0
63479.25307526432,127048.0
63479.26312591389,127039.0
63479.27317656345,127049.0
63479.283227213025,127033.0
63479.29327786259,127035.0
63479.303328512164,127050.0
63479.31337916173,127045.0
63479.323429811295,127030.0
63479.33348046087,127012.0
63479.34353111043,127060.0
63479.35358176,127012.0
63479.36363240957,127034.0
63479.37368305914,127048.0
63479.38373370871,127050.0
63479.393784358275,126999.0
63479.40383500784,127026.0
63479.41388565741,127038.0
63479.42393630698,127018.0
63479.43398695655,126989.0
63479.44403760612,127032.0
63479.45408825568,127032.0
63479.464138905256,127018.0
63479.47418955482,127027.0
63479.484240204394,127022.0
63479.49429085396,127018.0
63479.504341503525,127007.0
63479.5143921531,126998.0
63479.52444280266,127024.0
63479.53449345223,127051.0
63479.5445441018,127019.0
63479.55459475137,127052.0
63479.56464540094,127043.0
63479.574696050506,126995.0
63479.58474670007,126987.0
63479.594797349644,127040.0
63479.60484799921,127006.0
63479.61489864878,127006.0
63479.62494929835,127021.0
63479.63499994791,127043.0
63479.645050597486,127036.0
63479.65510124705,127013.0
63479.665151896625,127050.0
63479.67520254619,127024.0
63479.685253195756,127022.0
63479.69530384533,127017.0
63479.705354494894,127039.0
63479.71540514447,127011.0
63479.72545579403,127021.0
63479.7355064436,127052.0
63479.74555709317,127043.0
63479.755607742736,127000.0
63479.76565839231,127037.0
63479.775709041875,127035.0
63479.78575969144,127024.0
63479.79581034101,127033.0
63479.80586099058,127047.0
63479.815911640144,127037.0
63479.82596228972,127058.0
63479.83601293928,127026.0
63479.846063588855,127058.0
63479.85611423842,127053.0
63479.866164887986,126988.0
63479.87621553756,127016.0
63479.886266187124,127066.0
63479.8963168367,127038.0
63479.90636748626,127015.0
63479.91641813583,127042.0
63479.9264687854,127054.0
63479.93651943497,127043.0
63479.94657008454,127043.0
63479.956620734105,127055.0
63479.96667138367,127024.0
63479.97672203324,127048.0
63479.98677268281,127053.0
63479.996823332374,127036.0
63480.00687398195,127033.0
63480.01692463151,127055.0
63480.026975281085,127062.0
63480.03702593065,127076.0
63480.04707658022,127077.0
63480.05712722979,127066.0
63480.067177879355,127073.0
63480.07722852893,127059.0
63480.08727917849,127053.0
63480.09732982806,127077.0
63480.10738047763,127066.0
63480.1174311272,127054.0
63480.12748177677,127059.0
63480.137532426335,127071.0
63480.1475830759,127066.0
63480.157633725474,127037.0
63480.16768437504,127049.0
63480.17773502461,127052.0
63480.18778567418,127080.0
63480.19783632374,127079.0
63480.207886973316,127110.0
63480.21793762288,127044.0
63480.227988272454,127066.0
63480.23803892202,127063.0
63480.248089571585,127062.0
63480.25814022116,127055.0
63480.26819087072,127051.0
63480.27824152029,127038.0
63480.28829216986,127056.0
63480.29834281943,127013.0
63480.308393469,127040.0
63480.318444118566,127031.0
63480.32849476813,127060.0
63480.338545417704,127018.0
63480.34859606727,127025.0
63480.35864671684,127052.0
63480.36869736641,127032.0
63480.37874801597,127050.0
63480.388798665546,127034.0
63480.39884931511,126998.0
63480.408899964685,127008.0
63480.41895061425,127020.0
63480.429001263816,127031.0
63480.43905191339,127033.0
63480.449102562954,127003.0
63480.45915321253,127004.0
63480.46920386209,127036.0
63480.47925451166,127028.0
63480.48930516123,127043.0
63480.499355810796,127029.0
63480.50940646036,127042.0
63480.519457109935,127002.0
63480.5295077595,127010.0
63480.53955840907,127047.0
63480.54960905864,127019.0
63480.559659708204,127008.0
63480.56971035778,127027.0
63480.57976100734,127005.0
63480.589811656915,127025.0
63480.59986230648,127012.0
63480.609912956046,127004.0
63480.61996360562,127027.0
63480.630014255185,127000.0
63480.64006490476,127016.0
63480.65011555432,127004.0
63480.66016620389,127008.0
63480.67021685346,127047.0
63480.68026750303,127022.0
63480.6903181526,127005.0
63480.700368802165,127065.0
63480.71041945173,127062.0
63480.7204701013,127032.0
63480.73052075087,127021.0
63480.740571400434,127003.0
63480.75062205001,127013.0
63480.76067269957,127048.0
63480.770723349146,127061.0
63480.78077399871,127022.0
63480.79082464828,127048.0
63480.80087529785,127014.0
63480.810925947415,127059.0
63480.82097659699,127027.0
63480.83102724655,127056.0
63480.84107789612,127042.0
63480.85112854569,127060.0
63480.86117919526,127042.0
63480.87122984483,127029.0
63480.881280494395,127048.0
63480.89133114396,127058.0
63480.901381793534,127063.0
63480.9114324431,127052.0
63480.92148309267,127059.0
63480.93153374224,127033.0
63480.9415843918,127073.0
63480.951635041376,127052.0
63480.96168569094,127044.0
63480.97173634051,127069.0
63480.98178699008,127026.0
63480.991837639645,127056.0
63481.00188828922,127063.0
63481.011938938784,127040.0
63481.02198958835,127044.0
63481.03204023792,127058.0
63481.04209088749,127061.0
63481.05214153706,127086.0
63481.062192186626,127092.0
63481.07224283619,127030.0
63481.082293485764,127061.0
63481.09234413533,127074.0
63481.1023947849,127060.0
63481.11244543447,127080.0
63481.12249608403,127083.0
63481.13254673361,127071.0
63481.14259738317,127063.0
63481.152648032745,127039.0
63481.16269868231,127094.0
63481.172749331876,127071.0
63481.18279998145,127063.0
63481.192850631014,127059.0
63481.20290128058,127065.0
63481.21295193015,127057.0
63481.22300257972,127040.0
63481.23305322929,127033.0
63481.243103878856,127063.0
63481.25315452842,127058.0
63481.263205177995,127033.0
63481.27325582756,127043.0
63481.28330647713,127014.0
63481.2933571267,127036.0
63481.303407776264,127019.0
63481.31345842584,127046.0
63481.3235090754,127009.0
63481.333559724975,127048.0
63481.34361037454,127000.0
63481.353661024106,127044.0
63481.36371167368,127014.0
63481.373762323245,127037.0
63481.38381297282,127037.0
63481.39386362238,127036.0
63481.40391427195,127030.0
63481.41396492152,127034.0
63481.42401557109,127028.0
63481.43406622065,127033.0
63481.444116870225,127045.0
63481.45416751979,127043.0
63481.46421816936,127036.0
63481.47426881893,127000.0
63481.484319468495,127028.0
63481.49437011807,127030.0
63481.50442076763,127038.0
63481.514471417206,127064.0
63481.52452206677,127040.0
63481.53457271634,127031.0
63481.54462336591,127014.0
63481.554674015475,127037.0
63481.56472466505,127033.0
63481.57477531461,127003.0
63481.58482596418,127031.0
63481.59487661375,127039.0
63481.60492726332,127043.0
63481.61497791289,127053.0
63481.625028562456,127040.0
63481.63507921202,127031.0
63481.645129861594,127032.0
63481.65518051116,127027.0
63481.665231160725,127029.0
63481.6752818103,126997.0
63481.68533245986,127006.0
63481.695383109436,127020.0
63481.705433759,127051.0
63481.71548440857,127062.0
63481.72553505814,127030.0
63481.735585707705,127070.0
63481.74563635728,127041.0
63481.755687006844,127001.0
63481.76573765641,127038.0
63481.77578830598,127061.0
63481.78583895555,127060.0
63481.79588960512,127034.0
63481.805940254686,127079.0
63481.81599090425,127053.0
63481.826041553824,127055.0
63481.83609220339,127036.0
63481.84614285296,127086.0
63481.85619350253,127064.0
63481.866244152094,127029.0
63481.87629480167,127047.0
63481.88634545123,127081.0
63481.8963961008,127048.0
63481.90644675037,127066.0
63481.916497399936,127057.0
63481.92654804951,127087.0
63481.936598699074,127040.0
63481.94664934864,127064.0
63481.95669999821,127075.0
63481.96675064778,127069.0
63481.97680129735,127053.0
63481.98685194692,127062.0
63481.99690259648,127059.0
