LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1759437219.596159,147706.000,20974,3,AY,1,100,-0.135
1759437219.596159,147706.000,20974,3,AY,1,100,-0.139
1759437219.596159,147706.000,20974,3,AY,1,100,-0.136
1759437219.636160,147746.000,20990,2,AY,1,100,-0.135
1759437219.676161,147786.000,20990,2,AY,1,100,-0.138
1759437219.716162,147826.000,21005,3,AY,1,100,-0.135
1759437219.756163,147866.000,21005,3,AY,1,100,-0.133
1759437219.796164,147906.000,21005,3,AY,1,100,-0.138
1759437219.836164,147946.000,21024,2,AY,1,100,-0.137
1759437219.876165,147986.000,21024,2,AY,1,100,-0.131
1759437219.916166,148026.000,21039,3,AY,1,100,-0.136
1759437219.956167,148066.000,21039,3,AY,1,100,-0.138
1759437219.996168,148106.000,21039,3,AY,1,100,-0.139
1759437220.036168,148146.000,21054,2,AY,1,100,-0.136
1759437220.076169,148186.000,21054,2,AY,1,100,-0.135
1759437220.116170,148226.000,21069,3,AY,1,100,-0.134
1759437220.156171,148266.000,21069,3,AY,1,100,-0.135
1759437220.196172,148306.000,21069,3,AY,1,100,-0.135
1759437220.236172,148346.000,21086,2,AY,1,100,-0.139
1759437220.276173,148386.000,21086,2,AY,1,100,-0.136
1759437220.323174,148433.000,21101,2,AY,1,100,-0.138
1759437220.370175,148480.000,21101,2,AY,1,100,-0.134
1759437220.410176,148520.000,21117,3,AY,1,100,-0.137
1759437220.450177,148560.000,21117,3,AY,1,100,-0.136
1759437220.490178,148600.000,21117,3,AY,1,100,-0.134
1759437220.530179,148640.000,21133,2,AY,1,100,-0.139
1759437220.570179,148680.000,21133,2,AY,1,100,-0.133
1759437220.610180,148720.000,21149,3,AY,1,100,-0.135
1759437220.650181,148760.000,21149,3,AY,1,100,-0.141
1759437220.690182,148800.000,21149,3,AY,1,100,-0.136
1759437220.730183,148840.000,21166,3,AY,1,100,-0.134
1759437220.770183,148880.000,21166,3,AY,1,100,-0.138
1759437220.810184,148920.000,21166,3,AY,1,100,-0.136
1759437220.850185,148960.000,21182,2,AY,1,100,-0.134
1759437220.890186,149000.000,21182,2,AY,1,100,-0.138
1759437220.930187,149040.000,21197,3,AY,1,100,-0.135
1759437220.970187,149080.000,21197,3,AY,1,100,-0.133
1759437221.010188,149120.000,21197,3,AY,1,100,-0.136
1759437221.050189,149160.000,21213,2,AY,1,100,-0.134
1759437221.090190,149200.000,21213,2,AY,1,100,-0.137
1759437221.130191,149240.000,21229,3,AY,1,100,-0.138
1759437221.170192,149280.000,21229,3,AY,1,100,-0.135
1759437221.210192,149320.000,21229,3,AY,1,100,-0.135
1759437221.250193,149360.000,21244,2,AY,1,100,-0.135
1759437221.290194,149400.000,21244,2,AY,1,100,-0.139
1759437221.334195,149444.000,21259,3,AY,1,100,-0.136
1759437221.378196,149488.000,21259,3,AY,1,100,-0.135
1759437221.422197,149532.000,21259,3,AY,1,100,-0.136
1759437221.462198,149572.000,21275,2,AY,1,100,-0.133
1759437221.502198,149612.000,21275,2,AY,1,100,-0.138
