LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1759437254.180866,182290.000,26307,1,BI,1,100,38880
1759437277.631344,205740.000,29973,1,BI,1,100,23360
1759437295.350706,223459.000,32741,1,BI,1,100,17640
1759437321.015230,249123.000,36755,1,BI,1,100,25560
1759437326.748347,254856.000,37648,1,BI,1,100,5720
