LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1759437229.210356,157320,22451,2,RD,1,100,TL,TU
1759437244.588670,172698,24832,2,RD,1,100,TL,TU
1759437249.695774,177805,25614,2,RD,1,100,TL,TU
1759437254.808878,182918,26407,2,RD,1,100,TL,TU
1759437335.607528,263715,39014,2,RD,1,100,TL,TU
1759437340.720632,268828,39802,2,RD,1,100,TL,TU
1759437345.829736,273937,40589,2,RD,1,100,TL,TU
1759437350.940841,279048,41383,2,RD,1,100,TL,TU
