LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,ED
1759437220.478177,148588,21109,0,ED,1,100,100
1759437230.721386,158831,22671,0,ED,1,100,100
1759437258.144946,186254,26935,0,ED,1,100,100
