LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1759437249.707774,177817,25616,2,AK,1,100,25614,RD
1759437254.808878,182918,26406,2,AK,1,100,25614,RD
1759437254.822879,182932,26409,2,AK,1,100,26407,RD
1759437340.717632,268825,39801,2,AK,1,100,39014,RD
1759437340.736632,268844,39804,2,AK,1,100,39802,RD
1759437345.829736,273937,40588,2,AK,1,100,39802,RD
1759437345.846737,273954,40591,2,AK,1,100,40589,RD
1759437350.939841,279047,41382,2,AK,1,100,40589,RD
1759437350.954841,279062,41385,2,AK,1,100,41383,RD
