RD,TS_received,TS_sent,AK,RoundTrip,
177805,177815,2025-10-02_16-34-09-700774,177817,10,
182918,182931,2025-10-02_16-34-14-813802,182932,13,
263715,268824,2025-10-02_16-35-35-741665,268825,5109,
268828,268843,2025-10-02_16-35-40-728639,268844,15,
273937,273953,2025-10-02_16-35-45-838413,273954,16,
279048,279061,2025-10-02_16-35-50-947341,279062,13,
