subject,ppg_stream,ppg_channel_1based,fs,segment,t_start,t_end,t_center,t_rel,window_s,step_s,bandpass,low_hz,high_hz,psd_total_power_0p5_8,psd_peak_freq_0p5_8,psd_bp_0p5_1,psd_bp_1_2,psd_bp_2_4,psd_bp_4_8,psd_centroid_0p5_8,psd_entropy_0p5_8,psd_bin_00,psd_bin_01,psd_bin_02,psd_bin_03,psd_bin_04,psd_bin_05,psd_bin_06,psd_bin_07,psd_bin_08,psd_bin_09,psd_bin_10,psd_bin_11,psd_bin_12,psd_bin_13,psd_bin_14,psd_bin_15,psd_bin_16,psd_bin_17,psd_bin_18,psd_bin_19,psd_bin_20,psd_bin_21,psd_bin_22,psd_bin_23,psd_bin_24,psd_bin_25,psd_bin_26,psd_bin_27,psd_bin_28,psd_bin_29,psd_bin_30,psd_bin_31,psd_bin_32,psd_bin_33,psd_bin_34,psd_bin_35,psd_bin_36,psd_bin_37,psd_bin_38,psd_bin_39,psd_bin_40,psd_bin_41,psd_bin_42,psd_bin_43,psd_bin_44,psd_bin_45,psd_bin_46,psd_bin_47,psd_bin_48,psd_bin_49,psd_bin_50,psd_bin_51,psd_bin_52,psd_bin_53,psd_bin_54,psd_bin_55,psd_bin_56,psd_bin_57,psd_bin_58,psd_bin_59,psd_bin_60,psd_bin_61,psd_bin_62,psd_bin_63,lle_1,lle_2
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62858.87673065632,62868.91732957512,62863.89703011573,5.022143323869386,10.0,1.0,True,0.5,8.0,0.8297964353884328,1.171875,0.0,0.3059871689804344,0.0737787464176698,0.054699539724344,1.593177628899682,1.6842211686451578,0.0,0.0,-0.4819833267205272,0.0,0.0,0.1617230371413623,0.0,0.0,0.0,-1.9286957742234512,0.0,0.0,-2.2981506161820344,0.0,0.0,-2.3669376402367783,0.0,0.0,0.0,-3.860346659421034,0.0,0.0,-2.6842420147460793,0.0,0.0,-3.1388169127745504,0.0,0.0,0.0,-3.982207800639146,0.0,0.0,-4.009286167613154,0.0,0.0,-4.803485625560573,0.0,0.0,0.0,-3.99307850336501,0.0,0.0,-3.331734384786405,0.0,0.0,-4.083458870890316,0.0,0.0,0.0,-4.2123515073659465,0.0,0.0,-4.133053350591972,0.0,0.0,-4.923180622916171,0.0,0.0,0.0,-4.572157033688687,0.0,0.0,-5.0278066443890435,0.0,0.0078213023345423,0.0031373258651811588
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62859.88179561315,62869.92239453196,62864.90209507255,6.027208280698687,10.0,1.0,True,0.5,8.0,0.8332122630032928,1.171875,0.0,0.3331121941654687,0.0573759829099997,0.0459198306787995,1.5167560938195894,1.6122107362707654,0.0,0.0,-0.508688512891309,0.0,0.0,0.1862576020907328,0.0,0.0,0.0,-1.620582151539982,0.0,0.0,-2.2515610359327582,0.0,0.0,-2.353824444064543,0.0,0.0,0.0,-4.348511460906258,0.0,0.0,-2.8762322261834026,0.0,0.0,-3.630765005626453,0.0,0.0,0.0,-4.93052845981105,0.0,0.0,-4.008591390622657,0.0,0.0,-4.925109549502076,0.0,0.0,0.0,-4.147227072300981,0.0,0.0,-3.602441330438579,0.0,0.0,-4.33072308865037,0.0,0.0,0.0,-4.099597573703919,0.0,0.0,-4.3334116690621585,0.0,0.0,-5.505992768226535,0.0,0.0,0.0,-4.773413004338188,0.0,0.0,-5.194262408648075,0.0,0.0074441089244509555,0.003033696487869171
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62860.88686056999,62870.9274594888,62865.9071600294,7.03227323754254,10.0,1.0,True,0.5,8.0,0.860040798822429,1.171875,0.0,0.3281838846797981,0.0671216026659476,0.045997607292971,1.5090964482336722,1.6334205450692163,0.0,0.0,-0.3767448033270034,0.0,0.0,0.1923193947619492,0.0,0.0,0.0,-1.710939441730969,0.0,0.0,-2.2363106683522003,0.0,0.0,-2.2586251310541496,0.0,0.0,0.0,-3.810041255043435,0.0,0.0,-2.8855598742642603,0.0,0.0,-3.3620262094757076,0.0,0.0,0.0,-4.2760771336637085,0.0,0.0,-3.885127364055306,0.0,0.0,-4.58013673702555,0.0,0.0,0.0,-4.177810430204556,0.0,0.0,-3.804321219300916,0.0,0.0,-4.1711306289125165,0.0,0.0,0.0,-3.907314382987219,0.0,0.0,-4.3675751025365885,0.0,0.0,-5.886746386450391,0.0,0.0,0.0,-5.098432740982963,0.0,0.0,-5.287191887807226,0.0,0.007601146796040822,0.003199143059608575
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62861.89192552683,62871.932524445634,62866.91222498623,8.037338194371841,10.0,1.0,True,0.5,8.0,0.9061804550780892,1.171875,0.0,0.335729789021107,0.0710542958609252,0.0516939746135315,1.5152853844113452,1.634340603256775,0.0,0.0,-0.2673288098708349,0.0,0.0,0.2439652329515112,0.0,0.0,0.0,-1.8258703466295567,0.0,0.0,-2.1162567127839234,0.0,0.0,-2.3855122079273836,0.0,0.0,0.0,-3.65818048162983,0.0,0.0,-2.791295061081602,0.0,0.0,-3.228339712779304,0.0,0.0,0.0,-4.002630826018136,0.0,0.0,-3.9259275480956175,0.0,0.0,-4.377915225036796,0.0,0.0,0.0,-3.964153336277915,0.0,0.0,-3.7672894889659343,0.0,0.0,-3.9719545975187263,0.0,0.0,0.0,-3.9274278273921897,0.0,0.0,-4.2965499790923545,0.0,0.0,-5.3732446427959,0.0,0.0,0.0,-4.842404429931645,0.0,0.0,-5.066884794328409,0.0,0.007734038199755796,0.0032416415756266756
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62862.89699048366,62872.93758940247,62867.91728994307,9.042403151215694,10.0,1.0,True,0.5,8.0,0.7959337478875801,1.171875,0.0,0.2902553241532869,0.055591379869477,0.0447045695478234,1.483700465533144,1.5715859820713614,0.0,0.0,-0.3415611108385608,0.0,0.0,0.1449571895438563,0.0,0.0,0.0,-2.191253787791872,0.0,0.0,-2.2390081696382067,0.0,0.0,-2.5636811504079695,0.0,0.0,0.0,-3.7027121287095537,0.0,0.0,-2.9874974194076382,0.0,0.0,-3.772057215717992,0.0,0.0,0.0,-4.469086254433118,0.0,0.0,-4.278349288215147,0.0,0.0,-4.772445845340636,0.0,0.0,0.0,-4.5455248610199925,0.0,0.0,-3.876295007752339,0.0,0.0,-3.985832124416864,0.0,0.0,0.0,-4.118136101369124,0.0,0.0,-4.26252707384769,0.0,0.0,-4.950723390833537,0.0,0.0,0.0,-4.733292445313548,0.0,0.0,-5.151627901024516,0.0,0.007269199501097576,0.0025309424657182474
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62863.9020554405,62873.94265435931,62868.9223548999,10.047468108044995,10.0,1.0,True,0.5,8.0,0.8333084868641372,1.171875,0.0,0.3178159973663422,0.0622754926436425,0.0379678918984426,1.4651235794037436,1.5840129080144127,0.0,0.0,-0.3573485769028091,0.0,0.0,0.1831821296319396,0.0,0.0,0.0,-1.8409890027797513,0.0,0.0,-2.217656719209,0.0,0.0,-2.4913486299905228,0.0,0.0,0.0,-3.734197494207673,0.0,0.0,-2.911779442579997,0.0,0.0,-3.450803589525522,0.0,0.0,0.0,-4.130826647314307,0.0,0.0,-4.029571697107589,0.0,0.0,-4.592061734769065,0.0,0.0,0.0,-4.889121525326724,0.0,0.0,-4.088740035100833,0.0,0.0,-4.132347217218753,0.0,0.0,0.0,-4.348548802130838,0.0,0.0,-4.525234511750945,0.0,0.0,-5.338707934193192,0.0,0.0,0.0,-4.989775720752406,0.0,0.0,-5.30863141628853,0.0,0.007253016411232519,0.002640784651240085
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62864.90712039734,62874.94771931615,62869.927419856744,11.052533064888848,10.0,1.0,True,0.5,8.0,0.9052406242368212,1.171875,0.0,0.3650677387838125,0.0623553136491462,0.0385590984281828,1.4569326115079215,1.5843250301560643,0.0,0.0,-0.3464017684572228,0.0,0.0,0.2612400511391529,0.0,0.0,0.0,-1.4752984612961415,0.0,0.0,-2.178717782545909,0.0,0.0,-2.372688009796633,0.0,0.0,0.0,-3.916349387547765,0.0,0.0,-2.9564097138672056,0.0,0.0,-3.371818638311913,0.0,0.0,0.0,-4.302313497806899,0.0,0.0,-3.760066444962193,0.0,0.0,-4.279881226390228,0.0,0.0,0.0,-4.947919170083843,0.0,0.0,-4.3122061346112766,0.0,0.0,-4.207708660684141,0.0,0.0,0.0,-4.304983671756447,0.0,0.0,-4.363431405931017,0.0,0.0,-5.583700065568253,0.0,0.0,0.0,-5.1724394023621,0.0,0.0,-5.436071786489193,0.0,0.007413691501780649,0.0031993934181823894
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62865.91218535418,62875.95278427299,62870.93248481359,12.0575980217327,10.0,1.0,True,0.5,8.0,0.8969734351581182,1.171875,0.0,0.339516479252894,0.0706409004462956,0.050619799277713,1.5237897147017418,1.6237716039105812,0.0,0.0,-0.3543386120788928,0.0,0.0,0.2563268832944603,0.0,0.0,0.0,-1.72514345559324,0.0,0.0,-2.409565396912205,0.0,0.0,-2.2463537683666654,0.0,0.0,0.0,-3.766418286934867,0.0,0.0,-2.931002451941395,0.0,0.0,-3.1321222032489504,0.0,0.0,0.0,-4.154711911104677,0.0,0.0,-3.5690166529493657,0.0,0.0,-3.985498174343947,0.0,0.0,0.0,-4.8895943137212,0.0,0.0,-4.257972161800861,0.0,0.0,-3.7097707394282,0.0,0.0,0.0,-3.815423507115571,0.0,0.0,-4.183754737541886,0.0,0.0,-5.376639694073997,0.0,0.0,0.0,-5.147197869281729,0.0,0.0,-5.101245525175128,0.0,0.007682762065390739,0.0034544597040548543
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62866.91725031102,62876.957849229824,62871.93754977042,13.062662978562004,10.0,1.0,True,0.5,8.0,0.8451738483729357,1.171875,0.0,0.3214816656027149,0.0675083806482329,0.0394789383612573,1.4818373009027077,1.595387968880677,0.0,0.0,-0.4091212839013343,0.0,0.0,0.2108194484196453,0.0,0.0,0.0,-1.85445833834727,0.0,0.0,-2.3205322062961957,0.0,0.0,-2.379552682189848,0.0,0.0,0.0,-3.552043292052298,0.0,0.0,-3.089641821013292,0.0,0.0,-3.1426913154129306,0.0,0.0,0.0,-3.9981548550118062,0.0,0.0,-3.671311597484935,0.0,0.0,-4.020392042384572,0.0,0.0,0.0,-4.599990817147024,0.0,0.0,-4.602811316032337,0.0,0.0,-4.102854816472602,0.0,0.0,0.0,-4.284996222591792,0.0,0.0,-4.765472468624663,0.0,0.0,-5.637527139591572,0.0,0.0,0.0,-5.094426282103939,0.0,0.0,-5.6198368536082715,0.0,0.007406322830933101,0.0030992730212898363
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62867.92231526785,62877.96291418666,62872.94261472726,14.067727935405856,10.0,1.0,True,0.5,8.0,0.8006604347433077,1.171875,0.0,0.3002018582791598,0.0717732586409851,0.0382348702452364,1.50739402336551,1.6313328399462557,0.0,0.0,-0.4906911693426461,0.0,0.0,0.1425956122979564,0.0,0.0,0.0,-1.9195407026596285,0.0,0.0,-2.403272710549001,0.0,0.0,-2.3542272243680293,0.0,0.0,0.0,-3.2903328997628476,0.0,0.0,-3.1090562032695224,0.0,0.0,-3.145806060071506,0.0,0.0,0.0,-3.786327676757687,0.0,0.0,-3.666230142785425,0.0,0.0,-3.879630938639119,0.0,0.0,0.0,-5.055006200434602,0.0,0.0,-4.313460577969973,0.0,0.0,-4.251508800858995,0.0,0.0,0.0,-4.427348544900739,0.0,0.0,-4.905277544239398,0.0,0.0,-5.579048967157653,0.0,0.0,0.0,-5.185954491370032,0.0,0.0,-5.681033042964578,0.0,0.0073180380240597635,0.0030312770109182604
