subject,ppg_stream,ppg_channel_1based,fs,segment,t_start,t_end,t_center,t_rel,window_s,step_s,bandpass,low_hz,high_hz
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62858.87673065632,62868.917329575124,62863.897030115724,5.022143323869386,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62859.88179561315,62869.92239453196,62864.90209507255,6.027208280698687,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62860.88686056999,62870.9274594888,62865.9071600294,7.03227323754254,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62861.89192552683,62871.932524445634,62866.91222498623,8.037338194371841,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62862.89699048366,62872.93758940247,62867.91728994307,9.042403151215694,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62863.9020554405,62873.94265435931,62868.9223548999,10.047468108044995,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62864.90712039734,62874.94771931615,62869.927419856744,11.052533064888848,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62865.91218535418,62875.95278427299,62870.93248481359,12.057598021732701,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62866.91725031102,62876.957849229824,62871.93754977042,13.062662978562003,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62867.92231526785,62877.96291418666,62872.94261472726,14.067727935405856,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62868.92738022469,62878.9679791435,62873.94767968409,15.072792892235157,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62869.93244518153,62879.973044100334,62874.952744640934,16.07785784907901,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62870.93751013836,62880.97810905717,62875.95780959776,17.08292280590831,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62871.94257509521,62881.983174014014,62876.96287455461,18.087987762752164,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62872.94764005204,62882.98823897085,62877.96793951145,19.093052719596017,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62873.95270500888,62883.99330392769,62878.97300446828,20.098117676425318,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62874.95776996572,62884.998368884524,62879.978069425124,21.10318263326917,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62875.96283492255,62886.00343384136,62880.98313438195,22.108247590098472,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62876.96789987939,62887.0084987982,62881.9881993388,23.113312546942325,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62877.972964836226,62888.013563755034,62882.99326429563,24.118377503771626,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62878.97802979306,62889.01862871188,62883.99832925247,25.12344246061548,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62879.98309474991,62890.023693668714,62885.003394209314,26.128507417459332,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62880.98815970674,62891.02875862555,62886.00845916614,27.133572374288633,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62881.99322466358,62892.03382358239,62887.01352412299,28.138637331132486,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62882.99828962042,62893.038888539224,62888.01858907982,29.143702287961787,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62884.00335457725,62894.04395349606,62889.02365403666,30.14876724480564,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62885.00841953409,62895.0490184529,62890.02871899349,31.15383220163494,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62886.013484490926,62896.054083409734,62891.03378395033,32.158897158478794,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62887.01854944777,62897.05914836658,62892.03884890718,33.16396211532265,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62888.02361440461,62898.064213323414,62893.04391386401,34.16902707215195,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62889.02867936144,62899.06927828025,62894.04897882085,35.1740920289958,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62890.03374431828,62900.07434323709,62895.05404377768,36.1791569858251,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62891.03880927512,62901.079408193924,62896.059108734524,37.184221942668955,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62892.04387423195,62902.08447315076,62897.06417369135,38.189286899498256,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62893.04893918879,62903.0895381076,62898.0692386482,39.19435185634211,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62894.05400414563,62904.09460306444,62899.07430360504,40.19941681318596,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62895.05906910247,62905.09966802128,62900.07936856187,41.20448177001526,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62896.06413405931,62906.104732978114,62901.084433518714,42.20954672685912,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62897.06919901614,62907.10979793495,62902.08949847554,43.21461168368842,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62898.07426397298,62908.11486289179,62903.09456343239,44.21967664053227,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62899.079328929816,62909.119927848624,62904.09962838922,45.22474159736157,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62900.08439388665,62910.12499280546,62905.10469334606,46.229806554205425,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62901.0894588435,62911.130057762304,62906.109758302904,47.23487151104928,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62902.09452380033,62912.13512271914,62907.11482325973,48.23993646787858,10.0,1.0,True,0.5,8.0
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515615,pre,62903.09958875717,62913.14018767598,62908.11988821658,49.24500142472243,10.0,1.0,True,0.5,8.0
