best_r,best_lag_s
0.06408640025771804,1.0
0.04975149518107383,-5.0
-0.031618668197001217,0.0
0.10983177783112638,4.0
0.0377896271305006,5.0
-0.020242140429730333,0.0
0.001297769227215135,5.0
0.07577544221690398,5.0
-0.014597056023945525,2.0
0.00021813057822863763,-5.0
0.13456896235153668,-1.0
0.16545620694130148,-3.0
0.12216021511945428,5.0
0.1847079237377918,1.0
0.13827925868258148,5.0
0.3440346336745895,3.0
0.28988023428160153,-1.0
0.12125632518402771,0.0
0.23755996599523432,1.0
0.16635622659535187,-2.0
0.23485788961634207,4.0
