best_r,best_lag_s
0.08208390978377819,-5.0
0.08279170384893113,5.0
0.08986580904708427,2.0
0.04220421785917957,-4.0
-0.054566606938380495,-5.0
0.051737145203753956,4.0
0.03556847310543673,4.0
-0.08542511896689284,5.0
0.32308675657250546,-3.0
0.04215120778623018,-5.0
0.25948561205302273,5.0
0.06303442462532163,3.0
0.15386654337956548,3.0
-0.17546406184676958,5.0
0.11700292966265421,-3.0
0.19180783647592087,5.0
0.039766523191654295,-5.0
-0.013697044818686626,-5.0
0.1518463135819381,5.0
0.3207793062633766,5.0
0.15852482397608944,3.0
