t_center,mean_pairwise_r,t_start,t_end
62879.0,-0.07514093157869574,62864,62894
62880.0,-0.08409335920882403,62865,62895
62881.0,-0.08404298703312178,62866,62896
62882.0,-0.08222545329156977,62867,62897
62883.0,-0.0810713744474667,62868,62898
62884.0,-0.07930997738712324,62869,62899
62885.0,-0.0778597803971149,62870,62900
62886.0,-0.07753993165858941,62871,62901
62887.0,-0.08083964892412944,62872,62902
62888.0,-0.07954497967126366,62873,62903
62889.0,-0.07821074112559222,62874,62904
62890.0,-0.07761408284075419,62875,62905
62891.0,-0.0776201711226592,62876,62906
62892.0,-0.07865556126812925,62877,62907
62893.0,-0.08299652764606232,62878,62908
62894.0,-0.09100014877940395,62879,62909
62895.0,-0.09714971050948888,62880,62910
62896.0,-0.10080042614011536,62881,62911
62897.0,-0.10135959589743755,62882,62912
62898.0,-0.09899598979628443,62883,62913
62899.0,-0.09679095948242866,62884,62914
62900.0,-0.0972527125189826,62885,62915
62901.0,-0.09399372528742973,62886,62916
62902.0,-0.08712415991911086,62887,62917
62903.0,-0.08381505100291801,62888,62918
62904.0,-0.09033461206040216,62889,62919
62905.0,-0.10798005020868973,62890,62920
62906.0,-0.12313711893553878,62891,62921
62907.0,-0.13153380180023821,62892,62922
62908.0,-0.13308829108339623,62893,62923
62909.0,-0.12955655313347317,62894,62924
62910.0,-0.11881567936130409,62895,62925
62911.0,-0.10868664671506693,62896,62926
62912.0,-0.10651273994040847,62897,62927
62913.0,-0.10589005694831931,62898,62928
62914.0,-0.10528602064089214,62899,62929
62915.0,-0.10393332128445275,62900,62930
62916.0,-0.09893503510433861,62901,62931
62917.0,-0.08478218869629059,62902,62932
62918.0,-0.06382313735562226,62903,62933
62919.0,-0.03854644859742475,62904,62934
62920.0,-0.012899569799619053,62905,62935
62921.0,0.002228386732321447,62906,62936
62922.0,0.006799041703338734,62907,62937
62923.0,0.004812181885794615,62908,62938
62924.0,-0.004401634413869635,62909,62939
62925.0,-0.007202008129970067,62910,62940
62926.0,-0.006939347504039363,62911,62941
62927.0,-0.0035157020192466983,62912,62942
62928.0,-0.00409625492957603,62913,62943
62929.0,-0.010954127791570576,62914,62944
62930.0,-0.01367436356511272,62915,62945
62931.0,-0.010984026944566056,62916,62946
62932.0,-0.007470653641338508,62917,62947
62933.0,-0.004801961076850449,62918,62948
62934.0,-0.0037758714603683408,62919,62949
62935.0,-0.0016149649862075856,62920,62950
62936.0,0.0016611057780706753,62921,62951
62937.0,0.007350944388681486,62922,62952
62938.0,0.013921754257955776,62923,62953
62939.0,0.01956589908542646,62924,62954
62940.0,0.019042676043108223,62925,62955
62941.0,0.015018600816572615,62926,62956
62942.0,0.013335536735950374,62927,62957
62943.0,0.007510573459697545,62928,62958
62944.0,-0.012331892650949148,62929,62959
62945.0,-0.03351627816568,62930,62960
62946.0,-0.043399486173733376,62931,62961
62947.0,-0.047669911721056675,62932,62962
62948.0,-0.05177309623433205,62933,62963
62949.0,-0.06039870471042067,62934,62964
62950.0,-0.06809096684325511,62935,62965
62951.0,-0.06616572693701513,62936,62966
62952.0,-0.05671068166576413,62937,62967
62953.0,-0.04931672781593521,62938,62968
62954.0,-0.0488740399556694,62939,62969
62955.0,-0.04947302180762054,62940,62970
62956.0,-0.049617061458743957,62941,62971
62957.0,-0.05174874317769973,62942,62972
62958.0,-0.05280002470513154,62943,62973
62959.0,-0.04500104443735137,62944,62974
62960.0,-0.0377882731870393,62945,62975
62961.0,-0.019987541369632718,62946,62976
62962.0,-0.010269912850324492,62947,62977
62963.0,-0.020517998085280535,62948,62978
62964.0,-0.0353077523661698,62949,62979
62965.0,-0.05299820017240049,62950,62980
62966.0,-0.0704500662800241,62951,62981
62967.0,-0.09194278781764807,62952,62982
62968.0,-0.10872666973423126,62953,62983
62969.0,-0.11737929524172544,62954,62984
62970.0,-0.12277604612910864,62955,62985
62971.0,-0.12335801823083514,62956,62986
62972.0,-0.11828012785781834,62957,62987
62973.0,-0.11394955342300032,62958,62988
62974.0,-0.09191195788324238,62959,62989
62975.0,-0.060606517605588564,62960,62990
62976.0,-0.02459815542232308,62961,62991
62977.0,0.008973328696276327,62962,62992
62978.0,0.018994169391088434,62963,62993
62979.0,0.006687954796434556,62964,62994
62980.0,-0.009793574419300795,62965,62995
62981.0,-0.02327208712660162,62966,62996
62982.0,-0.03324832036783967,62967,62997
62983.0,-0.039835980925710356,62968,62998
62984.0,-0.044682178911900815,62969,62999
62985.0,-0.04689486111714676,62970,63000
62986.0,-0.044270397698223704,62971,63001
