subject,ppg_stream,ppg_channel_1based,fs,segment,t_start,t_end,t_center,t_rel,window_s,step_s,bandpass,low_hz,high_hz,psd_total_power_0p5_8,psd_peak_freq_0p5_8,psd_bp_0p5_1,psd_bp_1_2,psd_bp_2_4,psd_bp_4_8,psd_centroid_0p5_8,psd_entropy_0p5_8,psd_bin_00,psd_bin_01,psd_bin_02,psd_bin_03,psd_bin_04,psd_bin_05,psd_bin_06,psd_bin_07,psd_bin_08,psd_bin_09,psd_bin_10,psd_bin_11,psd_bin_12,psd_bin_13,psd_bin_14,psd_bin_15,psd_bin_16,psd_bin_17,psd_bin_18,psd_bin_19,psd_bin_20,psd_bin_21,psd_bin_22,psd_bin_23,psd_bin_24,psd_bin_25,psd_bin_26,psd_bin_27,psd_bin_28,psd_bin_29,psd_bin_30,psd_bin_31,psd_bin_32,psd_bin_33,psd_bin_34,psd_bin_35,psd_bin_36,psd_bin_37,psd_bin_38,psd_bin_39,psd_bin_40,psd_bin_41,psd_bin_42,psd_bin_43,psd_bin_44,psd_bin_45,psd_bin_46,psd_bin_47,psd_bin_48,psd_bin_49,psd_bin_50,psd_bin_51,psd_bin_52,psd_bin_53,psd_bin_54,psd_bin_55,psd_bin_56,psd_bin_57,psd_bin_58,psd_bin_59,psd_bin_60,psd_bin_61,psd_bin_62,psd_bin_63
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63441.333438399546,63451.423140340456,63446.37828937,343.39324968155415,10.0,1.0,True,0.5,8.0,0.3829653768075974,0.0,0.0,0.1975207623613103,0.32587774846038864,0.11327528110717953,0.09940898374769808,0.2766767731543051,0.0,0.0,0.028318542685154695,0.0,0.0,0.5584660900722946,0.0,0.0,0.0,0.059720233246339884,0.0,0.0,-0.12955546536241377,0.0,0.0,0.5153071679218977,0.0,0.0,0.0,0.32636264399365345,0.0,0.0,0.2862760248700698,0.0,0.0,0.6625354722401484,0.0,0.0,0.0,0.33430306459978426,0.0,0.0,0.6952936054241813,0.0,0.0,0.3030019039307321,0.0,0.0,0.0,-0.03610320396970478,0.0,0.0,0.5047662163446973,0.0,0.0,0.8559969458018377,0.0,0.0,0.0,-0.37207945763096606,0.0,0.0,0.18899917218559317,0.0,0.0,0.5361527956115634,0.0,0.0,0.0,-0.6186597863860616,0.0,0.0,-0.5549223879979069,0.0
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63442.34341857381,63452.433120514725,63447.388269544266,344.40322985582316,10.0,1.0,True,0.5,8.0,0.3296797518943145,0.0,0.0,0.29688009648425856,0.08044539410658301,0.06767060859213726,-0.009317621861461093,0.009729629240290678,0.0,0.0,-0.12672892611698441,0.0,0.0,0.6484455241609006,0.0,0.0,0.0,0.07347681135521485,0.0,0.0,-0.41211230656736486,0.0,0.0,0.39612121900576136,0.0,0.0,0.0,0.28248122525463093,0.0,0.0,0.0434521947623729,0.0,0.0,0.5562871055396689,0.0,0.0,0.0,0.37949767337983603,0.0,0.0,0.5755783370428953,0.0,0.0,0.5772579477638864,0.0,0.0,0.0,0.060251669064870624,0.0,0.0,0.2714109262723337,0.0,0.0,0.4963576287137219,0.0,0.0,0.0,-0.3560466780162353,0.0,0.0,-0.2928942055328137,0.0,0.0,0.5826616802655619,0.0,0.0,0.0,-0.2645381952368237,0.0,0.0,-0.6859964541310167,0.0
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63443.35339874808,63453.443100688986,63448.398249718535,345.41321003009216,10.0,1.0,True,0.5,8.0,0.13571336025146408,0.0,0.0,0.1910876864521691,-0.07240837527408304,-0.18251343894648464,-0.12159183003823243,-0.06356503580748196,0.0,0.0,-0.014922781487437942,0.0,0.0,0.5694296029797523,0.0,0.0,0.0,0.06683665883724955,0.0,0.0,-0.46448562902880264,0.0,0.0,0.22947005110065624,0.0,0.0,0.0,0.3529775036764502,0.0,0.0,-0.1985988192282637,0.0,0.0,0.3802932488221942,0.0,0.0,0.0,0.45202590343352506,0.0,0.0,0.3556215949375118,0.0,0.0,0.573872689105605,0.0,0.0,0.0,0.22344773205841514,0.0,0.0,0.043970601234748434,0.0,0.0,0.1071914679111582,0.0,0.0,0.0,-0.6861956434508508,0.0,0.0,-0.9185805138349988,0.0,0.0,0.3579206002015243,0.0,0.0,0.0,-0.49138084719320924,0.0,0.0,-0.607832923569876,0.0
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63444.36337892234,63454.453080863255,63449.4082298928,346.4231902043539,10.0,1.0,True,0.5,8.0,0.3828978129838041,0.0,0.0,0.37782128411488003,-0.000566026741141365,-0.08757897638428688,-0.25475616839492277,-0.09526702458484183,0.0,0.0,0.21714205528218614,0.0,0.0,0.668686070413692,0.0,0.0,0.0,0.1215500487736747,0.0,0.0,-0.3867424740415261,0.0,0.0,0.34865297131553435,0.0,0.0,0.0,0.42050530931770314,0.0,0.0,0.020672728723767745,0.0,0.0,0.22844868815631147,0.0,0.0,0.0,0.27859944688582067,0.0,0.0,0.42899966480776974,0.0,0.0,0.3994675734576499,0.0,0.0,0.0,0.35947264049603594,0.0,0.0,0.36407093114901606,0.0,0.0,0.2723462391679875,0.0,0.0,0.0,-0.7236486963842812,0.0,0.0,-0.24283801726754065,0.0,0.0,0.40631534672215236,0.0,0.0,0.0,-0.9775680911816984,0.0,0.0,-0.3319089840044908,0.0
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63445.37335909661,63455.46306103752,63450.418210067066,347.4331703786229,10.0,1.0,True,0.5,8.0,0.864599190279732,0.0,0.0,0.709663804657874,0.337395166083298,0.14237455040801386,-0.12222542258212973,0.17075635715048662,0.0,0.0,0.17948228287663442,0.0,0.0,0.6902542137088528,0.0,0.0,0.0,0.28505191897046833,0.0,0.0,0.5975996985118235,0.0,0.0,0.8308263951673096,0.0,0.0,0.0,0.4293069489773616,0.0,0.0,0.09674378800010035,0.0,0.0,0.36349010329753584,0.0,0.0,0.0,0.24475555923667924,0.0,0.0,0.7055478570385963,0.0,0.0,0.6114080493472104,0.0,0.0,0.0,0.23109523417788305,0.0,0.0,0.4403798264618049,0.0,0.0,0.4455204316837889,0.0,0.0,0.0,-0.5852862816900688,0.0,0.0,-0.13340079225353627,0.0,0.0,0.11069332454198626,0.0,0.0,0.0,-0.914711345281206,0.0,0.0,-0.16409076018177418,0.0
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63446.38333927087,63456.473041211786,63451.42819024133,348.4431505528846,10.0,1.0,True,0.5,8.0,0.6993519419744387,0.0,0.0,0.4608279787237542,0.09805619806936429,0.16597647287067507,-0.2013567000763954,-0.05351637732702014,0.0,0.0,0.19644853694248895,0.0,0.0,0.784428891221503,0.0,0.0,0.0,0.013545481432383747,0.0,0.0,0.18943849525340056,0.0,0.0,0.9078713499952775,0.0,0.0,0.0,0.14906551002015436,0.0,0.0,-0.3981537477716762,0.0,0.0,0.5666337391979613,0.0,0.0,0.0,0.29787922786391957,0.0,0.0,0.4381765733861999,0.0,0.0,0.9086222289606848,0.0,0.0,0.0,0.45438496640802534,0.0,0.0,0.18155263856820625,0.0,0.0,0.06456685329328965,0.0,0.0,0.0,-0.6402990539106748,0.0,0.0,-0.6428288733409653,0.0,0.0,0.11735439927179911,0.0,0.0,0.0,-0.20225903712086388,0.0,0.0,-0.12350432557207142,0.0
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63447.39331944514,63457.483021386055,63452.4381704156,349.4531307271536,10.0,1.0,True,0.5,8.0,0.3682944028065271,0.0,0.0,0.03306261772041205,0.07571795362122213,-0.282738931847214,-0.25300019338718777,-0.37758154010807427,0.0,0.0,0.047799221310173175,0.0,0.0,0.7845997782745057,0.0,0.0,0.0,-0.3967588616705824,0.0,0.0,-0.19067262621482275,0.0,0.0,0.9866497214131978,0.0,0.0,0.0,0.0838129203593351,0.0,0.0,-1.0906035174713236,0.0,0.0,0.7098763008051154,0.0,0.0,0.0,0.3341881037127741,0.0,0.0,-0.9183692232982945,0.0,0.0,0.9261005399079026,0.0,0.0,0.0,0.6055764305733091,0.0,0.0,-1.6257786346483079,0.0,0.0,0.06932613854877338,0.0,0.0,0.0,-0.38095031941951346,0.0,0.0,-1.5040345076480808,0.0,0.0,-0.1989027834613603,0.0,0.0,0.0,-0.0082577066038711,0.0,0.0,-0.15906982645190829,0.0
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63448.4032996194,63458.49300156032,63453.44815058986,350.46311090141535,10.0,1.0,True,0.5,8.0,0.13876255293882706,0.0,0.0,-0.049857425321803206,-0.07303275361548928,-0.5072201971954902,-0.31265703609513634,-0.15368501699473489,0.0,0.0,0.19039451221387158,0.0,0.0,0.6213755914521579,0.0,0.0,0.0,-0.275758210213478,0.0,0.0,0.0037830022730356975,0.0,0.0,0.8106016580024886,0.0,0.0,0.0,0.07571917539282427,0.0,0.0,-0.49957328879854196,0.0,0.0,0.5419280003694864,0.0,0.0,0.0,0.23631464094514365,0.0,0.0,-0.36798329404844926,0.0,0.0,0.5356045396859378,0.0,0.0,0.0,0.34758954883697657,0.0,0.0,-0.45644217378710383,0.0,0.0,-0.10932884555683309,0.0,0.0,0.0,-0.6860302092609951,0.0,0.0,-1.0059723095611486,0.0,0.0,-0.718144430169662,0.0,0.0,0.0,-0.2361268047283713,0.0,0.0,0.06450340697800126,0.0
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63449.41327979367,63459.502981734586,63454.45813076413,351.47309107568435,10.0,1.0,True,0.5,8.0,-0.30576823364378863,0.0,0.0,-0.3389148220355912,0.0014209589716420669,-0.3436254542698335,0.16210215137944056,0.3221801350732935,0.0,0.0,-0.4407740702380183,0.0,0.0,0.16015810281467863,0.0,0.0,0.0,-0.09392939378772686,0.0,0.0,0.24601857613330969,0.0,0.0,0.753731173044906,0.0,0.0,0.0,0.33390054807723746,0.0,0.0,-0.13472495190589956,0.0,0.0,0.15855237737961567,0.0,0.0,0.0,0.11839165733648131,0.0,0.0,0.45478619238171886,0.0,0.0,0.5219554804809725,0.0,0.0,0.0,0.36827294814024925,0.0,0.0,-0.5663411669226041,0.0,0.0,-0.21857028882453516,0.0,0.0,0.0,-0.8807010354321093,0.0,0.0,-1.4343212038142534,0.0,0.0,-1.4899670420201707,0.0,0.0,0.0,-0.26075687435259537,0.0,0.0,0.19614370394630584,0.0
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63450.42325996794,63460.51296190885,63455.4681109384,352.48307124995335,10.0,1.0,True,0.5,8.0,0.0686612198201471,0.0,0.0,0.22199610473059317,0.11269641398443205,-0.4303379346378585,0.1239817681482784,0.2307021308733518,0.0,0.0,-0.45152785817314073,0.0,0.0,0.2045465133832896,0.0,0.0,0.0,0.33371631410413843,0.0,0.0,0.4772282839201567,0.0,0.0,0.6668295681291981,0.0,0.0,0.0,0.5309656249990343,0.0,0.0,-0.1419662310481675,0.0,0.0,-0.13628942481310846,0.0,0.0,0.0,0.39550892516887026,0.0,0.0,0.7938442148273241,0.0,0.0,0.06716883380806261,0.0,0.0,0.0,0.2671366837843662,0.0,0.0,-0.5834477504871143,0.0,0.0,-0.6060375463796078,0.0,0.0,0.0,-1.1970422294697916,0.0,0.0,-1.0951882274262963,0.0,0.0,-1.1562992199652842,0.0,0.0,0.0,0.1119542729449865,0.0,0.0,0.03160289792659391,0.0
