segment,status,n_subjects,n_seconds,t_start_sec,t_end_sec,mean_pairwise_r_zero_lag,leave_one_out_isc,mean_pairwise_best_r_maxlag,mean_abs_lag_s_at_best_r,files
baseline_warmup,ok,7,138,62864,63001,-0.07441484144256366,-0.15711391880228626,,,"{'aligned_matrix': 'analysis_outputs/synchrony/baseline_warmup/aligned_HR_matrix.csv', 'pairwise_corr': 'analysis_outputs/synchrony/baseline_warmup/pairwise_corr.csv', 'heatmap_png': 'analysis_outputs/synchrony/baseline_warmup/pairwise_corr_heatmap.png', 'windowed_sync_csv': 'analysis_outputs/synchrony/baseline_warmup/synchrony_timeseries.csv', 'windowed_sync_png': 'analysis_outputs/synchrony/baseline_warmup/synchrony_timeseries.png'}"
meditation_all,ok,7,935,63012,63946,0.08813619462387882,0.19911981412060173,,,"{'aligned_matrix': 'analysis_outputs/synchrony/meditation_all/aligned_HR_matrix.csv', 'pairwise_corr': 'analysis_outputs/synchrony/meditation_all/pairwise_corr.csv', 'heatmap_png': 'analysis_outputs/synchrony/meditation_all/pairwise_corr_heatmap.png', 'windowed_sync_csv': 'analysis_outputs/synchrony/meditation_all/synchrony_timeseries.csv', 'windowed_sync_png': 'analysis_outputs/synchrony/meditation_all/synchrony_timeseries.png'}"
