LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1759437221.673622,156967,22696,2,AK,1,100,22694,RD
1759437235.848427,171141,24947,2,AK,1,100,24142,RD
1759437235.858428,171151,24950,2,AK,1,100,24948,RD
1759437263.324987,198616,29321,2,AK,1,100,29319,RD
1759437268.417276,203708,30139,2,AK,1,100,29319,RD
1759437268.430277,203721,30142,2,AK,1,100,30140,RD
