LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1759437337.757214,273044.000,41247,1,SR,1,100,0.133333
1759437338.557259,273844.000,41389,1,SR,1,100,0.266667
1759437338.957282,274244.000,41454,1,SR,1,100,0.266667
1759437339.758327,275045.000,41626,1,SR,1,100,0.533333
1759437340.690380,275977.000,41707,1,SR,1,100,0.133333
1759437341.090403,276377.000,41802,1,SR,1,100,0.333333
1759437341.823445,277110.000,41915,1,SR,1,100,0.333333
1759437342.291471,277578.000,42010,1,SR,1,100,0.466667
1759437343.291528,278578.000,42138,1,SR,1,100,0.266667
1759437343.823558,279110.000,42219,1,SR,1,100,0.266667
1759437344.223581,279510.000,42252,1,SR,1,100,0.066667
1759437344.423592,279710.000,42302,1,SR,1,100,0.133333
1759437344.690608,279977.000,42351,1,SR,1,100,0.200000
1759437345.024626,280311.000,42385,1,SR,1,100,0.066667
1759437345.490653,280777.000,42480,1,SR,1,100,0.200000
1759437345.956679,281243.000,42530,1,SR,1,100,0.066667
1759437346.156691,281443.000,42563,1,SR,1,100,0.066667
1759437346.890733,282177.000,42743,1,SR,1,100,0.466667
1759437347.489766,282776.000,42776,1,SR,1,100,0.066667
1759437347.823786,283110.000,42904,1,SR,1,100,0.466667
1759437348.689835,283976.000,42984,1,SR,1,100,0.133333
1759437349.089857,284376.000,43064,1,SR,1,100,0.200000
1759437349.557884,284844.000,43112,1,SR,1,100,0.066667
1759437350.023910,285310.000,43224,1,SR,1,100,0.333333
1759437350.756952,286043.000,43303,1,SR,1,100,0.066667
1759437351.222978,286509.000,43367,1,SR,1,100,0.066667
1759437351.556997,286843.000,43481,1,SR,1,100,0.466667
1759437352.424047,287710.000,43594,1,SR,1,100,0.266667
1759437353.090085,288376.000,43673,1,SR,1,100,0.066667
1759437353.290096,288576.000,43737,1,SR,1,100,0.266667
1759437354.090141,289376.000,43929,1,SR,1,100,0.733333
1759437355.090198,290376.000,44007,1,SR,1,100,0.200000
1759437355.423217,290709.000,44043,1,SR,1,100,0.133333
1759437355.690232,290976.000,44124,1,SR,1,100,0.400000
1759437356.624285,291910.000,44225,1,SR,1,100,0.066667
1759437356.824296,292110.000,44275,1,SR,1,100,0.133333
