RD,TS_received,TS_sent,AK,RoundTrip,
156956,156966,2025-10-02_16-33-41-667622,156967,10,
166025,171140,2025-10-02_16-33-50-866136,171141,5115,
171142,171150,2025-10-02_16-33-55-853884,171151,8,
198594,198614,2025-10-02_16-34-23-314838,198616,20,
203709,203720,2025-10-02_16-34-28-423777,203721,11,
