LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1759437221.662622,156956,22694,2,RD,1,100,TL,TU
1759437230.732137,166025,24142,2,RD,1,100,TL,TU
1759437235.849427,171142,24948,2,RD,1,100,TL,TU
1759437242.728818,178021,26035,2,RD,1,100,TL,TU
1759437258.194696,193486,28508,2,RD,1,100,TL,TU
1759437263.302986,198594,29319,2,RD,1,100,TL,TU
1759437268.418277,203709,30140,2,RD,1,100,TL,TU
1759437356.606284,291892,44204,2,RD,1,100,TL,TU
