LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1759437221.630620,156924.000,22693,1,MZ,1,100,-15
1759437221.670622,156964.000,22713,2,MZ,1,100,-17
1759437221.710624,157004.000,22713,2,MZ,1,100,-17
1759437221.750627,157044.000,22733,3,MZ,1,100,-17
1759437221.790629,157084.000,22733,3,MZ,1,100,-16
1759437221.830631,157124.000,22733,3,MZ,1,100,-15
1759437221.870633,157164.000,22748,2,MZ,1,100,-17
1759437221.910636,157204.000,22748,2,MZ,1,100,-15
1759437221.954972,157248.333,22765,3,MZ,1,100,-17
1759437221.999307,157292.667,22765,3,MZ,1,100,-15
1759437222.043643,157337.000,22765,3,MZ,1,100,-15
1759437222.083646,157377.000,22779,2,MZ,1,100,-16
1759437222.123648,157417.000,22779,2,MZ,1,100,-15
1759437222.163650,157457.000,22795,3,MZ,1,100,-15
1759437222.203652,157497.000,22795,3,MZ,1,100,-16
1759437222.243655,157537.000,22795,3,MZ,1,100,-15
1759437222.283657,157577.000,22811,2,MZ,1,100,-16
1759437222.323659,157617.000,22811,2,MZ,1,100,-15
1759437222.363662,157657.000,22828,3,MZ,1,100,-16
1759437222.403664,157697.000,22828,3,MZ,1,100,-15
1759437222.443666,157737.000,22828,3,MZ,1,100,-15
1759437222.483668,157777.000,22846,2,MZ,1,100,-16
1759437222.523670,157817.000,22846,2,MZ,1,100,-15
1759437222.563673,157857.000,22862,3,MZ,1,100,-15
1759437222.603675,157897.000,22862,3,MZ,1,100,-16
1759437222.643677,157937.000,22862,3,MZ,1,100,-15
1759437222.683680,157977.000,22878,2,MZ,1,100,-17
1759437222.723682,158017.000,22878,2,MZ,1,100,-15
1759437222.763684,158057.000,22894,3,MZ,1,100,-17
1759437222.803686,158097.000,22894,3,MZ,1,100,-16
1759437222.843689,158137.000,22894,3,MZ,1,100,-16
1759437222.883691,158177.000,22911,2,MZ,1,100,-16
1759437222.923693,158217.000,22911,2,MZ,1,100,-17
1759437222.963696,158257.000,22927,3,MZ,1,100,-14
1759437223.003698,158297.000,22927,3,MZ,1,100,-16
1759437223.043700,158337.000,22927,3,MZ,1,100,-15
1759437223.090203,158383.500,22942,2,MZ,1,100,-17
1759437223.136705,158430.000,22942,2,MZ,1,100,-15
1759437223.176708,158470.000,22958,3,MZ,1,100,-16
1759437223.216710,158510.000,22958,3,MZ,1,100,-14
1759437223.256712,158550.000,22958,3,MZ,1,100,-16
1759437223.296714,158590.000,22978,2,MZ,1,100,-16
1759437223.336717,158630.000,22978,2,MZ,1,100,-16
1759437223.376719,158670.000,22993,3,MZ,1,100,-16
1759437223.416721,158710.000,22993,3,MZ,1,100,-16
1759437223.456723,158750.000,22993,3,MZ,1,100,-17
1759437223.496726,158790.000,23010,2,MZ,1,100,-16
1759437223.536728,158830.000,23010,2,MZ,1,100,-17
1759437223.576730,158870.000,23026,3,MZ,1,100,-16
1759437223.616733,158910.000,23026,3,MZ,1,100,-15
1759437223.656735,158950.000,23026,3,MZ,1,100,-16
1759437223.696737,158990.000,23042,2,MZ,1,100,-17
1759437223.736739,159030.000,23042,2,MZ,1,100,-16
1759437223.776742,159070.000,23057,3,MZ,1,100,-17
1759437223.816744,159110.000,23057,3,MZ,1,100,-15
1759437223.856746,159150.000,23057,3,MZ,1,100,-15
1759437223.896749,159190.000,23074,2,MZ,1,100,-17
1759437223.936751,159230.000,23074,2,MZ,1,100,-15
1759437223.976753,159270.000,23091,3,MZ,1,100,-16
1759437224.016755,159310.000,23091,3,MZ,1,100,-15
1759437224.056758,159350.000,23091,3,MZ,1,100,-17
1759437224.096260,159389.500,23108,2,MZ,1,100,-15
1759437224.135762,159429.000,23108,2,MZ,1,100,-17
1759437224.180431,159473.667,23123,3,MZ,1,100,-15
1759437224.225101,159518.333,23123,3,MZ,1,100,-15
1759437224.269770,159563.000,23123,3,MZ,1,100,-15
1759437224.309772,159603.000,23141,2,MZ,1,100,-17
1759437224.349774,159643.000,23141,2,MZ,1,100,-15
1759437224.389776,159683.000,23157,3,MZ,1,100,-15
1759437224.429779,159723.000,23157,3,MZ,1,100,-15
1759437224.469781,159763.000,23157,3,MZ,1,100,-15
1759437224.509783,159803.000,23172,2,MZ,1,100,-17
1759437224.549786,159843.000,23172,2,MZ,1,100,-15
1759437224.589788,159883.000,23189,3,MZ,1,100,-16
1759437224.629790,159923.000,23189,3,MZ,1,100,-17
1759437224.669792,159963.000,23189,3,MZ,1,100,-17
1759437224.709795,160003.000,23205,2,MZ,1,100,-15
1759437224.749797,160043.000,23205,2,MZ,1,100,-15
1759437224.789799,160083.000,23221,3,MZ,1,100,-16
1759437224.829802,160123.000,23221,3,MZ,1,100,-15
1759437224.869804,160163.000,23221,3,MZ,1,100,-15
1759437224.909806,160203.000,23240,2,MZ,1,100,-15
1759437224.949808,160243.000,23240,2,MZ,1,100,-15
1759437224.989810,160283.000,23256,3,MZ,1,100,-17
1759437225.029813,160323.000,23256,3,MZ,1,100,-16
1759437225.069815,160363.000,23256,3,MZ,1,100,-15
1759437225.109817,160403.000,23271,2,MZ,1,100,-16
1759437225.149820,160443.000,23271,2,MZ,1,100,-15
1759437225.189822,160483.000,23287,3,MZ,1,100,-16
1759437225.229824,160523.000,23287,3,MZ,1,100,-16
1759437225.269826,160563.000,23287,3,MZ,1,100,-15
1759437225.316329,160609.500,23305,2,MZ,1,100,-15
1759437225.362832,160656.000,23305,2,MZ,1,100,-16
1759437225.402834,160696.000,23321,3,MZ,1,100,-17
1759437225.442836,160736.000,23321,3,MZ,1,100,-15
1759437225.482839,160776.000,23321,3,MZ,1,100,-16
1759437225.522841,160816.000,23335,2,MZ,1,100,-16
1759437225.562843,160856.000,23335,2,MZ,1,100,-16
1759437225.602845,160896.000,23354,3,MZ,1,100,-15
1759437225.642848,160936.000,23354,3,MZ,1,100,-15
1759437225.682850,160976.000,23354,3,MZ,1,100,-15
1759437225.722852,161016.000,23371,2,MZ,1,100,-16
1759437225.762855,161056.000,23371,2,MZ,1,100,-16
1759437225.802857,161096.000,23387,3,MZ,1,100,-16
1759437225.842859,161136.000,23387,3,MZ,1,100,-15
1759437225.882861,161176.000,23387,3,MZ,1,100,-16
1759437225.922863,161216.000,23401,2,MZ,1,100,-15
1759437225.962866,161256.000,23401,2,MZ,1,100,-15
1759437226.002868,161296.000,23420,3,MZ,1,100,-15
1759437226.042870,161336.000,23420,3,MZ,1,100,-14
1759437226.082873,161376.000,23420,3,MZ,1,100,-16
1759437226.122875,161416.000,23435,3,MZ,1,100,-14
1759437226.162877,161456.000,23435,3,MZ,1,100,-15
1759437226.202879,161496.000,23435,3,MZ,1,100,-17
1759437226.242882,161536.000,23451,2,MZ,1,100,-15
1759437226.282884,161576.000,23451,2,MZ,1,100,-15
1759437226.322886,161616.000,23466,3,MZ,1,100,-16
1759437226.362889,161656.000,23466,3,MZ,1,100,-15
1759437226.402891,161696.000,23466,3,MZ,1,100,-15
1759437226.449394,161742.500,23482,2,MZ,1,100,-17
1759437226.495896,161789.000,23482,2,MZ,1,100,-16
1759437226.535898,161829.000,23497,2,MZ,1,100,-17
1759437226.575901,161869.000,23497,2,MZ,1,100,-15
1759437226.615903,161909.000,23514,3,MZ,1,100,-16
1759437226.655905,161949.000,23514,3,MZ,1,100,-15
1759437226.695907,161989.000,23514,3,MZ,1,100,-15
1759437226.735910,162029.000,23530,2,MZ,1,100,-15
1759437226.775912,162069.000,23530,2,MZ,1,100,-15
1759437226.815914,162109.000,23546,3,MZ,1,100,-15
1759437226.855917,162149.000,23546,3,MZ,1,100,-17
1759437226.895919,162189.000,23546,3,MZ,1,100,-15
1759437226.935921,162229.000,23561,2,MZ,1,100,-15
1759437226.975923,162269.000,23561,2,MZ,1,100,-15
1759437227.015926,162309.000,23580,3,MZ,1,100,-17
1759437227.055928,162349.000,23580,3,MZ,1,100,-15
1759437227.095930,162389.000,23580,3,MZ,1,100,-15
1759437227.135932,162429.000,23594,3,MZ,1,100,-16
1759437227.175935,162469.000,23594,3,MZ,1,100,-15
1759437227.215937,162509.000,23594,3,MZ,1,100,-16
1759437227.255939,162549.000,23610,2,MZ,1,100,-15
1759437227.295942,162589.000,23610,2,MZ,1,100,-17
1759437227.335944,162629.000,23626,3,MZ,1,100,-15
1759437227.375946,162669.000,23626,3,MZ,1,100,-15
1759437227.415948,162709.000,23626,3,MZ,1,100,-15
1759437227.455950,162749.000,23644,2,MZ,1,100,-16
1759437227.495953,162789.000,23644,2,MZ,1,100,-15
1759437227.535955,162829.000,23659,2,MZ,1,100,-15
1759437227.575957,162869.000,23659,2,MZ,1,100,-15
1759437227.620627,162913.667,23675,3,MZ,1,100,-16
1759437227.665296,162958.333,23675,3,MZ,1,100,-15
1759437227.709965,163003.000,23675,3,MZ,1,100,-15
1759437227.749967,163043.000,23692,2,MZ,1,100,-16
1759437227.789970,163083.000,23692,2,MZ,1,100,-15
1759437227.829972,163123.000,23708,3,MZ,1,100,-16
1759437227.869974,163163.000,23708,3,MZ,1,100,-16
1759437227.909976,163203.000,23708,3,MZ,1,100,-16
1759437227.949979,163243.000,23726,3,MZ,1,100,-15
1759437227.989981,163283.000,23726,3,MZ,1,100,-15
1759437228.029983,163323.000,23726,3,MZ,1,100,-17
1759437228.069985,163363.000,23741,2,MZ,1,100,-17
1759437228.109988,163403.000,23741,2,MZ,1,100,-15
1759437228.149990,163443.000,23756,3,MZ,1,100,-16
1759437228.189992,163483.000,23756,3,MZ,1,100,-17
1759437228.229995,163523.000,23756,3,MZ,1,100,-16
1759437228.269997,163563.000,23774,2,MZ,1,100,-16
1759437228.309999,163603.000,23774,2,MZ,1,100,-16
1759437228.349668,163642.667,23790,3,MZ,1,100,-16
1759437228.389337,163682.333,23790,3,MZ,1,100,-15
1759437228.429006,163722.000,23790,3,MZ,1,100,-15
1759437228.469008,163762.000,23805,2,MZ,1,100,-17
1759437228.509010,163802.000,23805,2,MZ,1,100,-15
1759437228.549013,163842.000,23820,3,MZ,1,100,-16
1759437228.589015,163882.000,23820,3,MZ,1,100,-15
1759437228.629017,163922.000,23820,3,MZ,1,100,-17
1759437228.669019,163962.000,23837,2,MZ,1,100,-16
1759437228.709022,164002.000,23837,2,MZ,1,100,-14
1759437228.756024,164049.000,23852,2,MZ,1,100,-18
1759437228.803027,164096.000,23852,2,MZ,1,100,-15
1759437228.843029,164136.000,23867,3,MZ,1,100,-16
1759437228.883032,164176.000,23867,3,MZ,1,100,-15
1759437228.923034,164216.000,23867,3,MZ,1,100,-16
1759437228.963036,164256.000,23883,3,MZ,1,100,-16
1759437229.003038,164296.000,23883,3,MZ,1,100,-16
1759437229.043041,164336.000,23883,3,MZ,1,100,-16
1759437229.083043,164376.000,23899,2,MZ,1,100,-16
1759437229.123045,164416.000,23899,2,MZ,1,100,-15
1759437229.163048,164456.000,23916,3,MZ,1,100,-15
1759437229.203050,164496.000,23916,3,MZ,1,100,-16
1759437229.243052,164536.000,23916,3,MZ,1,100,-14
1759437229.283054,164576.000,23931,2,MZ,1,100,-16
1759437229.323057,164616.000,23931,2,MZ,1,100,-15
1759437229.363059,164656.000,23949,3,MZ,1,100,-15
1759437229.403061,164696.000,23949,3,MZ,1,100,-16
1759437229.443063,164736.000,23949,3,MZ,1,100,-15
1759437229.483066,164776.000,23965,2,MZ,1,100,-16
1759437229.523068,164816.000,23965,2,MZ,1,100,-15
1759437229.563070,164856.000,23982,3,MZ,1,100,-17
1759437229.603072,164896.000,23982,3,MZ,1,100,-16
1759437229.643075,164936.000,23982,3,MZ,1,100,-16
1759437229.683077,164976.000,23998,2,MZ,1,100,-16
1759437229.723079,165016.000,23998,2,MZ,1,100,-16
1759437229.763082,165056.000,24015,3,MZ,1,100,-14
1759437229.803084,165096.000,24015,3,MZ,1,100,-15
1759437229.843086,165136.000,24015,3,MZ,1,100,-16
1759437229.883088,165176.000,24031,2,MZ,1,100,-16
1759437229.923091,165216.000,24031,2,MZ,1,100,-15
1759437229.967427,165260.333,24047,3,MZ,1,100,-16
1759437230.011762,165304.667,24047,3,MZ,1,100,-15
1759437230.056098,165349.000,24047,3,MZ,1,100,-16
1759437230.096101,165389.000,24063,2,MZ,1,100,-16
1759437230.136103,165429.000,24063,2,MZ,1,100,-16
1759437230.176105,165469.000,24077,3,MZ,1,100,-16
1759437230.216107,165509.000,24077,3,MZ,1,100,-16
1759437230.256110,165549.000,24077,3,MZ,1,100,-17
1759437230.296112,165589.000,24094,2,MZ,1,100,-16
1759437230.336114,165629.000,24094,2,MZ,1,100,-16
1759437230.376117,165669.000,24109,3,MZ,1,100,-15
1759437230.416119,165709.000,24109,3,MZ,1,100,-15
1759437230.456121,165749.000,24109,3,MZ,1,100,-15
1759437230.496623,165789.500,24125,2,MZ,1,100,-17
1759437230.537126,165830.000,24125,2,MZ,1,100,-15
1759437230.577128,165870.000,24141,3,MZ,1,100,-15
1759437230.617130,165910.000,24141,3,MZ,1,100,-16
1759437230.657132,165950.000,24141,3,MZ,1,100,-15
1759437230.696885,165989.750,24161,4,MZ,1,100,-16
1759437230.736637,166029.500,24161,4,MZ,1,100,-14
1759437230.776389,166069.250,24161,4,MZ,1,100,-15
1759437230.816141,166109.000,24161,4,MZ,1,100,-15
1759437230.856144,166149.000,24175,3,MZ,1,100,-15
1759437230.896146,166189.000,24175,3,MZ,1,100,-14
1759437230.936148,166229.000,24175,3,MZ,1,100,-15
1759437230.976650,166269.500,24192,2,MZ,1,100,-15
1759437231.017153,166310.000,24192,2,MZ,1,100,-15
1759437231.056655,166349.500,24207,2,MZ,1,100,-15
1759437231.096157,166389.000,24207,2,MZ,1,100,-15
1759437231.140493,166433.333,24223,3,MZ,1,100,-16
1759437231.184829,166477.667,24223,3,MZ,1,100,-16
1759437231.229165,166522.000,24223,3,MZ,1,100,-16
1759437231.269167,166562.000,24237,3,MZ,1,100,-17
1759437231.309169,166602.000,24237,3,MZ,1,100,-15
1759437231.349172,166642.000,24237,3,MZ,1,100,-16
1759437231.389174,166682.000,24254,2,MZ,1,100,-16
1759437231.429176,166722.000,24254,2,MZ,1,100,-15
1759437231.469178,166762.000,24269,3,MZ,1,100,-16
1759437231.509181,166802.000,24269,3,MZ,1,100,-16
1759437231.549183,166842.000,24269,3,MZ,1,100,-15
1759437231.589185,166882.000,24285,2,MZ,1,100,-17
1759437231.629188,166922.000,24285,2,MZ,1,100,-15
1759437231.669190,166962.000,24301,3,MZ,1,100,-15
1759437231.709192,167002.000,24301,3,MZ,1,100,-16
1759437231.749194,167042.000,24301,3,MZ,1,100,-15
1759437231.789197,167082.000,24318,2,MZ,1,100,-17
1759437231.829199,167122.000,24318,2,MZ,1,100,-16
1759437231.869201,167162.000,24333,3,MZ,1,100,-17
1759437231.909204,167202.000,24333,3,MZ,1,100,-15
1759437231.949206,167242.000,24333,3,MZ,1,100,-15
1759437231.989208,167282.000,24352,2,MZ,1,100,-17
1759437232.029210,167322.000,24352,2,MZ,1,100,-16
1759437232.069212,167362.000,24367,3,MZ,1,100,-16
1759437232.109215,167402.000,24367,3,MZ,1,100,-15
1759437232.149217,167442.000,24367,3,MZ,1,100,-16
1759437232.195720,167488.500,24382,2,MZ,1,100,-16
1759437232.242222,167535.000,24382,2,MZ,1,100,-16
1759437232.282225,167575.000,24398,3,MZ,1,100,-15
1759437232.322227,167615.000,24398,3,MZ,1,100,-16
1759437232.362229,167655.000,24398,3,MZ,1,100,-15
1759437232.402231,167695.000,24414,2,MZ,1,100,-16
1759437232.442234,167735.000,24414,2,MZ,1,100,-16
1759437232.482236,167775.000,24429,3,MZ,1,100,-16
1759437232.522238,167815.000,24429,3,MZ,1,100,-16
1759437232.562241,167855.000,24429,3,MZ,1,100,-15
1759437232.602243,167895.000,24444,2,MZ,1,100,-15
1759437232.642245,167935.000,24444,2,MZ,1,100,-15
1759437232.682247,167975.000,24460,3,MZ,1,100,-15
1759437232.722250,168015.000,24460,3,MZ,1,100,-15
1759437232.762252,168055.000,24460,3,MZ,1,100,-15
1759437232.802254,168095.000,24476,2,MZ,1,100,-16
1759437232.842257,168135.000,24476,2,MZ,1,100,-16
1759437232.882259,168175.000,24493,3,MZ,1,100,-16
1759437232.922261,168215.000,24493,3,MZ,1,100,-15
1759437232.962263,168255.000,24493,3,MZ,1,100,-15
1759437233.002265,168295.000,24509,2,MZ,1,100,-16
1759437233.042268,168335.000,24509,2,MZ,1,100,-16
1759437233.082270,168375.000,24526,3,MZ,1,100,-15
1759437233.122272,168415.000,24526,3,MZ,1,100,-16
1759437233.162275,168455.000,24526,3,MZ,1,100,-16
1759437233.202277,168495.000,24542,2,MZ,1,100,-15
1759437233.242279,168535.000,24542,2,MZ,1,100,-15
1759437233.286948,168579.667,24558,3,MZ,1,100,-15
1759437233.331618,168624.333,24558,3,MZ,1,100,-15
1759437233.376287,168669.000,24558,3,MZ,1,100,-16
1759437233.416289,168709.000,24573,2,MZ,1,100,-15
1759437233.456291,168749.000,24573,2,MZ,1,100,-16
1759437233.496294,168789.000,24588,3,MZ,1,100,-16
1759437233.536296,168829.000,24588,3,MZ,1,100,-15
1759437233.576298,168869.000,24588,3,MZ,1,100,-15
1759437233.616300,168909.000,24604,2,MZ,1,100,-16
1759437233.656303,168949.000,24604,2,MZ,1,100,-15
1759437233.696305,168989.000,24622,3,MZ,1,100,-15
1759437233.736307,169029.000,24622,3,MZ,1,100,-16
1759437233.776309,169069.000,24622,3,MZ,1,100,-16
1759437233.816312,169109.000,24638,2,MZ,1,100,-17
1759437233.856314,169149.000,24638,2,MZ,1,100,-15
1759437233.896316,169189.000,24654,3,MZ,1,100,-17
1759437233.936319,169229.000,24654,3,MZ,1,100,-16
1759437233.976321,169269.000,24654,3,MZ,1,100,-17
1759437234.016323,169309.000,24671,2,MZ,1,100,-16
1759437234.056325,169349.000,24671,2,MZ,1,100,-15
1759437234.096328,169389.000,24686,3,MZ,1,100,-16
1759437234.136330,169429.000,24686,3,MZ,1,100,-14
1759437234.176332,169469.000,24686,3,MZ,1,100,-16
1759437234.215834,169508.500,24704,2,MZ,1,100,-16
1759437234.255337,169548.000,24704,2,MZ,1,100,-15
1759437234.295339,169588.000,24719,3,MZ,1,100,-15
1759437234.335341,169628.000,24719,3,MZ,1,100,-16
1759437234.375344,169668.000,24719,3,MZ,1,100,-16
1759437234.415346,169708.000,24735,2,MZ,1,100,-17
1759437234.455348,169748.000,24735,2,MZ,1,100,-15
1759437234.500017,169792.667,24750,3,MZ,1,100,-16
1759437234.544687,169837.333,24750,3,MZ,1,100,-15
1759437234.589356,169882.000,24750,3,MZ,1,100,-15
1759437234.629858,169922.500,24769,2,MZ,1,100,-16
1759437234.670360,169963.000,24769,2,MZ,1,100,-15
1759437234.710029,170002.667,24783,3,MZ,1,100,-16
1759437234.749698,170042.333,24783,3,MZ,1,100,-15
1759437234.789367,170082.000,24783,3,MZ,1,100,-15
1759437234.829369,170122.000,24799,2,MZ,1,100,-17
1759437234.869372,170162.000,24799,2,MZ,1,100,-15
1759437234.909374,170202.000,24814,3,MZ,1,100,-15
1759437234.949376,170242.000,24814,3,MZ,1,100,-16
1759437234.989378,170282.000,24814,3,MZ,1,100,-16
1759437235.029381,170322.000,24833,2,MZ,1,100,-15
1759437235.069383,170362.000,24833,2,MZ,1,100,-15
1759437235.109385,170402.000,24847,3,MZ,1,100,-16
1759437235.149387,170442.000,24847,3,MZ,1,100,-16
1759437235.189390,170482.000,24847,3,MZ,1,100,-15
1759437235.229392,170522.000,24863,3,MZ,1,100,-15
1759437235.269394,170562.000,24863,3,MZ,1,100,-16
1759437235.309397,170602.000,24863,3,MZ,1,100,-16
1759437235.349399,170642.000,24879,2,MZ,1,100,-15
1759437235.389401,170682.000,24879,2,MZ,1,100,-16
1759437235.429403,170722.000,24895,3,MZ,1,100,-16
1759437235.469406,170762.000,24895,3,MZ,1,100,-16
1759437235.509408,170802.000,24895,3,MZ,1,100,-16
1759437235.549410,170842.000,24909,2,MZ,1,100,-16
1759437235.589412,170882.000,24909,2,MZ,1,100,-16
1759437235.636415,170929.000,24930,2,MZ,1,100,-17
1759437235.683418,170976.000,24930,2,MZ,1,100,-16
1759437235.723420,171016.000,24945,3,MZ,1,100,-16
1759437235.763422,171056.000,24945,3,MZ,1,100,-15
1759437235.803425,171096.000,24945,3,MZ,1,100,-16
1759437235.843427,171136.000,24966,2,MZ,1,100,-16
1759437235.883429,171176.000,24966,2,MZ,1,100,-15
1759437235.923431,171216.000,24980,3,MZ,1,100,-16
1759437235.963434,171256.000,24980,3,MZ,1,100,-17
1759437236.003436,171296.000,24980,3,MZ,1,100,-16
1759437236.043438,171336.000,24997,2,MZ,1,100,-16
1759437236.083441,171376.000,24997,2,MZ,1,100,-16
1759437236.123443,171416.000,25012,3,MZ,1,100,-16
1759437236.163445,171456.000,25012,3,MZ,1,100,-16
1759437236.203447,171496.000,25012,3,MZ,1,100,-15
1759437236.243450,171536.000,25030,2,MZ,1,100,-15
1759437236.283452,171576.000,25030,2,MZ,1,100,-16
1759437236.323454,171616.000,25046,3,MZ,1,100,-16
1759437236.363456,171656.000,25046,3,MZ,1,100,-16
1759437236.403459,171696.000,25046,3,MZ,1,100,-16
1759437236.443461,171736.000,25063,3,MZ,1,100,-15
1759437236.483463,171776.000,25063,3,MZ,1,100,-15
1759437236.523465,171816.000,25063,3,MZ,1,100,-17
1759437236.563468,171856.000,25078,2,MZ,1,100,-17
1759437236.603470,171896.000,25078,2,MZ,1,100,-15
1759437236.643472,171936.000,25095,3,MZ,1,100,-14
1759437236.683475,171976.000,25095,3,MZ,1,100,-16
1759437236.723477,172016.000,25095,3,MZ,1,100,-16
1759437236.769979,172062.500,25112,2,MZ,1,100,-17
1759437236.816482,172109.000,25112,2,MZ,1,100,-16
1759437236.856484,172149.000,25127,2,MZ,1,100,-17
1759437236.896487,172189.000,25127,2,MZ,1,100,-17
1759437236.936489,172229.000,25145,3,MZ,1,100,-16
1759437236.976491,172269.000,25145,3,MZ,1,100,-16
1759437237.016494,172309.000,25145,3,MZ,1,100,-16
1759437237.056496,172349.000,25161,2,MZ,1,100,-16
1759437237.096498,172389.000,25161,2,MZ,1,100,-16
1759437237.136500,172429.000,25176,3,MZ,1,100,-17
1759437237.176502,172469.000,25176,3,MZ,1,100,-16
1759437237.216505,172509.000,25176,3,MZ,1,100,-15
1759437237.256507,172549.000,25191,3,MZ,1,100,-14
1759437237.296509,172589.000,25191,3,MZ,1,100,-16
1759437237.336512,172629.000,25191,3,MZ,1,100,-16
1759437237.376514,172669.000,25209,2,MZ,1,100,-15
1759437237.416516,172709.000,25209,2,MZ,1,100,-16
1759437237.456518,172749.000,25225,3,MZ,1,100,-15
1759437237.496521,172789.000,25225,3,MZ,1,100,-16
1759437237.536523,172829.000,25225,3,MZ,1,100,-16
1759437237.576525,172869.000,25240,2,MZ,1,100,-16
1759437237.616528,172909.000,25240,2,MZ,1,100,-15
1759437237.656530,172949.000,25256,3,MZ,1,100,-17
1759437237.696532,172989.000,25256,3,MZ,1,100,-16
1759437237.736534,173029.000,25256,3,MZ,1,100,-16
1759437237.776537,173069.000,25273,2,MZ,1,100,-17
1759437237.816539,173109.000,25273,2,MZ,1,100,-15
1759437237.856541,173149.000,25289,3,MZ,1,100,-17
1759437237.896544,173189.000,25289,3,MZ,1,100,-16
1759437237.936546,173229.000,25289,3,MZ,1,100,-17
1759437237.982548,173275.000,25305,2,MZ,1,100,-17
1759437238.028551,173321.000,25305,2,MZ,1,100,-17
1759437238.068553,173361.000,25320,3,MZ,1,100,-16
1759437238.108556,173401.000,25320,3,MZ,1,100,-16
1759437238.148558,173441.000,25320,3,MZ,1,100,-16
1759437238.188560,173481.000,25335,2,MZ,1,100,-16
1759437238.228562,173521.000,25335,2,MZ,1,100,-17
1759437238.268564,173561.000,25353,3,MZ,1,100,-17
1759437238.308567,173601.000,25353,3,MZ,1,100,-16
1759437238.348569,173641.000,25353,3,MZ,1,100,-17
1759437238.388572,173681.000,25371,2,MZ,1,100,-16
1759437238.428574,173721.000,25371,2,MZ,1,100,-15
1759437238.468576,173761.000,25387,3,MZ,1,100,-15
1759437238.508578,173801.000,25387,3,MZ,1,100,-14
1759437238.548580,173841.000,25387,3,MZ,1,100,-15
1759437238.588583,173881.000,25401,2,MZ,1,100,-16
1759437238.628585,173921.000,25401,2,MZ,1,100,-16
1759437238.668587,173961.000,25418,3,MZ,1,100,-16
1759437238.708590,174001.000,25418,3,MZ,1,100,-17
1759437238.748592,174041.000,25418,3,MZ,1,100,-15
1759437238.788594,174081.000,25435,2,MZ,1,100,-16
1759437238.828596,174121.000,25435,2,MZ,1,100,-16
1759437238.868932,174161.333,25451,3,MZ,1,100,-15
1759437238.909268,174201.667,25451,3,MZ,1,100,-16
1759437238.949603,174242.000,25451,3,MZ,1,100,-15
1759437238.989605,174282.000,25468,2,MZ,1,100,-15
1759437239.029608,174322.000,25468,2,MZ,1,100,-15
1759437239.073944,174366.333,25486,3,MZ,1,100,-15
1759437239.118279,174410.667,25486,3,MZ,1,100,-15
1759437239.162615,174455.000,25486,3,MZ,1,100,-16
1759437239.202618,174495.000,25501,2,MZ,1,100,-16
1759437239.242620,174535.000,25501,2,MZ,1,100,-15
